"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"27114",2020-08-04,4,8,2020,1258,32,"Saudi_Arabia","SA","SAU",34268529,"Asia",78.04245114
"27115",2020-08-03,3,8,2020,1357,50,"Saudi_Arabia","SA","SAU",34268529,"Asia",81.4595806
"27116",2020-08-02,2,8,2020,1573,1,"Saudi_Arabia","SA","SAU",34268529,"Asia",84.80667495
"27117",2020-08-01,1,8,2020,1686,0,"Saudi_Arabia","SA","SAU",34268529,"Asia",87.70145926
"27118",2020-07-31,31,7,2020,1629,50,"Saudi_Arabia","SA","SAU",34268529,"Asia",90.40656516
"27119",2020-07-30,30,7,2020,1759,27,"Saudi_Arabia","SA","SAU",34268529,"Asia",93.71864196
"27120",2020-07-29,29,7,2020,1897,29,"Saudi_Arabia","SA","SAU",34268529,"Asia",96.37997592
"27121",2020-07-28,28,7,2020,1993,27,"Saudi_Arabia","SA","SAU",34268529,"Asia",98.69988875
"27122",2020-07-27,27,7,2020,1968,30,"Saudi_Arabia","SA","SAU",34268529,"Asia",101.20656186
"27123",2020-07-26,26,7,2020,2201,31,"Saudi_Arabia","SA","SAU",34268529,"Asia",103.57316475
"27124",2020-07-25,25,7,2020,2378,37,"Saudi_Arabia","SA","SAU",34268529,"Asia",105.88724132
"27125",2020-07-24,24,7,2020,2238,34,"Saudi_Arabia","SA","SAU",34268529,"Asia",108.16630034
"27126",2020-07-23,23,7,2020,2331,44,"Saudi_Arabia","SA","SAU",34268529,"Asia",110.92393257
"27127",2020-07-22,22,7,2020,2476,34,"Saudi_Arabia","SA","SAU",34268529,"Asia",112.98121375
"27128",2020-07-21,21,7,2020,2429,37,"Saudi_Arabia","SA","SAU",34268529,"Asia",115.65422023
"27129",2020-07-20,20,7,2020,2504,39,"Saudi_Arabia","SA","SAU",34268529,"Asia",120.8426542
"27130",2020-07-19,19,7,2020,2565,40,"Saudi_Arabia","SA","SAU",34268529,"Asia",123.98256138
"27131",2020-07-18,18,7,2020,2613,37,"Saudi_Arabia","SA","SAU",34268529,"Asia",128.54359754
"27132",2020-07-17,17,7,2020,2764,45,"Saudi_Arabia","SA","SAU",34268529,"Asia",133.1542419
"27133",2020-07-16,16,7,2020,2671,42,"Saudi_Arabia","SA","SAU",34268529,"Asia",134.96056396
"27134",2020-07-15,15,7,2020,2692,40,"Saudi_Arabia","SA","SAU",34268529,"Asia",137.09371651
"27135",2020-07-14,14,7,2020,2852,20,"Saudi_Arabia","SA","SAU",34268529,"Asia",142.03994575
"27136",2020-07-13,13,7,2020,2779,42,"Saudi_Arabia","SA","SAU",34268529,"Asia",145.22362486
"27137",2020-07-12,12,7,2020,2994,30,"Saudi_Arabia","SA","SAU",34268529,"Asia",148.75456136
"27138",2020-07-11,11,7,2020,3159,51,"Saudi_Arabia","SA","SAU",34268529,"Asia",151.47717604
"27139",2020-07-10,10,7,2020,3183,41,"Saudi_Arabia","SA","SAU",34268529,"Asia",153.7503988
"27140",2020-07-09,9,7,2020,3036,42,"Saudi_Arabia","SA","SAU",34268529,"Asia",154.30192524
"27141",2020-07-08,8,7,2020,3392,49,"Saudi_Arabia","SA","SAU",34268529,"Asia",154.5558025
"27142",2020-07-07,7,7,2020,4207,52,"Saudi_Arabia","SA","SAU",34268529,"Asia",153.81751577
"27143",2020-07-06,6,7,2020,3580,58,"Saudi_Arabia","SA","SAU",34268529,"Asia",151.44215849
"27144",2020-07-05,5,7,2020,4128,56,"Saudi_Arabia","SA","SAU",34268529,"Asia",150.85561449
"27145",2020-07-04,4,7,2020,4193,50,"Saudi_Arabia","SA","SAU",34268529,"Asia",150.3099243
"27146",2020-07-03,3,7,2020,3383,54,"Saudi_Arabia","SA","SAU",34268529,"Asia",150.62508227
"27147",2020-07-02,2,7,2020,3402,49,"Saudi_Arabia","SA","SAU",34268529,"Asia",154.63459199
"27148",2020-07-01,1,7,2020,4387,50,"Saudi_Arabia","SA","SAU",34268529,"Asia",159.0613942
"27149",2020-06-30,30,6,2020,3943,48,"Saudi_Arabia","SA","SAU",34268529,"Asia",158.71121868
"27150",2020-06-29,29,6,2020,3989,40,"Saudi_Arabia","SA","SAU",34268529,"Asia",160.35704363
"27151",2020-06-28,28,6,2020,3927,37,"Saudi_Arabia","SA","SAU",34268529,"Asia",161.06906719
"27152",2020-06-27,27,6,2020,3938,46,"Saudi_Arabia","SA","SAU",34268529,"Asia",159.43199663
"27153",2020-06-26,26,6,2020,3372,41,"Saudi_Arabia","SA","SAU",34268529,"Asia",159.38238843
"27154",2020-06-25,25,6,2020,3123,41,"Saudi_Arabia","SA","SAU",34268529,"Asia",160.43583312
"27155",2020-06-24,24,6,2020,3139,39,"Saudi_Arabia","SA","SAU",34268529,"Asia",162.16920195
"27156",2020-06-23,23,6,2020,3393,40,"Saudi_Arabia","SA","SAU",34268529,"Asia",162.60400322
"27157",2020-06-22,22,6,2020,3379,37,"Saudi_Arabia","SA","SAU",34268529,"Asia",162.53396812
"27158",2020-06-21,21,6,2020,3941,46,"Saudi_Arabia","SA","SAU",34268529,"Asia",161.55931292
"27159",2020-06-20,20,6,2020,4301,45,"Saudi_Arabia","SA","SAU",34268529,"Asia",159.16644686
"27160",2020-06-19,19,6,2020,4757,48,"Saudi_Arabia","SA","SAU",34268529,"Asia",154.17644568
"27161",2020-06-18,18,6,2020,4919,39,"Saudi_Arabia","SA","SAU",34268529,"Asia",146.05820985
"27162",2020-06-17,17,6,2020,4267,41,"Saudi_Arabia","SA","SAU",34268529,"Asia",138.03919042
"27163",2020-06-16,16,6,2020,4507,39,"Saudi_Arabia","SA","SAU",34268529,"Asia",131.04151626
"27164",2020-06-15,15,6,2020,4233,40,"Saudi_Arabia","SA","SAU",34268529,"Asia",123.3785086
