"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"23946",2020-07-15,15,7,2020,45,0,"Senegal","SN","SEN",16296362,"Africa",8.8976914
"23947",2020-07-14,14,7,2020,63,2,"Senegal","SN","SEN",16296362,"Africa",9.20450834
"23948",2020-07-13,13,7,2020,121,3,"Senegal","SN","SEN",16296362,"Africa",9.50518895
"23949",2020-07-12,12,7,2020,132,0,"Senegal","SN","SEN",16296362,"Africa",9.54200698
"23950",2020-07-11,11,7,2020,98,2,"Senegal","SN","SEN",16296362,"Africa",9.37632583
"23951",2020-07-10,10,7,2020,127,2,"Senegal","SN","SEN",16296362,"Africa",9.51746163
"23952",2020-07-09,9,7,2020,110,4,"Senegal","SN","SEN",16296362,"Africa",9.37632583
"23953",2020-07-08,8,7,2020,69,1,"Senegal","SN","SEN",16296362,"Africa",9.28428075
"23954",2020-07-07,7,7,2020,78,3,"Senegal","SN","SEN",16296362,"Africa",9.25359905
"23955",2020-07-06,6,7,2020,128,4,"Senegal","SN","SEN",16296362,"Africa",9.27814441
"23956",2020-07-05,5,7,2020,108,4,"Senegal","SN","SEN",16296362,"Africa",9.41314387
"23957",2020-07-04,4,7,2020,110,4,"Senegal","SN","SEN",16296362,"Africa",9.35791682
"23958",2020-07-03,3,7,2020,129,5,"Senegal","SN","SEN",16296362,"Africa",9.68927912
"23959",2020-07-02,2,7,2020,132,4,"Senegal","SN","SEN",16296362,"Africa",9.54814332
"23960",2020-07-01,1,7,2020,95,4,"Senegal","SN","SEN",16296362,"Africa",9.48677993
"23961",2020-06-30,30,6,2020,112,3,"Senegal","SN","SEN",16296362,"Africa",9.35791682
"23962",2020-06-29,29,6,2020,127,3,"Senegal","SN","SEN",16296362,"Africa",9.17996299
"23963",2020-06-28,28,6,2020,105,4,"Senegal","SN","SEN",16296362,"Africa",8.9774638
"23964",2020-06-27,27,6,2020,121,4,"Senegal","SN","SEN",16296362,"Africa",9.22291736
"23965",2020-06-26,26,6,2020,104,1,"Senegal","SN","SEN",16296362,"Africa",9.04496353
"23966",2020-06-25,25,6,2020,95,4,"Senegal","SN","SEN",16296362,"Africa",9.13700862
"23967",2020-06-24,24,6,2020,64,3,"Senegal","SN","SEN",16296362,"Africa",9.31496244
"23968",2020-06-23,23,6,2020,82,2,"Senegal","SN","SEN",16296362,"Africa",9.46837092
"23969",2020-06-22,22,6,2020,150,2,"Senegal","SN","SEN",16296362,"Africa",9.57268868
"23970",2020-06-21,21,6,2020,99,3,"Senegal","SN","SEN",16296362,"Africa",9.13700862
"23971",2020-06-20,20,6,2020,164,3,"Senegal","SN","SEN",16296362,"Africa",9.10632692
"23972",2020-06-19,19,6,2020,106,3,"Senegal","SN","SEN",16296362,"Africa",8.92223675
"23973",2020-06-18,18,6,2020,122,3,"Senegal","SN","SEN",16296362,"Africa",8.81791899
"23974",2020-06-17,17,6,2020,74,6,"Senegal","SN","SEN",16296362,"Africa",8.65837418
"23975",2020-06-16,16,6,2020,83,4,"Senegal","SN","SEN",16296362,"Africa",8.79950998
"23976",2020-06-15,15,6,2020,94,0,"Senegal","SN","SEN",16296362,"Africa",8.8670097
"23977",2020-06-14,14,6,2020,145,4,"Senegal","SN","SEN",16296362,"Africa",8.96519113
"23978",2020-06-13,13,6,2020,92,0,"Senegal","SN","SEN",16296362,"Africa",8.72587391
"23979",2020-06-12,12,6,2020,119,2,"Senegal","SN","SEN",16296362,"Africa",8.65837418
"23980",2020-06-11,11,6,2020,124,2,"Senegal","SN","SEN",16296362,"Africa",8.51110205
"23981",2020-06-10,10,6,2020,89,0,"Senegal","SN","SEN",16296362,"Africa",8.3147392
"23982",2020-06-09,9,6,2020,99,3,"Senegal","SN","SEN",16296362,"Africa",7.95883155
"23983",2020-06-08,8,6,2020,79,2,"Senegal","SN","SEN",16296362,"Africa",7.86065013
"23984",2020-06-07,7,6,2020,94,2,"Senegal","SN","SEN",16296362,"Africa",7.81155941
"23985",2020-06-06,6,6,2020,134,0,"Senegal","SN","SEN",16296362,"Africa",7.64587826
"23986",2020-06-05,5,6,2020,89,0,"Senegal","SN","SEN",16296362,"Africa",7.41883372
"23987",2020-06-04,4,6,2020,96,2,"Senegal","SN","SEN",16296362,"Africa",7.47406078
"23988",2020-06-03,3,6,2020,97,1,"Senegal","SN","SEN",16296362,"Africa",7.48019711
"23989",2020-06-02,2,6,2020,94,0,"Senegal","SN","SEN",16296362,"Africa",7.33292498
"23990",2020-06-01,1,6,2020,110,0,"Senegal","SN","SEN",16296362,"Africa",7.14883481
"23991",2020-05-31,31,5,2020,106,1,"Senegal","SN","SEN",16296362,"Africa",6.78679082
"23992",2020-05-30,30,5,2020,81,0,"Senegal","SN","SEN",16296362,"Africa",6.86656322
"23993",2020-05-29,29,5,2020,95,2,"Senegal","SN","SEN",16296362,"Africa",7.11201678
"23994",2020-05-28,28,5,2020,92,2,"Senegal","SN","SEN",16296362,"Africa",7.04451705
"23995",2020-05-27,27,5,2020,31,1,"Senegal","SN","SEN",16296362,"Africa",7.15497115
"23996",2020-05-26,26,5,2020,83,1,"Senegal","SN","SEN",16296362,"Africa",7.63360559
"23997",2020-05-25,25,5,2020,71,0,"Senegal","SN","SEN",16296362,"Africa",8.21042144
"23998",2020-05-24,24,5,2020,67,2,"Senegal","SN","SEN",16296362,"Africa",8.2349668
"23999",2020-05-23,23,5,2020,97,0,"Senegal","SN","SEN",16296362,"Africa",8.33314822
"24000",2020-05-22,22,5,2020,98,3,"Senegal","SN","SEN",16296362,"Africa",8.09996734
"24001",2020-05-21,21,5,2020,97,0,"Senegal","SN","SEN",16296362,"Africa",7.86065013
"24002",2020-05-20,20,5,2020,73,4,"Senegal","SN","SEN",16296362,"Africa",7.9036045
"24003",2020-05-19,19,5,2020,64,0,"Senegal","SN","SEN",16296362,"Africa",7.81155941
"24004",2020-05-18,18,5,2020,51,1,"Senegal","SN","SEN",16296362,"Africa",7.96496789
"24005",2020-05-17,17,5,2020,119,0,"Senegal","SN","SEN",16296362,"Africa",8.06314931
"24006",2020-05-16,16,5,2020,121,2,"Senegal","SN","SEN",16296362,"Africa",7.89133182
"24007",2020-05-15,15,5,2020,84,1,"Senegal","SN","SEN",16296362,"Africa",7.70724165
"24008",2020-05-14,14,5,2020,110,3,"Senegal","SN","SEN",16296362,"Africa",7.50474247
"24009",2020-05-13,13,5,2020,109,0,"Senegal","SN","SEN",16296362,"Africa",7.19178919
"24010",2020-05-12,12,5,2020,177,0,"Senegal","SN","SEN",16296362,"Africa",7.06292607
"24011",2020-05-11,11,5,2020,75,2,"Senegal","SN","SEN",16296362,"Africa",6.36951977
"24012",2020-05-10,10,5,2020,83,3,"Senegal","SN","SEN",16296362,"Africa",6.25906567
"24013",2020-05-09,9,5,2020,59,1,"Senegal","SN","SEN",16296362,"Africa",6.17315693
"24014",2020-05-08,8,5,2020,59,1,"Senegal","SN","SEN",16296362,"Africa",6.2161113
"24015",2020-05-07,7,5,2020,104,1,"Senegal","SN","SEN",16296362,"Africa",6.08111185
"24016",2020-05-06,6,5,2020,58,1,"Senegal","SN","SEN",16296362,"Africa",5.62702277
"24017",2020-05-05,5,5,2020,89,1,"Senegal","SN","SEN",16296362,"Africa",5.48588697
"24018",2020-05-04,4,5,2020,67,0,"Senegal","SN","SEN",16296362,"Africa",5.0011162
"24019",2020-05-03,3,5,2020,91,0,"Senegal","SN","SEN",16296362,"Africa",4.69429926
"24020",2020-05-02,2,5,2020,91,0,"Senegal","SN","SEN",16296362,"Africa",4.18498313
"24021",2020-05-01,1,5,2020,51,0,"Senegal","SN","SEN",16296362,"Africa",3.66953066
"24022",2020-04-30,30,4,2020,59,0,"Senegal","SN","SEN",16296362,"Africa",3.48544049
"24023",2020-04-29,29,4,2020,88,0,"Senegal","SN","SEN",16296362,"Africa",3.21544158
"24024",2020-04-28,28,4,2020,64,0,"Senegal","SN","SEN",16296362,"Africa",2.72453447
"24025",2020-04-27,27,4,2020,57,2,"Senegal","SN","SEN",16296362,"Africa",2.39930851
"24026",2020-04-26,26,4,2020,69,0,"Senegal","SN","SEN",16296362,"Africa",2.06180987
"24027",2020-04-25,25,4,2020,66,1,"Senegal","SN","SEN",16296362,"Africa",1.71817489
"24028",2020-04-24,24,4,2020,37,0,"Senegal","SN","SEN",16296362,"Africa",1.40522161
