"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"27414",2020-08-04,4,8,2020,258,8,"Serbia","RS","SRB",6963764,"Europe",74.64354048
"27415",2020-08-03,3,8,2020,311,8,"Serbia","RS","SRB",6963764,"Europe",76.09390554
"27416",2020-08-02,2,8,2020,330,9,"Serbia","RS","SRB",6963764,"Europe",77.3145098
"27417",2020-08-01,1,8,2020,339,8,"Serbia","RS","SRB",6963764,"Europe",78.16175275
"27418",2020-07-31,31,7,2020,321,7,"Serbia","RS","SRB",6963764,"Europe",78.92283541
"27419",2020-07-30,30,7,2020,372,7,"Serbia","RS","SRB",6963764,"Europe",79.81315852
"27420",2020-07-29,29,7,2020,379,8,"Serbia","RS","SRB",6963764,"Europe",79.51159746
"27421",2020-07-28,28,7,2020,411,9,"Serbia","RS","SRB",6963764,"Europe",79.00899571
"27422",2020-07-27,27,7,2020,467,8,"Serbia","RS","SRB",6963764,"Europe",77.1134691
"27423",2020-07-26,26,7,2020,411,8,"Serbia","RS","SRB",6963764,"Europe",74.52866008
"27424",2020-07-25,25,7,2020,409,10,"Serbia","RS","SRB",6963764,"Europe",73.58089677
"27425",2020-07-24,24,7,2020,412,9,"Serbia","RS","SRB",6963764,"Europe",73.25061562
"27426",2020-07-23,23,7,2020,426,8,"Serbia","RS","SRB",6963764,"Europe",71.1540483
"27427",2020-07-22,22,7,2020,352,9,"Serbia","RS","SRB",6963764,"Europe",70.16320484
"27428",2020-07-21,21,7,2020,359,10,"Serbia","RS","SRB",6963764,"Europe",69.40212219
"27429",2020-07-20,20,7,2020,396,11,"Serbia","RS","SRB",6963764,"Europe",68.39691868
"27430",2020-07-19,19,7,2020,389,9,"Serbia","RS","SRB",6963764,"Europe",67.04707397
"27431",2020-07-18,18,7,2020,392,10,"Serbia","RS","SRB",6963764,"Europe",66.12803076
"27432",2020-07-17,17,7,2020,383,13,"Serbia","RS","SRB",6963764,"Europe",64.9361466
"27433",2020-07-16,16,7,2020,351,11,"Serbia","RS","SRB",6963764,"Europe",64.5915054
"27434",2020-07-15,15,7,2020,344,13,"Serbia","RS","SRB",6963764,"Europe",63.45706144
"27435",2020-07-14,14,7,2020,279,12,"Serbia","RS","SRB",6963764,"Europe",62.48057803
"27436",2020-07-13,13,7,2020,287,11,"Serbia","RS","SRB",6963764,"Europe",61.94925618
"27437",2020-07-12,12,7,2020,345,12,"Serbia","RS","SRB",6963764,"Europe",61.47537452
"27438",2020-07-11,11,7,2020,386,18,"Serbia","RS","SRB",6963764,"Europe",59.78088861
"27439",2020-07-10,10,7,2020,266,11,"Serbia","RS","SRB",6963764,"Europe",57.00939894
"27440",2020-07-09,9,7,2020,357,11,"Serbia","RS","SRB",6963764,"Europe",55.15695248
