"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"25714",2020-07-24,24,7,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",20.46224205
"25715",2020-07-23,23,7,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",23.53157836
"25716",2020-07-22,22,7,2020,6,0,"Seychelles","SC","SYC",97741,"Africa",33.76269938
"25717",2020-07-21,21,7,2020,8,0,"Seychelles","SC","SYC",97741,"Africa",27.62402676
"25718",2020-07-20,20,7,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",91.05697711
"25719",2020-07-19,19,7,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",91.05697711
"25720",2020-07-18,18,7,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",91.05697711
"25721",2020-07-17,17,7,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",91.05697711
"25722",2020-07-16,16,7,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",91.05697711
"25723",2020-07-15,15,7,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",91.05697711
"25724",2020-07-14,14,7,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",91.05697711
"25725",2020-07-13,13,7,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",91.05697711
"25726",2020-07-12,12,7,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",91.05697711
"25727",2020-07-11,11,7,2020,6,0,"Seychelles","SC","SYC",97741,"Africa",91.05697711
"25728",2020-07-10,10,7,2020,3,0,"Seychelles","SC","SYC",97741,"Africa",84.9183045
"25729",2020-07-09,9,7,2020,10,0,"Seychelles","SC","SYC",97741,"Africa",81.84896819
"25730",2020-07-08,8,7,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",71.61784717
"25731",2020-07-07,7,7,2020,70,0,"Seychelles","SC","SYC",97741,"Africa",71.61784717
"25732",2020-07-06,6,7,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",0
"25733",2020-07-05,5,7,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",0
"25734",2020-07-04,4,7,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",0
"25735",2020-07-03,3,7,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",0
"25736",2020-07-02,2,7,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",0
"25737",2020-07-01,1,7,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",0
"25738",2020-06-30,30,6,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",0
"25739",2020-06-29,29,6,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",0
"25740",2020-06-28,28,6,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",0
"25741",2020-06-27,27,6,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",0
"25742",2020-06-26,26,6,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",0
"25743",2020-06-25,25,6,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",0
"25744",2020-06-24,24,6,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",0
"25745",2020-06-23,23,6,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",0
"25746",2020-06-22,22,6,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",0
"25747",2020-06-21,21,6,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",0
"25748",2020-06-20,20,6,2020,0,0,"Seychelles","SC","SYC",97741,"Africa",0
