"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"25001",2020-07-19,19,7,2020,13,0,"Sierra_Leone","SL","SLE",7813207,"Africa",2.15020542
"25002",2020-07-18,18,7,2020,10,1,"Sierra_Leone","SL","SLE",7813207,"Africa",2.09901005
"25003",2020-07-17,17,7,2020,10,0,"Sierra_Leone","SL","SLE",7813207,"Africa",2.04781468
"25004",2020-07-16,16,7,2020,17,0,"Sierra_Leone","SL","SLE",7813207,"Africa",2.1758031
"25005",2020-07-15,15,7,2020,9,1,"Sierra_Leone","SL","SLE",7813207,"Africa",2.41898109
"25006",2020-07-14,14,7,2020,7,0,"Sierra_Leone","SL","SLE",7813207,"Africa",2.45737762
"25007",2020-07-13,13,7,2020,17,0,"Sierra_Leone","SL","SLE",7813207,"Africa",2.66215909
"25008",2020-07-12,12,7,2020,5,0,"Sierra_Leone","SL","SLE",7813207,"Africa",2.66215909
"25009",2020-07-11,11,7,2020,15,0,"Sierra_Leone","SL","SLE",7813207,"Africa",2.80294634
"25010",2020-07-10,10,7,2020,14,0,"Sierra_Leone","SL","SLE",7813207,"Africa",2.77734866
"25011",2020-07-09,9,7,2020,12,0,"Sierra_Leone","SL","SLE",7813207,"Africa",2.9437336
"25012",2020-07-08,8,7,2020,30,1,"Sierra_Leone","SL","SLE",7813207,"Africa",2.8797394
"25013",2020-07-07,7,7,2020,0,0,"Sierra_Leone","SL","SLE",7813207,"Africa",2.58536603
"25014",2020-07-06,6,7,2020,9,0,"Sierra_Leone","SL","SLE",7813207,"Africa",2.75175098
"25015",2020-07-05,5,7,2020,9,0,"Sierra_Leone","SL","SLE",7813207,"Africa",2.86694055
"25016",2020-07-04,4,7,2020,6,2,"Sierra_Leone","SL","SLE",7813207,"Africa",2.89253824
"25017",2020-07-03,3,7,2020,20,0,"Sierra_Leone","SL","SLE",7813207,"Africa",3.14851507
"25018",2020-07-02,2,7,2020,36,0,"Sierra_Leone","SL","SLE",7813207,"Africa",3.1869116
"25019",2020-07-01,1,7,2020,12,0,"Sierra_Leone","SL","SLE",7813207,"Africa",3.0333255
