"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"23921",2020-07-12,12,7,2020,170,0,"Singapore","SG","SGP",5804343,"Asia",43.70865057
"23922",2020-07-11,11,7,2020,191,0,"Singapore","SG","SGP",5804343,"Asia",45.7932965
"23923",2020-07-10,10,7,2020,124,0,"Singapore","SG","SGP",5804343,"Asia",46.27569391
"23924",2020-07-09,9,7,2020,158,0,"Singapore","SG","SGP",5804343,"Asia",46.08618064
"23925",2020-07-08,8,7,2020,157,0,"Singapore","SG","SGP",5804343,"Asia",46.65472044
"23926",2020-07-07,7,7,2020,319,0,"Singapore","SG","SGP",5804343,"Asia",46.00003825
"23927",2020-07-06,6,7,2020,0,0,"Singapore","SG","SGP",5804343,"Asia",44.25996189
"23928",2020-07-05,5,7,2020,185,0,"Singapore","SG","SGP",5804343,"Asia",48.77382333
"23929",2020-07-04,4,7,2020,169,0,"Singapore","SG","SGP",5804343,"Asia",49.34236312
"23930",2020-07-03,3,7,2020,188,0,"Singapore","SG","SGP",5804343,"Asia",48.8771942
"23931",2020-07-02,2,7,2020,215,0,"Singapore","SG","SGP",5804343,"Asia",50.06595923
"23932",2020-07-01,1,7,2020,246,0,"Singapore","SG","SGP",5804343,"Asia",50.61727055
"23933",2020-06-30,30,6,2020,202,0,"Singapore","SG","SGP",5804343,"Asia",48.98056507
"23934",2020-06-29,29,6,2020,213,0,"Singapore","SG","SGP",5804343,"Asia",49.18730681
"23935",2020-06-28,28,6,2020,291,0,"Singapore","SG","SGP",5804343,"Asia",52.52963169
"23936",2020-06-27,27,6,2020,219,0,"Singapore","SG","SGP",5804343,"Asia",53.4944265
"23937",2020-06-26,26,6,2020,113,0,"Singapore","SG","SGP",5804343,"Asia",57.69817531
"23938",2020-06-25,25,6,2020,191,0,"Singapore","SG","SGP",5804343,"Asia",63.02177525
"23939",2020-06-24,24,6,2020,119,0,"Singapore","SG","SGP",5804343,"Asia",67.50117972
"23940",2020-06-23,23,6,2020,218,0,"Singapore","SG","SGP",5804343,"Asia",69.20679912
"23941",2020-06-22,22,6,2020,262,0,"Singapore","SG","SGP",5804343,"Asia",72.10118354
"23942",2020-06-21,21,6,2020,218,0,"Singapore","SG","SGP",5804343,"Asia",74.18582947
"23943",2020-06-20,20,6,2020,142,0,"Singapore","SG","SGP",5804343,"Asia",76.35661779
"23944",2020-06-19,19,6,2020,257,0,"Singapore","SG","SGP",5804343,"Asia",78.40680677
"23945",2020-06-18,18,6,2020,247,0,"Singapore","SG","SGP",5804343,"Asia",82.88621124
"23946",2020-06-17,17,6,2020,151,0,"Singapore","SG","SGP",5804343,"Asia",88.43378139
"23947",2020-06-16,16,6,2020,214,0,"Singapore","SG","SGP",5804343,"Asia",95.20457354
"23948",2020-06-15,15,6,2020,407,0,"Singapore","SG","SGP",5804343,"Asia",98.54689842
"23949",2020-06-14,14,6,2020,347,1,"Singapore","SG","SGP",5804343,"Asia",100.45925956
"23950",2020-06-13,13,6,2020,463,0,"Singapore","SG","SGP",5804343,"Asia",103.19858768
"23951",2020-06-12,12,6,2020,422,0,"Singapore","SG","SGP",5804343,"Asia",105.74840253
"23952",2020-06-11,11,6,2020,451,0,"Singapore","SG","SGP",5804343,"Asia",104.90420707
"23953",2020-06-10,10,6,2020,218,0,"Singapore","SG","SGP",5804343,"Asia",106.31694233
"23954",2020-06-09,9,6,2020,386,0,"Singapore","SG","SGP",5804343,"Asia",109.15964132
