"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"26168",2020-07-24,24,7,2020,3,0,"Sint_Maarten","SX","SXM",42389,"America",14.15461558
"26169",2020-07-23,23,7,2020,2,0,"Sint_Maarten","SX","SXM",42389,"America",7.07730779
"26170",2020-07-22,22,7,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26171",2020-07-21,21,7,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26172",2020-07-20,20,7,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26173",2020-07-19,19,7,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26174",2020-07-18,18,7,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",4.71820519
"26175",2020-07-17,17,7,2020,1,0,"Sint_Maarten","SX","SXM",42389,"America",4.71820519
"26176",2020-07-16,16,7,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26177",2020-07-15,15,7,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26178",2020-07-14,14,7,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26179",2020-07-13,13,7,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26180",2020-07-12,12,7,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26181",2020-07-11,11,7,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26182",2020-07-10,10,7,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26183",2020-07-09,9,7,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26184",2020-07-08,8,7,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26185",2020-07-07,7,7,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26186",2020-07-06,6,7,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26187",2020-07-05,5,7,2020,1,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26188",2020-07-04,4,7,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26189",2020-07-03,3,7,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26190",2020-07-02,2,7,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26191",2020-07-01,1,7,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26192",2020-06-30,30,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26193",2020-06-29,29,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26194",2020-06-28,28,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26195",2020-06-27,27,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26196",2020-06-26,26,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26197",2020-06-25,25,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26198",2020-06-24,24,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26199",2020-06-23,23,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26200",2020-06-22,22,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26201",2020-06-21,21,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26202",2020-06-20,20,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26203",2020-06-19,19,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26204",2020-06-18,18,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26205",2020-06-17,17,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26206",2020-06-16,16,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26207",2020-06-15,15,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26208",2020-06-14,14,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26209",2020-06-13,13,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26210",2020-06-12,12,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26211",2020-06-11,11,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26212",2020-06-10,10,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26213",2020-06-09,9,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26214",2020-06-08,8,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26215",2020-06-07,7,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26216",2020-06-06,6,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26217",2020-06-05,5,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26218",2020-06-04,4,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26219",2020-06-03,3,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26220",2020-06-02,2,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26221",2020-06-01,1,6,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26222",2020-05-31,31,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26223",2020-05-30,30,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26224",2020-05-29,29,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26225",2020-05-28,28,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26226",2020-05-27,27,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",0
"26227",2020-05-26,26,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26228",2020-05-25,25,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26229",2020-05-24,24,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26230",2020-05-23,23,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26231",2020-05-22,22,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26232",2020-05-21,21,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26233",2020-05-20,20,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26234",2020-05-19,19,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26235",2020-05-18,18,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26236",2020-05-17,17,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26237",2020-05-16,16,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26238",2020-05-15,15,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26239",2020-05-14,14,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26240",2020-05-13,13,5,2020,1,0,"Sint_Maarten","SX","SXM",42389,"America",4.71820519
"26241",2020-05-12,12,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",2.3591026
"26242",2020-05-11,11,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",4.71820519
"26243",2020-05-10,10,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",7.07730779
"26244",2020-05-09,9,5,2020,0,1,"Sint_Maarten","SX","SXM",42389,"America",7.07730779
"26245",2020-05-08,8,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",7.07730779
"26246",2020-05-07,7,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",7.07730779
"26247",2020-05-06,6,5,2020,0,1,"Sint_Maarten","SX","SXM",42389,"America",18.87282078
"26248",2020-05-05,5,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",18.87282078
"26249",2020-05-04,4,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",21.23192338
"26250",2020-05-03,3,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",28.30923117
"26251",2020-05-02,2,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",44.82294935
"26252",2020-05-01,1,5,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",44.82294935
"26253",2020-04-30,30,4,2020,1,0,"Sint_Maarten","SX","SXM",42389,"America",44.82294935
"26254",2020-04-29,29,4,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",54.25935974
"26255",2020-04-28,28,4,2020,1,0,"Sint_Maarten","SX","SXM",42389,"America",54.25935974
"26256",2020-04-27,27,4,2020,1,1,"Sint_Maarten","SX","SXM",42389,"America",56.61846234
"26257",2020-04-26,26,4,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",54.25935974
"26258",2020-04-25,25,4,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",54.25935974
"26259",2020-04-24,24,4,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",54.25935974
"26260",2020-04-23,23,4,2020,5,2,"Sint_Maarten","SX","SXM",42389,"America",77.85038571
"26261",2020-04-22,22,4,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",66.05487273
"26262",2020-04-21,21,4,2020,1,0,"Sint_Maarten","SX","SXM",42389,"America",101.44141169
"26263",2020-04-20,20,4,2020,3,1,"Sint_Maarten","SX","SXM",42389,"America",99.08230909
"26264",2020-04-19,19,4,2020,7,0,"Sint_Maarten","SX","SXM",42389,"America",96.72320649
"26265",2020-04-18,18,4,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",80.20948831
"26266",2020-04-17,17,4,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",80.20948831
"26267",2020-04-16,16,4,2020,5,0,"Sint_Maarten","SX","SXM",42389,"America",96.72320649
"26268",2020-04-15,15,4,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",108.51871948
"26269",2020-04-14,14,4,2020,2,0,"Sint_Maarten","SX","SXM",42389,"America",115.59602727
"26270",2020-04-13,13,4,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",110.87782208
"26271",2020-04-12,12,4,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",110.87782208
"26272",2020-04-11,11,4,2020,0,1,"Sint_Maarten","SX","SXM",42389,"America",113.23692467
"26273",2020-04-10,10,4,2020,10,0,"Sint_Maarten","SX","SXM",42389,"America",113.23692467
"26274",2020-04-09,9,4,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",92.0050013
"26275",2020-04-08,8,4,2020,15,4,"Sint_Maarten","SX","SXM",42389,"America",94.36410389
"26276",2020-04-07,7,4,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",NA
"26277",2020-04-06,6,4,2020,2,2,"Sint_Maarten","SX","SXM",42389,"America",NA
"26278",2020-04-05,5,4,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",NA
"26279",2020-04-04,4,4,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",NA
"26280",2020-04-03,3,4,2020,7,1,"Sint_Maarten","SX","SXM",42389,"America",NA
"26281",2020-04-02,2,4,2020,10,1,"Sint_Maarten","SX","SXM",42389,"America",NA
"26282",2020-04-01,1,4,2020,3,0,"Sint_Maarten","SX","SXM",42389,"America",NA
"26283",2020-03-30,30,3,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",NA
"26284",2020-03-29,29,3,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",NA
"26285",2020-03-28,28,3,2020,1,0,"Sint_Maarten","SX","SXM",42389,"America",NA
"26286",2020-03-27,27,3,2020,0,0,"Sint_Maarten","SX","SXM",42389,"America",NA
"26287",2020-03-26,26,3,2020,1,0,"Sint_Maarten","SX","SXM",42389,"America",NA
"26288",2020-03-03,3,3,2020,1,0,"Sint_Maarten","SX","SXM",42389,"America",NA
