"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"24352",2020-07-12,12,7,2020,34,0,"Slovenia","SI","SVN",2080908,"Europe",12.25426593
"24353",2020-07-11,11,7,2020,17,0,"Slovenia","SI","SVN",2080908,"Europe",11.29314703
"24354",2020-07-10,10,7,2020,13,0,"Slovenia","SI","SVN",2080908,"Europe",11.00481136
"24355",2020-07-09,9,7,2020,24,0,"Slovenia","SI","SVN",2080908,"Europe",10.66841975
"24356",2020-07-08,8,7,2020,23,0,"Slovenia","SI","SVN",2080908,"Europe",9.85146869
"24357",2020-07-07,7,7,2020,16,0,"Slovenia","SI","SVN",2080908,"Europe",9.37090924
"24358",2020-07-06,6,7,2020,21,0,"Slovenia","SI","SVN",2080908,"Europe",8.65007007
"24359",2020-07-05,5,7,2020,30,0,"Slovenia","SI","SVN",2080908,"Europe",7.68895117
"24360",2020-07-04,4,7,2020,16,0,"Slovenia","SI","SVN",2080908,"Europe",6.53560849
"24361",2020-07-03,3,7,2020,20,0,"Slovenia","SI","SVN",2080908,"Europe",5.86282527
"24362",2020-07-02,2,7,2020,13,0,"Slovenia","SI","SVN",2080908,"Europe",5.28615393
"24363",2020-07-01,1,7,2020,15,0,"Slovenia","SI","SVN",2080908,"Europe",4.85365043
"24364",2020-06-30,30,6,2020,4,0,"Slovenia","SI","SVN",2080908,"Europe",4.27697909
"24365",2020-06-29,29,6,2020,9,0,"Slovenia","SI","SVN",2080908,"Europe",4.13281125
"24366",2020-06-28,28,6,2020,14,0,"Slovenia","SI","SVN",2080908,"Europe",3.84447558
"24367",2020-06-27,27,6,2020,11,0,"Slovenia","SI","SVN",2080908,"Europe",3.26780425
"24368",2020-06-26,26,6,2020,6,0,"Slovenia","SI","SVN",2080908,"Europe",2.83530074
"24369",2020-06-25,25,6,2020,7,0,"Slovenia","SI","SVN",2080908,"Europe",2.54696507
"24370",2020-06-24,24,6,2020,13,2,"Slovenia","SI","SVN",2080908,"Europe",2.30668535
"24371",2020-06-23,23,6,2020,1,0,"Slovenia","SI","SVN",2080908,"Europe",1.73001401
"24372",2020-06-22,22,6,2020,1,0,"Slovenia","SI","SVN",2080908,"Europe",1.68195807
"24373",2020-06-21,21,6,2020,6,0,"Slovenia","SI","SVN",2080908,"Europe",1.63390212
"24374",2020-06-20,20,6,2020,2,0,"Slovenia","SI","SVN",2080908,"Europe",1.3936224
"24375",2020-06-19,19,6,2020,8,0,"Slovenia","SI","SVN",2080908,"Europe",1.53779023
"24376",2020-06-18,18,6,2020,4,0,"Slovenia","SI","SVN",2080908,"Europe",1.24945457
"24377",2020-06-17,17,6,2020,3,0,"Slovenia","SI","SVN",2080908,"Europe",1.15334268
"24378",2020-06-16,16,6,2020,1,0,"Slovenia","SI","SVN",2080908,"Europe",1.00917484
"24379",2020-06-15,15,6,2020,3,0,"Slovenia","SI","SVN",2080908,"Europe",1.05723079
"24380",2020-06-14,14,6,2020,2,0,"Slovenia","SI","SVN",2080908,"Europe",0.91306295
"24381",2020-06-13,13,6,2020,2,0,"Slovenia","SI","SVN",2080908,"Europe",0.81695106
"24382",2020-06-12,12,6,2020,0,0,"Slovenia","SI","SVN",2080908,"Europe",0.72083917
"24383",2020-06-11,11,6,2020,2,1,"Slovenia","SI","SVN",2080908,"Europe",0.81695106
"24384",2020-06-10,10,6,2020,1,0,"Slovenia","SI","SVN",2080908,"Europe",0.81695106
"24385",2020-06-09,9,6,2020,0,0,"Slovenia","SI","SVN",2080908,"Europe",0.76889512
"24386",2020-06-08,8,6,2020,0,0,"Slovenia","SI","SVN",2080908,"Europe",0.76889512
"24387",2020-06-07,7,6,2020,1,0,"Slovenia","SI","SVN",2080908,"Europe",0.81695106
"24388",2020-06-06,6,6,2020,5,0,"Slovenia","SI","SVN",2080908,"Europe",0.76889512
"24389",2020-06-05,5,6,2020,2,0,"Slovenia","SI","SVN",2080908,"Europe",0.52861539
"24390",2020-06-04,4,6,2020,2,0,"Slovenia","SI","SVN",2080908,"Europe",0.4325035
"24391",2020-06-03,3,6,2020,0,0,"Slovenia","SI","SVN",2080908,"Europe",0.33639161
"24392",2020-06-02,2,6,2020,2,0,"Slovenia","SI","SVN",2080908,"Europe",0.38444756
"24393",2020-06-01,1,6,2020,0,0,"Slovenia","SI","SVN",2080908,"Europe",0.33639161
"24394",2020-05-31,31,5,2020,0,0,"Slovenia","SI","SVN",2080908,"Europe",0.33639161
"24395",2020-05-30,30,5,2020,0,0,"Slovenia","SI","SVN",2080908,"Europe",0.38444756
"24396",2020-05-29,29,5,2020,2,1,"Slovenia","SI","SVN",2080908,"Europe",0.38444756
"24397",2020-05-28,28,5,2020,2,1,"Slovenia","SI","SVN",2080908,"Europe",0.33639161
"24398",2020-05-27,27,5,2020,0,0,"Slovenia","SI","SVN",2080908,"Europe",0.28833567
"24399",2020-05-26,26,5,2020,0,0,"Slovenia","SI","SVN",2080908,"Europe",0.38444756
"24400",2020-05-25,25,5,2020,1,0,"Slovenia","SI","SVN",2080908,"Europe",0.4325035
"24401",2020-05-24,24,5,2020,0,0,"Slovenia","SI","SVN",2080908,"Europe",0.52861539
"24402",2020-05-23,23,5,2020,0,0,"Slovenia","SI","SVN",2080908,"Europe",0.67278323
"24403",2020-05-22,22,5,2020,0,0,"Slovenia","SI","SVN",2080908,"Europe",0.86500701
"24404",2020-05-21,21,5,2020,0,2,"Slovenia","SI","SVN",2080908,"Europe",0.91306295
"24405",2020-05-20,20,5,2020,1,0,"Slovenia","SI","SVN",2080908,"Europe",0.9611189
"24406",2020-05-19,19,5,2020,1,0,"Slovenia","SI","SVN",2080908,"Europe",1.05723079
"24407",2020-05-18,18,5,2020,0,1,"Slovenia","SI","SVN",2080908,"Europe",1.29751051
"24408",2020-05-17,17,5,2020,1,0,"Slovenia","SI","SVN",2080908,"Europe",1.29751051
"24409",2020-05-16,16,5,2020,0,0,"Slovenia","SI","SVN",2080908,"Europe",1.48973429
"24410",2020-05-15,15,5,2020,1,0,"Slovenia","SI","SVN",2080908,"Europe",1.73001401
"24411",2020-05-14,14,5,2020,1,1,"Slovenia","SI","SVN",2080908,"Europe",2.21057346
"24412",2020-05-13,13,5,2020,2,0,"Slovenia","SI","SVN",2080908,"Europe",2.64307696
"24413",2020-05-12,12,5,2020,1,0,"Slovenia","SI","SVN",2080908,"Europe",2.59502102
"24414",2020-05-11,11,5,2020,3,1,"Slovenia","SI","SVN",2080908,"Europe",2.54696507
"24415",2020-05-10,10,5,2020,3,1,"Slovenia","SI","SVN",2080908,"Europe",3.31586019
"24416",2020-05-09,9,5,2020,4,1,"Slovenia","SI","SVN",2080908,"Europe",3.89253153
"24417",2020-05-08,8,5,2020,1,0,"Slovenia","SI","SVN",2080908,"Europe",4.03669936
"24418",2020-05-07,7,5,2020,1,1,"Slovenia","SI","SVN",2080908,"Europe",4.6133707
"24419",2020-05-06,6,5,2020,3,1,"Slovenia","SI","SVN",2080908,"Europe",5.19004204
"24420",2020-05-05,5,5,2020,6,1,"Slovenia","SI","SVN",2080908,"Europe",5.28615393
"24421",2020-05-04,4,5,2020,0,2,"Slovenia","SI","SVN",2080908,"Europe",5.23809798
"24422",2020-05-03,3,5,2020,5,1,"Slovenia","SI","SVN",2080908,"Europe",5.86282527
"24423",2020-05-02,2,5,2020,5,2,"Slovenia","SI","SVN",2080908,"Europe",6.24727283
"24424",2020-05-01,1,5,2020,11,2,"Slovenia","SI","SVN",2080908,"Europe",7.73700711
"24425",2020-04-30,30,4,2020,10,3,"Slovenia","SI","SVN",2080908,"Europe",8.16951062
"24426",2020-04-29,29,4,2020,1,3,"Slovenia","SI","SVN",2080908,"Europe",9.03451762
"24427",2020-04-28,28,4,2020,0,1,"Slovenia","SI","SVN",2080908,"Europe",9.37090924
"24428",2020-04-27,27,4,2020,19,1,"Slovenia","SI","SVN",2080908,"Europe",9.70730085
"24429",2020-04-26,26,4,2020,15,1,"Slovenia","SI","SVN",2080908,"Europe",9.61118896
"24430",2020-04-25,25,4,2020,7,1,"Slovenia","SI","SVN",2080908,"Europe",10.23591624
"24431",2020-04-24,24,4,2020,13,0,"Slovenia","SI","SVN",2080908,"Europe",11.62953864
"24432",2020-04-23,23,4,2020,13,2,"Slovenia","SI","SVN",2080908,"Europe",12.59065754
"24433",2020-04-22,22,4,2020,5,3,"Slovenia","SI","SVN",2080908,"Europe",13.69594427
"24434",2020-04-21,21,4,2020,5,0,"Slovenia","SI","SVN",2080908,"Europe",15.08956667
"24435",2020-04-20,20,4,2020,13,4,"Slovenia","SI","SVN",2080908,"Europe",16.00262962
"24436",2020-04-19,19,4,2020,13,4,"Slovenia","SI","SVN",2080908,"Europe",16.33902123
"24437",2020-04-18,18,4,2020,36,5,"Slovenia","SI","SVN",2080908,"Europe",17.78069958
"24438",2020-04-17,17,4,2020,20,0,"Slovenia","SI","SVN",2080908,"Europe",17.82875552
"24439",2020-04-16,16,4,2020,28,5,"Slovenia","SI","SVN",2080908,"Europe",19.55876954
"24440",2020-04-15,15,4,2020,8,1,"Slovenia","SI","SVN",2080908,"Europe",19.51071359
"24441",2020-04-14,14,4,2020,7,2,"Slovenia","SI","SVN",2080908,"Europe",21.57711922
"24442",2020-04-13,13,4,2020,17,3,"Slovenia","SI","SVN",2080908,"Europe",22.82657378
"24443",2020-04-12,12,4,2020,28,5,"Slovenia","SI","SVN",2080908,"Europe",23.88380457
"24444",2020-04-11,11,4,2020,36,2,"Slovenia","SI","SVN",2080908,"Europe",25.37353886
"24445",2020-04-10,10,4,2020,33,3,"Slovenia","SI","SVN",2080908,"Europe",26.28660181
"24446",2020-04-09,9,4,2020,36,4,"Slovenia","SI","SVN",2080908,"Europe",27.05549693
"24447",2020-04-08,8,4,2020,34,6,"Slovenia","SI","SVN",2080908,"Europe",27.63216827
"24448",2020-04-07,7,4,2020,24,2,"Slovenia","SI","SVN",2080908,"Europe",27.82439204
"24449",2020-04-06,6,4,2020,20,6,"Slovenia","SI","SVN",2080908,"Europe",28.01661582
"24450",2020-04-05,5,4,2020,43,2,"Slovenia","SI","SVN",2080908,"Europe",28.54523122
"24451",2020-04-04,4,4,2020,37,4,"Slovenia","SI","SVN",2080908,"Europe",28.49717527
"24452",2020-04-03,3,4,2020,56,1,"Slovenia","SI","SVN",2080908,"Europe",27.7763361
"24453",2020-04-02,2,4,2020,27,2,"Slovenia","SI","SVN",2080908,"Europe",26.67104937
"24454",2020-04-01,1,4,2020,51,2,"Slovenia","SI","SVN",2080908,"Europe",25.90215425
"24455",2020-03-31,31,3,2020,33,0,"Slovenia","SI","SVN",2080908,"Europe",24.50853185
"24456",2020-03-30,30,3,2020,39,2,"Slovenia","SI","SVN",2080908,"Europe",24.5565878
"24457",2020-03-29,29,3,2020,59,0,"Slovenia","SI","SVN",2080908,"Europe",24.50853185
"24458",2020-03-28,28,3,2020,55,4,"Slovenia","SI","SVN",2080908,"Europe",23.5954689
"24459",2020-03-27,27,3,2020,49,1,"Slovenia","SI","SVN",2080908,"Europe",23.11490945
"24460",2020-03-26,26,3,2020,48,1,"Slovenia","SI","SVN",2080908,"Europe",22.63435
"24461",2020-03-25,25,3,2020,38,2,"Slovenia","SI","SVN",2080908,"Europe",21.57711922
"24462",2020-03-24,24,3,2020,28,0,"Slovenia","SI","SVN",2080908,"Europe",20.47183249
"24463",2020-03-23,23,3,2020,31,0,"Slovenia","SI","SVN",2080908,"Europe",19.31848981
"24464",2020-03-22,22,3,2020,42,0,"Slovenia","SI","SVN",2080908,"Europe",17.97292336
"24465",2020-03-21,21,3,2020,22,0,"Slovenia","SI","SVN",2080908,"Europe",16.09874151
"24466",2020-03-20,20,3,2020,33,0,"Slovenia","SI","SVN",2080908,"Europe",15.28179045
"24467",2020-03-19,19,3,2020,11,0,"Slovenia","SI","SVN",2080908,"Europe",13.74400022
"24468",2020-03-18,18,3,2020,22,1,"Slovenia","SI","SVN",2080908,"Europe",NA
"24469",2020-03-17,17,3,2020,34,0,"Slovenia","SI","SVN",2080908,"Europe",NA
"24470",2020-03-16,16,3,2020,38,0,"Slovenia","SI","SVN",2080908,"Europe",NA
"24471",2020-03-15,15,3,2020,40,0,"Slovenia","SI","SVN",2080908,"Europe",NA
"24472",2020-03-14,14,3,2020,45,0,"Slovenia","SI","SVN",2080908,"Europe",NA
"24473",2020-03-13,13,3,2020,39,0,"Slovenia","SI","SVN",2080908,"Europe",NA
"24474",2020-03-12,12,3,2020,26,0,"Slovenia","SI","SVN",2080908,"Europe",NA
"24475",2020-03-11,11,3,2020,15,0,"Slovenia","SI","SVN",2080908,"Europe",NA
"24476",2020-03-09,9,3,2020,4,0,"Slovenia","SI","SVN",2080908,"Europe",NA
"24477",2020-03-08,8,3,2020,3,0,"Slovenia","SI","SVN",2080908,"Europe",NA
"24478",2020-03-07,7,3,2020,3,0,"Slovenia","SI","SVN",2080908,"Europe",NA
"24479",2020-03-06,6,3,2020,5,0,"Slovenia","SI","SVN",2080908,"Europe",NA
"24480",2020-03-05,5,3,2020,1,0,"Slovenia","SI","SVN",2080908,"Europe",NA
