"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"26569",2020-07-24,24,7,2020,10,0,"Somalia","SO","SOM",15442906,"Africa",0.86123687
"26570",2020-07-23,23,7,2020,26,0,"Somalia","SO","SOM",15442906,"Africa",0.86123687
"26571",2020-07-22,22,7,2020,5,0,"Somalia","SO","SOM",15442906,"Africa",0.77705582
"26572",2020-07-21,21,7,2020,11,0,"Somalia","SO","SOM",15442906,"Africa",0.80295768
"26573",2020-07-20,20,7,2020,8,0,"Somalia","SO","SOM",15442906,"Africa",0.79000675
"26574",2020-07-19,19,7,2020,5,0,"Somalia","SO","SOM",15442906,"Africa",0.97131978
"26575",2020-07-18,18,7,2020,23,0,"Somalia","SO","SOM",15442906,"Africa",1.04902536
"26576",2020-07-17,17,7,2020,0,0,"Somalia","SO","SOM",15442906,"Africa",0.90008966
"26577",2020-07-16,16,7,2020,7,0,"Somalia","SO","SOM",15442906,"Africa",1.02959896
"26578",2020-07-15,15,7,2020,17,0,"Somalia","SO","SOM",15442906,"Africa",0.98427071
"26579",2020-07-14,14,7,2020,0,0,"Somalia","SO","SOM",15442906,"Africa",1.0036971
"26580",2020-07-13,13,7,2020,8,1,"Somalia","SO","SOM",15442906,"Africa",1.06845175
"26581",2020-07-12,12,7,2020,13,0,"Somalia","SO","SOM",15442906,"Africa",1.12025548
"26582",2020-07-11,11,7,2020,0,0,"Somalia","SO","SOM",15442906,"Africa",1.03607443
"26583",2020-07-10,10,7,2020,10,0,"Somalia","SO","SOM",15442906,"Africa",1.03607443
"26584",2020-07-09,9,7,2020,13,0,"Somalia","SO","SOM",15442906,"Africa",1.08787815
"26585",2020-07-08,8,7,2020,9,0,"Somalia","SO","SOM",15442906,"Africa",1.16558373
"26586",2020-07-07,7,7,2020,9,0,"Somalia","SO","SOM",15442906,"Africa",1.25624024
"26587",2020-07-06,6,7,2020,36,0,"Somalia","SO","SOM",15442906,"Africa",1.41165141
"26588",2020-07-05,5,7,2020,17,2,"Somalia","SO","SOM",15442906,"Africa",1.33394583
"26589",2020-07-04,4,7,2020,0,0,"Somalia","SO","SOM",15442906,"Africa",1.45697966
"26590",2020-07-03,3,7,2020,20,0,"Somalia","SO","SOM",15442906,"Africa",1.45697966
"26591",2020-07-02,2,7,2020,0,0,"Somalia","SO","SOM",15442906,"Africa",1.47640606
"26592",2020-07-01,1,7,2020,20,0,"Somalia","SO","SOM",15442906,"Africa",1.72247374
"26593",2020-06-30,30,6,2020,10,0,"Somalia","SO","SOM",15442906,"Africa",1.69657188
"26594",2020-06-29,29,6,2020,16,0,"Somalia","SO","SOM",15442906,"Africa",1.88436037
"26595",2020-06-28,28,6,2020,0,0,"Somalia","SO","SOM",15442906,"Africa",1.93616409
"26596",2020-06-27,27,6,2020,0,0,"Somalia","SO","SOM",15442906,"Africa",2.36354479
"26597",2020-06-26,26,6,2020,18,0,"Somalia","SO","SOM",15442906,"Africa",2.36354479
"26598",2020-06-25,25,6,2020,25,0,"Somalia","SO","SOM",15442906,"Africa",2.64198979
"26599",2020-06-24,24,6,2020,23,0,"Somalia","SO","SOM",15442906,"Africa",2.71321991
"26600",2020-06-23,23,6,2020,33,0,"Somalia","SO","SOM",15442906,"Africa",2.87510654
"26601",2020-06-22,22,6,2020,24,2,"Somalia","SO","SOM",15442906,"Africa",2.881582
"26602",2020-06-21,21,6,2020,36,0,"Somalia","SO","SOM",15442906,"Africa",3.01756677
"26603",2020-06-20,20,6,2020,0,0,"Somalia","SO","SOM",15442906,"Africa",3.33486456
"26604",2020-06-19,19,6,2020,23,0,"Somalia","SO","SOM",15442906,"Africa",3.33486456
"26605",2020-06-18,18,6,2020,38,0,"Somalia","SO","SOM",15442906,"Africa",3.56150585
"26606",2020-06-17,17,6,2020,16,0,"Somalia","SO","SOM",15442906,"Africa",3.68453968
"26607",2020-06-16,16,6,2020,39,0,"Somalia","SO","SOM",15442906,"Africa",4.00831294
"26608",2020-06-15,15,6,2020,24,1,"Somalia","SO","SOM",15442906,"Africa",4.06011666
"26609",2020-06-14,14,6,2020,66,2,"Somalia","SO","SOM",15442906,"Africa",4.29323341
"26610",2020-06-13,13,6,2020,0,0,"Somalia","SO","SOM",15442906,"Africa",4.43569364
"26611",2020-06-12,12,6,2020,61,0,"Somalia","SO","SOM",15442906,"Africa",4.43569364
"26612",2020-06-11,11,6,2020,36,0,"Somalia","SO","SOM",15442906,"Africa",4.66881039
"26613",2020-06-10,10,6,2020,48,1,"Somalia","SO","SOM",15442906,"Africa",4.56520295
"26614",2020-06-09,9,6,2020,34,1,"Somalia","SO","SOM",15442906,"Africa",4.39684085
"26615",2020-06-08,8,6,2020,45,1,"Somalia","SO","SOM",15442906,"Africa",4.79184423
"26616",2020-06-07,7,6,2020,85,3,"Somalia","SO","SOM",15442906,"Africa",4.5004483
"26617",2020-06-06,6,6,2020,0,0,"Somalia","SO","SOM",15442906,"Africa",3.95003376
"26618",2020-06-05,5,6,2020,58,0,"Somalia","SO","SOM",15442906,"Africa",3.95003376
"26619",2020-06-04,4,6,2020,57,0,"Somalia","SO","SOM",15442906,"Africa",3.71044155
"26620",2020-06-03,3,6,2020,66,0,"Somalia","SO","SOM",15442906,"Africa",3.80109806
"26621",2020-06-02,2,6,2020,47,1,"Somalia","SO","SOM",15442906,"Africa",3.67806422
"26622",2020-06-01,1,6,2020,60,5,"Somalia","SO","SOM",15442906,"Africa",3.59388317
