"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"27049",2020-07-26,26,7,2020,12204,312,"South_Africa","ZA","ZAF",58558267,"Africa",290.33646095
"27050",2020-07-25,25,7,2020,13944,250,"South_Africa","ZA","ZAF",58558267,"Africa",292.5445181
"27051",2020-07-24,24,7,2020,13104,153,"South_Africa","ZA","ZAF",58558267,"Africa",289.8190276
"27052",2020-07-23,23,7,2020,13150,572,"South_Africa","ZA","ZAF",58558267,"Africa",290.79241706
"27053",2020-07-22,22,7,2020,8170,195,"South_Africa","ZA","ZAF",58558267,"Africa",283.38099555
"27054",2020-07-21,21,7,2020,9300,140,"South_Africa","ZA","ZAF",58558267,"Africa",286.73491994
"27055",2020-07-20,20,7,2020,13449,85,"South_Africa","ZA","ZAF",58558267,"Africa",286.17308637
"27056",2020-07-19,19,7,2020,13285,144,"South_Africa","ZA","ZAF",58558267,"Africa",278.18787738
"27057",2020-07-18,18,7,2020,13373,135,"South_Africa","ZA","ZAF",58558267,"Africa",274.03474901
"27058",2020-07-17,17,7,2020,13172,216,"South_Africa","ZA","ZAF",58558267,"Africa",266.67455852
"27059",2020-07-16,16,7,2020,12757,107,"South_Africa","ZA","ZAF",58558267,"Africa",259.08553612
"27060",2020-07-15,15,7,2020,10496,174,"South_Africa","ZA","ZAF",58558267,"Africa",251.17375827
"27061",2020-07-14,14,7,2020,11554,93,"South_Africa","ZA","ZAF",58558267,"Africa",245.10971269
"27062",2020-07-13,13,7,2020,12058,108,"South_Africa","ZA","ZAF",58558267,"Africa",235.8471435
"27063",2020-07-12,12,7,2020,13497,111,"South_Africa","ZA","ZAF",58558267,"Africa",226.07226406
"27064",2020-07-11,11,7,2020,12348,140,"South_Africa","ZA","ZAF",58558267,"Africa",215.33594906
"27065",2020-07-10,10,7,2020,13674,118,"South_Africa","ZA","ZAF",58558267,"Africa",204.86262
"27066",2020-07-09,9,7,2020,8810,100,"South_Africa","ZA","ZAF",58558267,"Africa",192.74648275
"27067",2020-07-08,8,7,2020,10134,192,"South_Africa","ZA","ZAF",58558267,"Africa",187.41504082
"27068",2020-07-07,7,7,2020,8971,111,"South_Africa","ZA","ZAF",58558267,"Africa",177.82459307
"27069",2020-07-06,6,7,2020,8773,173,"South_Africa","ZA","ZAF",58558267,"Africa",169.82743017
"27070",2020-07-05,5,7,2020,10853,74,"South_Africa","ZA","ZAF",58558267,"Africa",162.73705641
"27071",2020-07-04,4,7,2020,9063,108,"South_Africa","ZA","ZAF",58558267,"Africa",152.68382174
"27072",2020-07-03,3,7,2020,8728,95,"South_Africa","ZA","ZAF",58558267,"Africa",143.7388849
