"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"25254",2020-07-15,15,7,2020,39,0,"South_Korea","KR","KOR",51225321,"Asia",1.36846385
"25255",2020-07-14,14,7,2020,33,0,"South_Korea","KR","KOR",51225321,"Asia",1.38993761
"25256",2020-07-13,13,7,2020,62,0,"South_Korea","KR","KOR",51225321,"Asia",1.4094592
"25257",2020-07-12,12,7,2020,44,1,"South_Korea","KR","KOR",51225321,"Asia",1.37041601
"25258",2020-07-11,11,7,2020,35,0,"South_Korea","KR","KOR",51225321,"Asia",1.40555488
"25259",2020-07-10,10,7,2020,45,1,"South_Korea","KR","KOR",51225321,"Asia",1.43678943
"25260",2020-07-09,9,7,2020,49,2,"South_Korea","KR","KOR",51225321,"Asia",1.42507648
"25261",2020-07-08,8,7,2020,63,0,"South_Korea","KR","KOR",51225321,"Asia",1.38408113
"25262",2020-07-07,7,7,2020,90,2,"South_Korea","KR","KOR",51225321,"Asia",1.36065521
"25263",2020-07-06,6,7,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",1.27476019
"25264",2020-07-05,5,7,2020,61,0,"South_Korea","KR","KOR",51225321,"Asia",1.3079469
"25265",2020-07-04,4,7,2020,63,1,"South_Korea","KR","KOR",51225321,"Asia",1.28256883
"25266",2020-07-03,3,7,2020,63,0,"South_Korea","KR","KOR",51225321,"Asia",1.29037747
"25267",2020-07-02,2,7,2020,54,0,"South_Korea","KR","KOR",51225321,"Asia",1.26304723
"25268",2020-07-01,1,7,2020,50,0,"South_Korea","KR","KOR",51225321,"Asia",1.27280803
"25269",2020-06-30,30,6,2020,43,0,"South_Korea","KR","KOR",51225321,"Asia",1.25914291
"25270",2020-06-29,29,6,2020,42,0,"South_Korea","KR","KOR",51225321,"Asia",1.24157348
"25271",2020-06-28,28,6,2020,62,0,"South_Korea","KR","KOR",51225321,"Asia",1.23181268
"25272",2020-06-27,27,6,2020,51,0,"South_Korea","KR","KOR",51225321,"Asia",1.17520005
"25273",2020-06-26,26,6,2020,39,0,"South_Korea","KR","KOR",51225321,"Asia",1.16934358
"25274",2020-06-25,25,6,2020,28,1,"South_Korea","KR","KOR",51225321,"Asia",1.20253029
"25275",2020-06-24,24,6,2020,51,0,"South_Korea","KR","KOR",51225321,"Asia",1.235717
"25276",2020-06-23,23,6,2020,46,1,"South_Korea","KR","KOR",51225321,"Asia",1.23376484
"25277",2020-06-22,22,6,2020,17,0,"South_Korea","KR","KOR",51225321,"Asia",1.21814756
"25278",2020-06-21,21,6,2020,48,0,"South_Korea","KR","KOR",51225321,"Asia",1.25914291
"25279",2020-06-20,20,6,2020,67,0,"South_Korea","KR","KOR",51225321,"Asia",1.27671235
"25280",2020-06-19,19,6,2020,49,0,"South_Korea","KR","KOR",51225321,"Asia",1.2454778
"25281",2020-06-18,18,6,2020,59,1,"South_Korea","KR","KOR",51225321,"Asia",1.2259562
"25282",2020-06-17,17,6,2020,43,1,"South_Korea","KR","KOR",51225321,"Asia",1.18691301
"25283",2020-06-16,16,6,2020,34,1,"South_Korea","KR","KOR",51225321,"Asia",1.19862597
"25284",2020-06-15,15,6,2020,37,0,"South_Korea","KR","KOR",51225321,"Asia",1.20643461
"25285",2020-06-14,14,6,2020,33,0,"South_Korea","KR","KOR",51225321,"Asia",1.20253029
"25286",2020-06-13,13,6,2020,48,0,"South_Korea","KR","KOR",51225321,"Asia",1.19081733
"25287",2020-06-12,12,6,2020,56,1,"South_Korea","KR","KOR",51225321,"Asia",1.17324789
"25288",2020-06-11,11,6,2020,45,0,"South_Korea","KR","KOR",51225321,"Asia",1.17715221
"25289",2020-06-10,10,6,2020,50,2,"South_Korea","KR","KOR",51225321,"Asia",1.24352564
