"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"27399",2020-07-26,26,7,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",1.16614238
"27400",2020-07-25,25,7,2020,19,0,"South_Sudan","SS","SSD",11062114,"Africa",1.16614238
"27401",2020-07-24,24,7,2020,28,0,"South_Sudan","SS","SSD",11062114,"Africa",1.13902279
"27402",2020-07-23,23,7,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",0.94918566
"27403",2020-07-22,22,7,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",1.02150457
"27404",2020-07-21,21,7,2020,11,2,"South_Sudan","SS","SSD",11062114,"Africa",1.06670389
"27405",2020-07-20,20,7,2020,9,0,"South_Sudan","SS","SSD",11062114,"Africa",1.48253761
"27406",2020-07-19,19,7,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",1.40117883
"27407",2020-07-18,18,7,2020,20,2,"South_Sudan","SS","SSD",11062114,"Africa",1.40117883
"27408",2020-07-17,17,7,2020,18,0,"South_Sudan","SS","SSD",11062114,"Africa",1.22038157
"27409",2020-07-16,16,7,2020,5,0,"South_Sudan","SS","SSD",11062114,"Africa",1.32885993
"27410",2020-07-15,15,7,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",1.28366061
"27411",2020-07-14,14,7,2020,9,0,"South_Sudan","SS","SSD",11062114,"Africa",1.28366061
"27412",2020-07-13,13,7,2020,10,0,"South_Sudan","SS","SSD",11062114,"Africa",1.35597952
"27413",2020-07-12,12,7,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",1.54581665
"27414",2020-07-11,11,7,2020,16,1,"South_Sudan","SS","SSD",11062114,"Africa",1.60005583
"27415",2020-07-10,10,7,2020,7,0,"South_Sudan","SS","SSD",11062114,"Africa",1.54581665
"27416",2020-07-09,9,7,2020,8,0,"South_Sudan","SS","SSD",11062114,"Africa",1.59101597
"27417",2020-07-08,8,7,2020,5,0,"South_Sudan","SS","SSD",11062114,"Africa",1.64525515
"27418",2020-07-07,7,7,2020,57,2,"South_Sudan","SS","SSD",11062114,"Africa",1.81701255
"27419",2020-07-06,6,7,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",1.39213897
"27420",2020-07-05,5,7,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",1.55485651
"27421",2020-07-04,4,7,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",2.01588955
"27422",2020-07-03,3,7,2020,30,1,"South_Sudan","SS","SSD",11062114,"Africa",2.01588955
"27423",2020-07-02,2,7,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",1.79893283
"27424",2020-07-01,1,7,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",2.07916859
"27425",2020-06-30,30,6,2020,17,1,"South_Sudan","SS","SSD",11062114,"Africa",2.26900573
"27426",2020-06-29,29,6,2020,31,0,"South_Sudan","SS","SSD",11062114,"Africa",2.67579958
"27427",2020-06-28,28,6,2020,6,0,"South_Sudan","SS","SSD",11062114,"Africa",2.39556381
"27428",2020-06-27,27,6,2020,10,0,"South_Sudan","SS","SSD",11062114,"Africa",2.54924149
"27429",2020-06-26,26,6,2020,12,0,"South_Sudan","SS","SSD",11062114,"Africa",3.05547385
"27430",2020-06-25,25,6,2020,14,1,"South_Sudan","SS","SSD",11062114,"Africa",2.94699548
"27431",2020-06-24,24,6,2020,24,1,"South_Sudan","SS","SSD",11062114,"Africa",2.8204374
"27432",2020-06-23,23,6,2020,10,0,"South_Sudan","SS","SSD",11062114,"Africa",2.60348067
"27433",2020-06-22,22,6,2020,18,0,"South_Sudan","SS","SSD",11062114,"Africa",5.10752285
"27434",2020-06-21,21,6,2020,51,3,"South_Sudan","SS","SSD",11062114,"Africa",4.94480531
"27435",2020-06-20,20,6,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",4.48377227
"27436",2020-06-19,19,6,2020,6,0,"South_Sudan","SS","SSD",11062114,"Africa",4.48377227
"27437",2020-06-18,18,6,2020,31,1,"South_Sudan","SS","SSD",11062114,"Africa",7.34940898
"27438",2020-06-17,17,6,2020,21,0,"South_Sudan","SS","SSD",11062114,"Africa",7.06917322
"27439",2020-06-16,16,6,2020,62,3,"South_Sudan","SS","SSD",11062114,"Africa",6.87933608
"27440",2020-06-15,15,6,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",6.31886455
"27441",2020-06-14,14,6,2020,23,5,"South_Sudan","SS","SSD",11062114,"Africa",6.31886455
"27442",2020-06-13,13,6,2020,66,3,"South_Sudan","SS","SSD",11062114,"Africa",6.11094769
"27443",2020-06-12,12,6,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",7.21381103
"27444",2020-06-11,11,6,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",7.21381103
"27445",2020-06-10,10,6,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",7.21381103
"27446",2020-06-09,9,6,2020,287,5,"South_Sudan","SS","SSD",11062114,"Africa",8.57883041
"27447",2020-06-08,8,6,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",6.81605704
"27448",2020-06-07,7,6,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",6.81605704
"27449",2020-06-06,6,6,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",8.84098645
"27450",2020-06-05,5,6,2020,323,4,"South_Sudan","SS","SSD",11062114,"Africa",8.84098645
"27451",2020-06-04,4,6,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",6.40926318
"27452",2020-06-03,3,6,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",6.40926318
"27453",2020-06-02,2,6,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",6.43638277
"27454",2020-06-01,1,6,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",6.43638277
"27455",2020-05-31,31,5,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",6.85221649
"27456",2020-05-30,30,5,2020,188,2,"South_Sudan","SS","SSD",11062114,"Africa",6.85221649
"27457",2020-05-29,29,5,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",5.19792148
"27458",2020-05-28,28,5,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",5.45103766
"27459",2020-05-27,27,5,2020,151,0,"South_Sudan","SS","SSD",11062114,"Africa",5.53239643
"27460",2020-05-26,26,5,2020,92,2,"South_Sudan","SS","SSD",11062114,"Africa",4.51089186
"27461",2020-05-25,25,5,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",3.67922442
"27462",2020-05-24,24,5,2020,224,0,"South_Sudan","SS","SSD",11062114,"Africa",3.79674265
"27463",2020-05-23,23,5,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",1.97973009
"27464",2020-05-22,22,5,2020,54,0,"South_Sudan","SS","SSD",11062114,"Africa",2.250926
"27465",2020-05-21,21,5,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",1.90741119
"27466",2020-05-20,20,5,2020,3,2,"South_Sudan","SS","SSD",11062114,"Africa",2.10628818
"27467",2020-05-19,19,5,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",2.13340777
"27468",2020-05-18,18,5,2020,46,0,"South_Sudan","SS","SSD",11062114,"Africa",2.13340777
"27469",2020-05-17,17,5,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",1.72661392
"27470",2020-05-16,16,5,2020,5,3,"South_Sudan","SS","SSD",11062114,"Africa",1.72661392
"27471",2020-05-15,15,5,2020,28,1,"South_Sudan","SS","SSD",11062114,"Africa",1.77181324
"27472",2020-05-14,14,5,2020,9,0,"South_Sudan","SS","SSD",11062114,"Africa",1.52773692
"27473",2020-05-13,13,5,2020,38,0,"South_Sudan","SS","SSD",11062114,"Africa",1.44637815
"27474",2020-05-12,12,5,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",1.35597952
"27475",2020-05-11,11,5,2020,13,0,"South_Sudan","SS","SSD",11062114,"Africa",1.35597952
"27476",2020-05-10,10,5,2020,23,0,"South_Sudan","SS","SSD",11062114,"Africa",1.24750116
"27477",2020-05-09,9,5,2020,30,0,"South_Sudan","SS","SSD",11062114,"Africa",1.0395843
"27478",2020-05-08,8,5,2020,16,0,"South_Sudan","SS","SSD",11062114,"Africa",0.77742826
"27479",2020-05-07,7,5,2020,22,0,"South_Sudan","SS","SSD",11062114,"Africa",0.63279044
"27480",2020-05-06,6,5,2020,6,0,"South_Sudan","SS","SSD",11062114,"Africa",0.43391345
"27481",2020-05-05,5,5,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",0.37967426
"27482",2020-05-04,4,5,2020,1,0,"South_Sudan","SS","SSD",11062114,"Africa",0.37967426
"27483",2020-05-03,3,5,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",0.3706344
"27484",2020-05-02,2,5,2020,10,0,"South_Sudan","SS","SSD",11062114,"Africa",0.3706344
"27485",2020-05-01,1,5,2020,1,0,"South_Sudan","SS","SSD",11062114,"Africa",0.28023577
"27486",2020-04-30,30,4,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",0.2711959
"27487",2020-04-29,29,4,2020,28,0,"South_Sudan","SS","SSD",11062114,"Africa",0.2711959
"27488",2020-04-28,28,4,2020,0,0,"South_Sudan","SS","SSD",11062114,"Africa",0.01807973
