"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"25553",2020-07-15,15,7,2020,666,3,"Spain","ES","ESP",46937060,"Europe",15.65500694
"25554",2020-07-13,13,7,2020,2045,3,"Spain","ES","ESP",46937060,"Europe",14.87736982
"25555",2020-07-12,12,7,2020,0,0,"Spain","ES","ESP",46937060,"Europe",10.94657399
"25556",2020-07-11,11,7,2020,0,0,"Spain","ES","ESP",46937060,"Europe",11.58785829
"25557",2020-07-10,10,7,2020,852,2,"Spain","ES","ESP",46937060,"Europe",12.78946743
"25558",2020-07-09,9,7,2020,543,5,"Spain","ES","ESP",46937060,"Europe",11.86695545
"25559",2020-07-08,8,7,2020,383,4,"Spain","ES","ESP",46937060,"Europe",11.56229214
"25560",2020-07-07,7,7,2020,341,4,"Spain","ES","ESP",46937060,"Europe",11.45789702
"25561",2020-07-06,6,7,2020,1244,3,"Spain","ES","ESP",46937060,"Europe",11.25975935
"25562",2020-07-05,5,7,2020,0,0,"Spain","ES","ESP",46937060,"Europe",9.10368055
"25563",2020-07-04,4,7,2020,0,0,"Spain","ES","ESP",46937060,"Europe",9.81527177
"25564",2020-07-03,3,7,2020,442,17,"Spain","ES","ESP",46937060,"Europe",10.58864786
"25565",2020-07-02,2,7,2020,444,5,"Spain","ES","ESP",46937060,"Europe",10.30102865
"25566",2020-07-01,1,7,2020,388,8,"Spain","ES","ESP",46937060,"Europe",10.60143094
"25567",2020-06-30,30,6,2020,301,9,"Spain","ES","ESP",46937060,"Europe",10.53112402
"25568",2020-06-29,29,6,2020,200,3,"Spain","ES","ESP",46937060,"Europe",10.35642198
"25569",2020-06-28,28,6,2020,301,2,"Spain","ES","ESP",46937060,"Europe",10.31594224
"25570",2020-06-27,27,6,2020,564,3,"Spain","ES","ESP",46937060,"Europe",10.36281352
"25571",2020-06-26,26,6,2020,419,8,"Spain","ES","ESP",46937060,"Europe",10.0048874
"25572",2020-06-25,25,6,2020,400,3,"Spain","ES","ESP",46937060,"Europe",10.18171995
"25573",2020-06-24,24,6,2020,334,2,"Spain","ES","ESP",46937060,"Europe",10.23924379
"25574",2020-06-23,23,6,2020,248,1,"Spain","ES","ESP",46937060,"Europe",10.19663353
"25575",2020-06-22,22,6,2020,232,1,"Spain","ES","ESP",46937060,"Europe",10.19876405
"25576",2020-06-21,21,6,2020,334,1,"Spain","ES","ESP",46937060,"Europe",10.06028072
"25577",2020-06-20,20,6,2020,363,7,"Spain","ES","ESP",46937060,"Europe",9.86001254
