"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"25213",2020-07-12,12,7,2020,57,0,"Sri_Lanka","LK","LKA",21323734,"Asia",2.24163367
"25214",2020-07-11,11,7,2020,104,0,"Sri_Lanka","LK","LKA",21323734,"Asia",2.06342848
"25215",2020-07-10,10,7,2020,256,0,"Sri_Lanka","LK","LKA",21323734,"Asia",1.59446746
"25216",2020-07-09,9,7,2020,13,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.43613375
"25217",2020-07-08,8,7,2020,3,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.42206492
"25218",2020-07-07,7,7,2020,2,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.59558049
"25219",2020-07-06,6,7,2020,2,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.59089088
"25220",2020-07-05,5,7,2020,5,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.58151166
"25221",2020-07-04,4,7,2020,3,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.55806361
"25222",2020-07-03,3,7,2020,12,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.55806361
"25223",2020-07-02,2,7,2020,7,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.60964932
"25224",2020-07-01,1,7,2020,5,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.61902854
"25225",2020-06-30,30,6,2020,5,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.64247659
"25226",2020-06-29,29,6,2020,4,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.69406231
"25227",2020-06-28,28,6,2020,19,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.69875192
"25228",2020-06-27,27,6,2020,4,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.62840776
"25229",2020-06-26,26,6,2020,9,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.62371815
"25230",2020-06-25,25,6,2020,10,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.61902854
"25231",2020-06-24,24,6,2020,40,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.61902854
"25232",2020-06-23,23,6,2020,1,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.44082336
"25233",2020-06-22,22,6,2020,0,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.53930517
"25234",2020-06-21,21,6,2020,0,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.63778698
"25235",2020-06-20,20,6,2020,3,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.69875192
"25236",2020-06-19,19,6,2020,23,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.70344153
"25237",2020-06-18,18,6,2020,9,0,"Sri_Lanka","LK","LKA",21323734,"Asia",0.82068178
"25238",2020-06-17,17,6,2020,10,0,"Sri_Lanka","LK","LKA",21323734,"Asia",1.08798956
"25239",2020-06-16,16,6,2020,16,0,"Sri_Lanka","LK","LKA",21323734,"Asia",1.22867787
"25240",2020-06-15,15,6,2020,5,0,"Sri_Lanka","LK","LKA",21323734,"Asia",1.20054021
"25241",2020-06-14,14,6,2020,4,0,"Sri_Lanka","LK","LKA",21323734,"Asia",1.23805709
"25242",2020-06-13,13,6,2020,3,0,"Sri_Lanka","LK","LKA",21323734,"Asia",1.51005448
"25243",2020-06-12,12,6,2020,8,0,"Sri_Lanka","LK","LKA",21323734,"Asia",1.62729473
"25244",2020-06-11,11,6,2020,10,0,"Sri_Lanka","LK","LKA",21323734,"Asia",1.87584407
"25245",2020-06-10,10,6,2020,2,0,"Sri_Lanka","LK","LKA",21323734,"Asia",2.5323895
"25246",2020-06-09,9,6,2020,22,0,"Sri_Lanka","LK","LKA",21323734,"Asia",3.16548687
"25247",2020-06-08,8,6,2020,21,0,"Sri_Lanka","LK","LKA",21323734,"Asia",3.25458946
"25248",2020-06-07,7,6,2020,13,0,"Sri_Lanka","LK","LKA",21323734,"Asia",3.39996738
"25249",2020-06-06,6,6,2020,4,0,"Sri_Lanka","LK","LKA",21323734,"Asia",3.43748426
"25250",2020-06-05,5,6,2020,48,0,"Sri_Lanka","LK","LKA",21323734,"Asia",3.47969075
"25251",2020-06-04,4,6,2020,66,0,"Sri_Lanka","LK","LKA",21323734,"Asia",3.38120894
"25252",2020-06-03,3,6,2020,40,0,"Sri_Lanka","LK","LKA",21323734,"Asia",3.07638428
"25253",2020-06-02,2,6,2020,10,1,"Sri_Lanka","LK","LKA",21323734,"Asia",3.05293623
"25254",2020-06-01,1,6,2020,13,0,"Sri_Lanka","LK","LKA",21323734,"Asia",3.05762584
"25255",2020-05-31,31,5,2020,62,0,"Sri_Lanka","LK","LKA",21323734,"Asia",3.09514272
"25256",2020-05-30,30,5,2020,28,0,"Sri_Lanka","LK","LKA",21323734,"Asia",2.92162714
"25257",2020-05-29,29,5,2020,61,0,"Sri_Lanka","LK","LKA",21323734,"Asia",2.83721416
"25258",2020-05-28,28,5,2020,150,0,"Sri_Lanka","LK","LKA",21323734,"Asia",2.59804404
"25259",2020-05-27,27,5,2020,137,0,"Sri_Lanka","LK","LKA",21323734,"Asia",2.01653238
"25260",2020-05-26,26,5,2020,41,1,"Sri_Lanka","LK","LKA",21323734,"Asia",1.46784799
"25261",2020-05-25,25,5,2020,52,0,"Sri_Lanka","LK","LKA",21323734,"Asia",1.30371163
"25262",2020-05-24,24,5,2020,21,0,"Sri_Lanka","LK","LKA",21323734,"Asia",1.13488566
"25263",2020-05-23,23,5,2020,13,0,"Sri_Lanka","LK","LKA",21323734,"Asia",1.09267917
"25264",2020-05-22,22,5,2020,27,0,"Sri_Lanka","LK","LKA",21323734,"Asia",1.08329995
"25265",2020-05-21,21,5,2020,1,0,"Sri_Lanka","LK","LKA",21323734,"Asia",1.08329995
"25266",2020-05-20,20,5,2020,35,0,"Sri_Lanka","LK","LKA",21323734,"Asia",1.20054021
"25267",2020-05-19,19,5,2020,11,0,"Sri_Lanka","LK","LKA",21323734,"Asia",1.11143761
"25268",2020-05-18,18,5,2020,21,0,"Sri_Lanka","LK","LKA",21323734,"Asia",1.23336748
"25269",2020-05-17,17,5,2020,25,0,"Sri_Lanka","LK","LKA",21323734,"Asia",1.1958506
"25270",2020-05-16,16,5,2020,10,0,"Sri_Lanka","LK","LKA",21323734,"Asia",1.14895449
"25271",2020-05-15,15,5,2020,10,0,"Sri_Lanka","LK","LKA",21323734,"Asia",1.21929865
