"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"25399",2020-07-12,12,7,2020,46,1,"Sudan","SD","SDN",42813237,"Africa",2.31704041
"25400",2020-07-11,11,7,2020,46,8,"Sudan","SD","SDN",42813237,"Africa",2.21193273
"25401",2020-07-10,10,7,2020,74,5,"Sudan","SD","SDN",42813237,"Africa",2.74214258
"25402",2020-07-09,9,7,2020,87,14,"Sudan","SD","SDN",42813237,"Africa",2.79119283
"25403",2020-07-08,8,7,2020,230,14,"Sudan","SD","SDN",42813237,"Africa",2.58798465
"25404",2020-07-07,7,7,2020,0,0,"Sudan","SD","SDN",42813237,"Africa",2.49689132
"25405",2020-07-06,6,7,2020,104,4,"Sudan","SD","SDN",42813237,"Africa",2.77250702
"25406",2020-07-05,5,7,2020,0,0,"Sudan","SD","SDN",42813237,"Africa",2.52959149
"25407",2020-07-04,4,7,2020,90,2,"Sudan","SD","SDN",42813237,"Africa",3.14622321
"25408",2020-07-03,3,7,2020,0,0,"Sudan","SD","SDN",42813237,"Africa",3.62738281
"25409",2020-07-02,2,7,2020,315,30,"Sudan","SD","SDN",42813237,"Africa",3.62738281
"25410",2020-07-01,1,7,2020,0,0,"Sudan","SD","SDN",42813237,"Africa",3.54563239
"25411",2020-06-30,30,6,2020,0,0,"Sudan","SD","SDN",42813237,"Africa",4.76021003
"25412",2020-06-29,29,6,2020,0,0,"Sudan","SD","SDN",42813237,"Africa",4.76021003
"25413",2020-06-28,28,6,2020,1,0,"Sudan","SD","SDN",42813237,"Africa",5.55669266
"25414",2020-06-27,27,6,2020,273,16,"Sudan","SD","SDN",42813237,"Africa",5.55435694
"25415",2020-06-26,26,6,2020,95,8,"Sudan","SD","SDN",42813237,"Africa",5.26472689
"25416",2020-06-25,25,6,2020,0,0,"Sudan","SD","SDN",42813237,"Africa",5.75055794
"25417",2020-06-24,24,6,2020,191,15,"Sudan","SD","SDN",42813237,"Africa",6.18266729
"25418",2020-06-23,23,6,2020,118,12,"Sudan","SD","SDN",42813237,"Africa",5.73654358
"25419",2020-06-22,22,6,2020,0,0,"Sudan","SD","SDN",42813237,"Africa",5.83230836
"25420",2020-06-21,21,6,2020,264,15,"Sudan","SD","SDN",42813237,"Africa",6.34149667
"25421",2020-06-20,20,6,2020,296,19,"Sudan","SD","SDN",42813237,"Africa",6.07755961
"25422",2020-06-19,19,6,2020,0,0,"Sudan","SD","SDN",42813237,"Africa",5.88836579
"25423",2020-06-18,18,6,2020,280,10,"Sudan","SD","SDN",42813237,"Africa",6.32981804
"25424",2020-06-17,17,6,2020,520,18,"Sudan","SD","SDN",42813237,"Africa",5.6758147
"25425",2020-06-16,16,6,2020,0,0,"Sudan","SD","SDN",42813237,"Africa",4.78123156
"25426",2020-06-15,15,6,2020,341,26,"Sudan","SD","SDN",42813237,"Africa",5.12458332
"25427",2020-06-14,14,6,2020,0,0,"Sudan","SD","SDN",42813237,"Africa",4.8559748
"25428",2020-06-13,13,6,2020,149,20,"Sudan","SD","SDN",42813237,"Africa",5.50764241
"25429",2020-06-12,12,6,2020,303,24,"Sudan","SD","SDN",42813237,"Africa",5.5683713
"25430",2020-06-11,11,6,2020,185,17,"Sudan","SD","SDN",42813237,"Africa",5.3277915
"25431",2020-06-10,10,6,2020,0,0,"Sudan","SD","SDN",42813237,"Africa",5.2927556
"25432",2020-06-09,9,6,2020,159,13,"Sudan","SD","SDN",42813237,"Africa",5.64311453
"25433",2020-06-08,8,6,2020,218,12,"Sudan","SD","SDN",42813237,"Africa",5.7201935
"25434",2020-06-07,7,6,2020,151,14,"Sudan","SD","SDN",42813237,"Africa",5.22501954
"25435",2020-06-06,6,6,2020,215,19,"Sudan","SD","SDN",42813237,"Africa",5.45625644
"25436",2020-06-05,5,6,2020,189,7,"Sudan","SD","SDN",42813237,"Africa",5.51464959
"25437",2020-06-04,4,6,2020,0,0,"Sudan","SD","SDN",42813237,"Africa",6.03084509
"25438",2020-06-03,3,6,2020,137,9,"Sudan","SD","SDN",42813237,"Africa",6.35083958
"25439",2020-06-02,2,6,2020,147,12,"Sudan","SD","SDN",42813237,"Africa",6.03084509
"25440",2020-06-01,1,6,2020,226,24,"Sudan","SD","SDN",42813237,"Africa",6.39288265
"25441",2020-05-31,31,5,2020,279,29,"Sudan","SD","SDN",42813237,"Africa",6.62411955
"25442",2020-05-30,30,5,2020,175,38,"Sudan","SD","SDN",42813237,"Africa",5.97245193
"25443",2020-05-29,29,5,2020,200,11,"Sudan","SD","SDN",42813237,"Africa",5.56369984
"25444",2020-05-28,28,5,2020,170,14,"Sudan","SD","SDN",42813237,"Africa",5.43757063
"25445",2020-05-27,27,5,2020,150,5,"Sudan","SD","SDN",42813237,"Africa",5.40720619
"25446",2020-05-26,26,5,2020,192,19,"Sudan","SD","SDN",42813237,"Africa",5.37217029
"25447",2020-05-25,25,5,2020,6,0,"Sudan","SD","SDN",42813237,"Africa",5.30443423
"25448",2020-05-24,24,5,2020,250,9,"Sudan","SD","SDN",42813237,"Africa",5.75522939
"25449",2020-05-23,23,5,2020,240,16,"Sudan","SD","SDN",42813237,"Africa",5.29509133
"25450",2020-05-22,22,5,2020,410,10,"Sudan","SD","SDN",42813237,"Africa",5.15728348
"25451",2020-05-21,21,5,2020,137,6,"Sudan","SD","SDN",42813237,"Africa",4.38182238
"25452",2020-05-20,20,5,2020,0,0,"Sudan","SD","SDN",42813237,"Africa",4.23467163
"25453",2020-05-19,19,5,2020,302,8,"Sudan","SD","SDN",42813237,"Africa",4.46824425
"25454",2020-05-18,18,5,2020,325,6,"Sudan","SD","SDN",42813237,"Africa",3.76285493
"25455",2020-05-17,17,5,2020,0,0,"Sudan","SD","SDN",42813237,"Africa",3.20461637
"25456",2020-05-16,16,5,2020,0,0,"Sudan","SD","SDN",42813237,"Africa",3.5549753
