"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"27692",2020-07-24,24,7,2020,58,2,"Suriname","SR","SUR",581363,"America",92.88516813
"27693",2020-07-23,23,7,2020,45,0,"Suriname","SR","SUR",581363,"America",87.89689058
"27694",2020-07-22,22,7,2020,52,0,"Suriname","SR","SUR",581363,"America",88.92894801
"27695",2020-07-21,21,7,2020,50,0,"Suriname","SR","SUR",581363,"America",79.98445033
"27696",2020-07-20,20,7,2020,28,1,"Suriname","SR","SUR",581363,"America",74.82416322
"27697",2020-07-19,19,7,2020,58,1,"Suriname","SR","SUR",581363,"America",74.99617279
"27698",2020-07-18,18,7,2020,25,1,"Suriname","SR","SUR",581363,"America",65.70765597
"27699",2020-07-17,17,7,2020,69,0,"Suriname","SR","SUR",581363,"America",63.8155507
"27700",2020-07-16,16,7,2020,48,0,"Suriname","SR","SUR",581363,"America",54.01100517
"27701",2020-07-15,15,7,2020,21,0,"Suriname","SR","SUR",581363,"America",48.85071805
"27702",2020-07-14,14,7,2020,39,0,"Suriname","SR","SUR",581363,"America",47.9906702
"27703",2020-07-13,13,7,2020,0,0,"Suriname","SR","SUR",581363,"America",43.17440222
"27704",2020-07-12,12,7,2020,15,0,"Suriname","SR","SUR",581363,"America",60.20334971
"27705",2020-07-11,11,7,2020,32,1,"Suriname","SR","SUR",581363,"America",57.62320616
"27706",2020-07-10,10,7,2020,29,0,"Suriname","SR","SUR",581363,"America",55.21507217
"27707",2020-07-09,9,7,2020,51,3,"Suriname","SR","SUR",581363,"America",52.97894775
"27708",2020-07-08,8,7,2020,0,0,"Suriname","SR","SUR",581363,"America",50.74282333
"27709",2020-07-07,7,7,2020,20,0,"Suriname","SR","SUR",581363,"America",50.74282333
"27710",2020-07-06,6,7,2020,29,0,"Suriname","SR","SUR",581363,"America",48.16267977
"27711",2020-07-05,5,7,2020,4,1,"Suriname","SR","SUR",581363,"America",45.23851707
"27712",2020-07-04,4,7,2020,14,0,"Suriname","SR","SUR",581363,"America",46.09856492
"27713",2020-07-03,3,7,2020,12,0,"Suriname","SR","SUR",581363,"America",46.44258407
"27714",2020-07-02,2,7,2020,18,0,"Suriname","SR","SUR",581363,"America",47.13062235
"27715",2020-07-01,1,7,2020,16,0,"Suriname","SR","SUR",581363,"America",48.33468934
"27716",2020-06-30,30,6,2020,11,2,"Suriname","SR","SUR",581363,"America",46.78660321
"27717",2020-06-29,29,6,2020,99,1,"Suriname","SR","SUR",581363,"America",48.50669891
"27718",2020-06-28,28,6,2020,0,0,"Suriname","SR","SUR",581363,"America",33.54186627
"27719",2020-06-27,27,6,2020,18,0,"Suriname","SR","SUR",581363,"America",35.0899524
"27720",2020-06-26,26,6,2020,16,0,"Suriname","SR","SUR",581363,"America",35.26196198
"27721",2020-06-25,25,6,2020,38,1,"Suriname","SR","SUR",581363,"America",37.84210553
"27722",2020-06-24,24,6,2020,0,1,"Suriname","SR","SUR",581363,"America",31.30574185
"27723",2020-06-23,23,6,2020,5,0,"Suriname","SR","SUR",581363,"America",32.50980885
"27724",2020-06-22,22,6,2020,12,0,"Suriname","SR","SUR",581363,"America",33.02583756
"27725",2020-06-21,21,6,2020,9,0,"Suriname","SR","SUR",581363,"America",34.74593326
"27726",2020-06-20,20,6,2020,16,1,"Suriname","SR","SUR",581363,"America",34.74593326
"27727",2020-06-19,19,6,2020,16,1,"Suriname","SR","SUR",581363,"America",33.54186627
"27728",2020-06-18,18,6,2020,25,0,"Suriname","SR","SUR",581363,"America",32.1657897
"27729",2020-06-17,17,6,2020,7,1,"Suriname","SR","SUR",581363,"America",31.30574185
"27730",2020-06-16,16,6,2020,21,2,"Suriname","SR","SUR",581363,"America",31.82177056
"27731",2020-06-15,15,6,2020,12,0,"Suriname","SR","SUR",581363,"America",31.82177056
"27732",2020-06-14,14,6,2020,9,0,"Suriname","SR","SUR",581363,"America",31.30574185
"27733",2020-06-13,13,6,2020,19,1,"Suriname","SR","SUR",581363,"America",30.10167486
"27734",2020-06-12,12,6,2020,31,0,"Suriname","SR","SUR",581363,"America",26.83349302
"27735",2020-06-11,11,6,2020,0,0,"Suriname","SR","SUR",581363,"America",21.50119633
"27736",2020-06-10,10,6,2020,7,0,"Suriname","SR","SUR",581363,"America",21.6732059
"27737",2020-06-09,9,6,2020,8,1,"Suriname","SR","SUR",581363,"America",20.4691389
"27738",2020-06-08,8,6,2020,22,0,"Suriname","SR","SUR",581363,"America",19.09306234
"27739",2020-06-07,7,6,2020,9,0,"Suriname","SR","SUR",581363,"America",15.30885178
"27740",2020-06-06,6,6,2020,9,0,"Suriname","SR","SUR",581363,"America",13.76076565
"27741",2020-06-05,5,6,2020,8,0,"Suriname","SR","SUR",581363,"America",12.21267951
"27742",2020-06-04,4,6,2020,20,0,"Suriname","SR","SUR",581363,"America",10.83660295
"27743",2020-06-03,3,6,2020,10,0,"Suriname","SR","SUR",581363,"America",7.39641154
"27744",2020-06-02,2,6,2020,21,0,"Suriname","SR","SUR",581363,"America",5.67631583
"27745",2020-06-01,1,6,2020,9,0,"Suriname","SR","SUR",581363,"America",2.23612442
"27746",2020-05-31,31,5,2020,2,0,"Suriname","SR","SUR",581363,"America",0.68803828
"27747",2020-05-30,30,5,2020,0,0,"Suriname","SR","SUR",581363,"America",0.34401914
"27748",2020-05-29,29,5,2020,0,0,"Suriname","SR","SUR",581363,"America",0.34401914
"27749",2020-05-28,28,5,2020,1,0,"Suriname","SR","SUR",581363,"America",0.34401914
"27750",2020-05-27,27,5,2020,0,0,"Suriname","SR","SUR",581363,"America",0.17200957
"27751",2020-05-26,26,5,2020,0,0,"Suriname","SR","SUR",581363,"America",0.17200957
"27752",2020-05-25,25,5,2020,0,0,"Suriname","SR","SUR",581363,"America",0.17200957
"27753",2020-05-24,24,5,2020,0,0,"Suriname","SR","SUR",581363,"America",0.17200957
"27754",2020-05-23,23,5,2020,0,0,"Suriname","SR","SUR",581363,"America",0.17200957
"27755",2020-05-22,22,5,2020,0,0,"Suriname","SR","SUR",581363,"America",0.17200957
"27756",2020-05-21,21,5,2020,0,0,"Suriname","SR","SUR",581363,"America",0.17200957
"27757",2020-05-20,20,5,2020,0,0,"Suriname","SR","SUR",581363,"America",0.17200957
"27758",2020-05-19,19,5,2020,1,0,"Suriname","SR","SUR",581363,"America",0.17200957
"27759",2020-05-18,18,5,2020,0,0,"Suriname","SR","SUR",581363,"America",0
