"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"26181",2020-07-15,15,7,2020,175,9,"Sweden","SE","SWE",10230185,"Europe",73.80120692
"26182",2020-07-14,14,7,2020,928,10,"Sweden","SE","SWE",10230185,"Europe",79.75417844
"26183",2020-07-13,13,7,2020,0,0,"Sweden","SE","SWE",10230185,"Europe",95.4137193
"26184",2020-07-12,12,7,2020,0,0,"Sweden","SE","SWE",10230185,"Europe",95.4137193
"26185",2020-07-11,11,7,2020,565,26,"Sweden","SE","SWE",10230185,"Europe",95.4137193
"26186",2020-07-10,10,7,2020,475,18,"Sweden","SE","SWE",10230185,"Europe",102.08026541
"26187",2020-07-09,9,7,2020,514,35,"Sweden","SE","SWE",10230185,"Europe",112.74478419
"26188",2020-07-08,8,7,2020,283,14,"Sweden","SE","SWE",10230185,"Europe",122.25585363
"26189",2020-07-07,7,7,2020,1642,13,"Sweden","SE","SWE",10230185,"Europe",138.11089438
"26190",2020-07-06,6,7,2020,0,0,"Sweden","SE","SWE",10230185,"Europe",150.30031226
"26191",2020-07-05,5,7,2020,0,0,"Sweden","SE","SWE",10230185,"Europe",150.30031226
"26192",2020-07-04,4,7,2020,780,9,"Sweden","SE","SWE",10230185,"Europe",150.30031226
"26193",2020-07-03,3,7,2020,947,41,"Sweden","SE","SWE",10230185,"Europe",142.67581671
"26194",2020-07-02,2,7,2020,1241,37,"Sweden","SE","SWE",10230185,"Europe",147.89566367
"26195",2020-07-01,1,7,2020,784,23,"Sweden","SE","SWE",10230185,"Europe",147.87611368
"26196",2020-06-30,30,6,2020,2530,30,"Sweden","SE","SWE",10230185,"Europe",149.40101279
"26197",2020-06-29,29,6,2020,0,0,"Sweden","SE","SWE",10230185,"Europe",132.18724784
"26198",2020-06-28,28,6,2020,0,0,"Sweden","SE","SWE",10230185,"Europe",138.86356894
"26199",2020-06-27,27,6,2020,1247,50,"Sweden","SE","SWE",10230185,"Europe",151.05298682
"26200",2020-06-26,26,6,2020,1566,21,"Sweden","SE","SWE",10230185,"Europe",152.50946097
"26201",2020-06-25,25,6,2020,1487,48,"Sweden","SE","SWE",10230185,"Europe",151.6101615
"26202",2020-06-24,24,6,2020,1905,39,"Sweden","SE","SWE",10230185,"Europe",145.7744899
"26203",2020-06-23,23,6,2020,2889,69,"Sweden","SE","SWE",10230185,"Europe",134.88514626
"26204",2020-06-22,22,6,2020,0,0,"Sweden","SE","SWE",10230185,"Europe",110.58451045
"26205",2020-06-21,21,6,2020,0,0,"Sweden","SE","SWE",10230185,"Europe",118.82483064
"26206",2020-06-20,20,6,2020,0,0,"Sweden","SE","SWE",10230185,"Europe",128.09152523
"26207",2020-06-19,19,6,2020,1481,12,"Sweden","SE","SWE",10230185,"Europe",138.4139192
"26208",2020-06-18,18,6,2020,1239,102,"Sweden","SE","SWE",10230185,"Europe",134.49414649
"26209",2020-06-17,17,6,2020,940,48,"Sweden","SE","SWE",10230185,"Europe",144.02476593
"26210",2020-06-16,16,6,2020,769,17,"Sweden","SE","SWE",10230185,"Europe",142.41189187
"26211",2020-06-15,15,6,2020,683,0,"Sweden","SE","SWE",10230185,"Europe",137.5537197
"26212",2020-06-14,14,6,2020,1247,20,"Sweden","SE","SWE",10230185,"Europe",135.07087115
"26213",2020-06-13,13,6,2020,1396,40,"Sweden","SE","SWE",10230185,"Europe",129.10812463
"26214",2020-06-12,12,6,2020,1474,19,"Sweden","SE","SWE",10230185,"Europe",122.78370333
"26215",2020-06-11,11,6,2020,890,78,"Sweden","SE","SWE",10230185,"Europe",114.62158309
"26216",2020-06-10,10,6,2020,791,23,"Sweden","SE","SWE",10230185,"Europe",112.25603447
"26217",2020-06-09,9,6,2020,403,35,"Sweden","SE","SWE",10230185,"Europe",110.35968558
"26218",2020-06-08,8,6,2020,843,3,"Sweden","SE","SWE",10230185,"Europe",110.17396069
"26219",2020-06-07,7,6,2020,948,17,"Sweden","SE","SWE",10230185,"Europe",104.58266395
"26220",2020-06-06,6,6,2020,1056,77,"Sweden","SE","SWE",10230185,"Europe",99.0206922
"26221",2020-06-05,5,6,2020,1080,20,"Sweden","SE","SWE",10230185,"Europe",94.92496959
"26222",2020-06-04,4,6,2020,2214,74,"Sweden","SE","SWE",10230185,"Europe",90.71194705
"26223",2020-06-03,3,6,2020,775,65,"Sweden","SE","SWE",10230185,"Europe",76.14720555
"26224",2020-06-02,2,6,2020,272,8,"Sweden","SE","SWE",10230185,"Europe",72.69663256
"26225",2020-06-01,1,6,2020,429,0,"Sweden","SE","SWE",10230185,"Europe",72.32518278
"26226",2020-05-31,31,5,2020,637,45,"Sweden","SE","SWE",10230185,"Europe",72.68685757
"26227",2020-05-30,30,5,2020,749,84,"Sweden","SE","SWE",10230185,"Europe",71.05443352
"26228",2020-05-29,29,5,2020,639,46,"Sweden","SE","SWE",10230185,"Europe",69.84233423
"26229",2020-05-28,28,5,2020,648,95,"Sweden","SE","SWE",10230185,"Europe",70.17468404
"26230",2020-05-27,27,5,2020,597,96,"Sweden","SE","SWE",10230185,"Europe",70.0671591
"26231",2020-05-26,26,5,2020,384,31,"Sweden","SE","SWE",10230185,"Europe",70.11603407
"26232",2020-05-25,25,5,2020,271,6,"Sweden","SE","SWE",10230185,"Europe",69.76413428
"26233",2020-05-24,24,5,2020,379,67,"Sweden","SE","SWE",10230185,"Europe",71.03488353
"26234",2020-05-23,23,5,2020,637,54,"Sweden","SE","SWE",10230185,"Europe",73.74255695
"26235",2020-05-22,22,5,2020,649,40,"Sweden","SE","SWE",10230185,"Europe",73.79143192
"26236",2020-05-21,21,5,2020,724,88,"Sweden","SE","SWE",10230185,"Europe",74.3388316
"26237",2020-05-20,20,5,2020,422,45,"Sweden","SE","SWE",10230185,"Europe",74.12378173
"26238",2020-05-19,19,5,2020,234,19,"Sweden","SE","SWE",10230185,"Europe",74.83735631
"26239",2020-05-18,18,5,2020,466,5,"Sweden","SE","SWE",10230185,"Europe",76.49910534
"26240",2020-05-17,17,5,2020,470,28,"Sweden","SE","SWE",10230185,"Europe",74.24108166
"26241",2020-05-16,16,5,2020,625,117,"Sweden","SE","SWE",10230185,"Europe",75.14038114
"26242",2020-05-15,15,5,2020,673,69,"Sweden","SE","SWE",10230185,"Europe",73.21470726
"26243",2020-05-14,14,5,2020,637,147,"Sweden","SE","SWE",10230185,"Europe",74.35838159
"26244",2020-05-13,13,5,2020,602,57,"Sweden","SE","SWE",10230185,"Europe",74.78848134
"26245",2020-05-12,12,5,2020,348,31,"Sweden","SE","SWE",10230185,"Europe",75.69755581
"26246",2020-05-11,11,5,2020,401,5,"Sweden","SE","SWE",10230185,"Europe",75.09150617
"26247",2020-05-10,10,5,2020,656,45,"Sweden","SE","SWE",10230185,"Europe",75.69755581
"26248",2020-05-09,9,5,2020,642,135,"Sweden","SE","SWE",10230185,"Europe",75.24790607
"26249",2020-05-08,8,5,2020,705,99,"Sweden","SE","SWE",10230185,"Europe",76.9096551
"26250",2020-05-07,7,5,2020,702,87,"Sweden","SE","SWE",10230185,"Europe",77.35930484
"26251",2020-05-06,6,5,2020,495,85,"Sweden","SE","SWE",10230185,"Europe",77.16380496
"26252",2020-05-05,5,5,2020,404,90,"Sweden","SE","SWE",10230185,"Europe",77.65255467
"26253",2020-05-04,4,5,2020,235,10,"Sweden","SE","SWE",10230185,"Europe",77.53525474
