"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"26379",2020-07-15,15,7,2020,70,2,"Switzerland","CH","CHE",8544527,"Europe",15.21441737
"26380",2020-07-14,14,7,2020,63,0,"Switzerland","CH","CHE",8544527,"Europe",15.12079019
"26381",2020-07-13,13,7,2020,85,0,"Switzerland","CH","CHE",8544527,"Europe",14.79309504
"26382",2020-07-12,12,7,2020,108,0,"Switzerland","CH","CHE",8544527,"Europe",14.52391689
"26383",2020-07-11,11,7,2020,104,0,"Switzerland","CH","CHE",8544527,"Europe",14.06748437
"26384",2020-07-10,10,7,2020,88,0,"Switzerland","CH","CHE",8544527,"Europe",13.52912806
"26385",2020-07-09,9,7,2020,129,0,"Switzerland","CH","CHE",8544527,"Europe",13.10780573
"26386",2020-07-08,8,7,2020,54,0,"Switzerland","CH","CHE",8544527,"Europe",12.11301691
"26387",2020-07-07,7,7,2020,46,0,"Switzerland","CH","CHE",8544527,"Europe",11.73850817
"26388",2020-07-06,6,7,2020,70,0,"Switzerland","CH","CHE",8544527,"Europe",11.41081303
"26389",2020-07-05,5,7,2020,97,0,"Switzerland","CH","CHE",8544527,"Europe",10.59157517
"26390",2020-07-04,4,7,2020,133,0,"Switzerland","CH","CHE",8544527,"Europe",9.45634556
"26391",2020-07-03,3,7,2020,33,1,"Switzerland","CH","CHE",8544527,"Europe",8.97650625
"26392",2020-07-02,2,7,2020,220,1,"Switzerland","CH","CHE",8544527,"Europe",8.78925188
"26393",2020-07-01,1,7,2020,62,2,"Switzerland","CH","CHE",8544527,"Europe",6.64753005
"26394",2020-06-30,30,6,2020,35,0,"Switzerland","CH","CHE",8544527,"Europe",6.09747035
"26395",2020-06-29,29,6,2020,62,0,"Switzerland","CH","CHE",8544527,"Europe",5.85169899
"26396",2020-06-28,28,6,2020,69,0,"Switzerland","CH","CHE",8544527,"Europe",5.39526647
"26397",2020-06-27,27,6,2020,58,0,"Switzerland","CH","CHE",8544527,"Europe",4.95053734
"26398",2020-06-26,26,6,2020,52,0,"Switzerland","CH","CHE",8544527,"Europe",4.49410482
"26399",2020-06-25,25,6,2020,44,2,"Switzerland","CH","CHE",8544527,"Europe",4.27174026
"26400",2020-06-24,24,6,2020,22,0,"Switzerland","CH","CHE",8544527,"Europe",4.0259689
"26401",2020-06-23,23,6,2020,18,0,"Switzerland","CH","CHE",8544527,"Europe",3.95574852
"26402",2020-06-22,22,6,2020,0,2,"Switzerland","CH","CHE",8544527,"Europe",3.82701114
"26403",2020-06-21,21,6,2020,0,0,"Switzerland","CH","CHE",8544527,"Europe",3.93234172
"26404",2020-06-20,20,6,2020,92,0,"Switzerland","CH","CHE",8544527,"Europe",4.16640968
"26405",2020-06-19,19,6,2020,17,0,"Switzerland","CH","CHE",8544527,"Europe",3.35887522
"26406",2020-06-18,18,6,2020,37,0,"Switzerland","CH","CHE",8544527,"Europe",3.39398541
"26407",2020-06-17,17,6,2020,15,1,"Switzerland","CH","CHE",8544527,"Europe",3.18332425
"26408",2020-06-16,16,6,2020,14,0,"Switzerland","CH","CHE",8544527,"Europe",3.04288347
"26409",2020-06-15,15,6,2020,23,0,"Switzerland","CH","CHE",8544527,"Europe",2.98436648
"26410",2020-06-14,14,6,2020,31,0,"Switzerland","CH","CHE",8544527,"Europe",2.9141461
"26411",2020-06-13,13,6,2020,19,2,"Switzerland","CH","CHE",8544527,"Europe",2.75029852
"26412",2020-06-12,12,6,2020,33,0,"Switzerland","CH","CHE",8544527,"Europe",2.9024427
"26413",2020-06-11,11,6,2020,23,12,"Switzerland","CH","CHE",8544527,"Europe",2.92584949
"26414",2020-06-10,10,6,2020,16,2,"Switzerland","CH","CHE",8544527,"Europe",2.65667134
"26415",2020-06-09,9,6,2020,7,0,"Switzerland","CH","CHE",8544527,"Europe",2.64496794
"26416",2020-06-08,8,6,2020,9,0,"Switzerland","CH","CHE",8544527,"Europe",2.68007814
"26417",2020-06-07,7,6,2020,20,1,"Switzerland","CH","CHE",8544527,"Europe",2.70348493
"26418",2020-06-06,6,6,2020,23,0,"Switzerland","CH","CHE",8544527,"Europe",2.68007814
"26419",2020-06-05,5,6,2020,20,0,"Switzerland","CH","CHE",8544527,"Europe",2.56304416
"26420",2020-06-04,4,6,2020,19,3,"Switzerland","CH","CHE",8544527,"Europe",2.75029852
"26421",2020-06-03,3,6,2020,3,0,"Switzerland","CH","CHE",8544527,"Europe",2.99606988
"26422",2020-06-02,2,6,2020,9,0,"Switzerland","CH","CHE",8544527,"Europe",3.20673105
"26423",2020-06-01,1,6,2020,17,0,"Switzerland","CH","CHE",8544527,"Europe",3.21843444
"26424",2020-05-31,31,5,2020,17,0,"Switzerland","CH","CHE",8544527,"Europe",3.19502765
"26425",2020-05-30,30,5,2020,32,2,"Switzerland","CH","CHE",8544527,"Europe",3.67486696
"26426",2020-05-29,29,5,2020,35,7,"Switzerland","CH","CHE",8544527,"Europe",3.89723153
"26427",2020-05-28,28,5,2020,0,0,"Switzerland","CH","CHE",8544527,"Europe",4.0727825
"26428",2020-05-27,27,5,2020,15,6,"Switzerland","CH","CHE",8544527,"Europe",4.45899463
"26429",2020-05-26,26,5,2020,10,0,"Switzerland","CH","CHE",8544527,"Europe",4.70476599
"26430",2020-05-25,25,5,2020,11,0,"Switzerland","CH","CHE",8544527,"Europe",5.04416453
