"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"27497",2020-07-20,20,7,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.8084296
"27498",2020-07-19,19,7,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.92559331
"27499",2020-07-18,18,7,2020,19,3,"Syria","SY","SYR",17070132,"Asia",0.98417517
"27500",2020-07-17,17,7,2020,19,0,"Syria","SY","SYR",17070132,"Asia",0.96660061
"27501",2020-07-16,16,7,2020,19,1,"Syria","SY","SYR",17070132,"Asia",0.96660061
"27502",2020-07-15,15,7,2020,22,2,"Syria","SY","SYR",17070132,"Asia",0.93730968
"27503",2020-07-14,14,7,2020,23,3,"Syria","SY","SYR",17070132,"Asia",0.86701146
"27504",2020-07-13,13,7,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.8084296
"27505",2020-07-12,12,7,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.8084296
"27506",2020-07-11,11,7,2020,22,2,"Syria","SY","SYR",17070132,"Asia",0.81428779
"27507",2020-07-10,10,7,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.76156412
"27508",2020-07-09,9,7,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.82600416
"27509",2020-07-08,8,7,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.82600416
"27510",2020-07-07,7,7,2020,14,1,"Syria","SY","SYR",17070132,"Asia",0.89630238
"27511",2020-07-06,6,7,2020,20,3,"Syria","SY","SYR",17070132,"Asia",0.90216057
"27512",2020-07-05,5,7,2020,10,0,"Syria","SY","SYR",17070132,"Asia",0.82014597
"27513",2020-07-04,4,7,2020,16,1,"Syria","SY","SYR",17070132,"Asia",0.82600416
"27514",2020-07-03,3,7,2020,19,0,"Syria","SY","SYR",17070132,"Asia",0.73227319
"27515",2020-07-02,2,7,2020,14,0,"Syria","SY","SYR",17070132,"Asia",0.67369133
"27516",2020-07-01,1,7,2020,10,0,"Syria","SY","SYR",17070132,"Asia",0.59753492
"27517",2020-06-30,30,6,2020,13,0,"Syria","SY","SYR",17070132,"Asia",0.53895307
"27518",2020-06-29,29,6,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.46279666
"27519",2020-06-28,28,6,2020,1,1,"Syria","SY","SYR",17070132,"Asia",0.50380395
"27520",2020-06-27,27,6,2020,13,1,"Syria","SY","SYR",17070132,"Asia",0.53309488
"27521",2020-06-26,26,6,2020,11,0,"Syria","SY","SYR",17070132,"Asia",0.45693847
"27522",2020-06-25,25,6,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.46279666
"27523",2020-06-24,24,6,2020,12,0,"Syria","SY","SYR",17070132,"Asia",0.49794577
"27524",2020-06-23,23,6,2020,15,0,"Syria","SY","SYR",17070132,"Asia",0.43936391
"27525",2020-06-22,22,6,2020,6,0,"Syria","SY","SYR",17070132,"Asia",0.36906569
"27526",2020-06-21,21,6,2020,11,0,"Syria","SY","SYR",17070132,"Asia",0.43350573
"27527",2020-06-20,20,6,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.36906569
"27528",2020-06-19,19,6,2020,9,0,"Syria","SY","SYR",17070132,"Asia",0.36906569
"27529",2020-06-18,18,6,2020,1,1,"Syria","SY","SYR",17070132,"Asia",0.3222002
"27530",2020-06-17,17,6,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.31634202
"27531",2020-06-16,16,6,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.31634202
"27532",2020-06-15,15,6,2020,7,0,"Syria","SY","SYR",17070132,"Asia",0.3222002
"27533",2020-06-14,14,6,2020,6,0,"Syria","SY","SYR",17070132,"Asia",0.2811929
"27534",2020-06-13,13,6,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.24604379
"27535",2020-06-12,12,6,2020,12,0,"Syria","SY","SYR",17070132,"Asia",0.25190198
"27536",2020-06-11,11,6,2020,6,0,"Syria","SY","SYR",17070132,"Asia",0.18160375
"27537",2020-06-10,10,6,2020,2,0,"Syria","SY","SYR",17070132,"Asia",0.14645464
"27538",2020-06-09,9,6,2020,3,0,"Syria","SY","SYR",17070132,"Asia",0.22261105
"27539",2020-06-08,8,6,2020,17,0,"Syria","SY","SYR",17070132,"Asia",0.3222002
"27540",2020-06-07,7,6,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.31634202
"27541",2020-06-06,6,6,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.38078206
"27542",2020-06-05,5,6,2020,1,0,"Syria","SY","SYR",17070132,"Asia",0.38664024
"27543",2020-06-04,4,6,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.38078206
"27544",2020-06-03,3,6,2020,0,1,"Syria","SY","SYR",17070132,"Asia",0.38078206
"27545",2020-06-02,2,6,2020,1,1,"Syria","SY","SYR",17070132,"Asia",0.38078206
"27546",2020-06-01,1,6,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.37492387
"27547",2020-05-31,31,5,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.41593117
"27548",2020-05-30,30,5,2020,1,0,"Syria","SY","SYR",17070132,"Asia",0.42178936
"27549",2020-05-29,29,5,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.42764754
"27550",2020-05-28,28,5,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.42764754
"27551",2020-05-27,27,5,2020,15,0,"Syria","SY","SYR",17070132,"Asia",0.43350573
"27552",2020-05-26,26,5,2020,20,0,"Syria","SY","SYR",17070132,"Asia",0.34563295
"27553",2020-05-25,25,5,2020,16,0,"Syria","SY","SYR",17070132,"Asia",0.22846924
"27554",2020-05-24,24,5,2020,11,0,"Syria","SY","SYR",17070132,"Asia",0.13473827
"27555",2020-05-23,23,5,2020,1,1,"Syria","SY","SYR",17070132,"Asia",0.07029823
"27556",2020-05-22,22,5,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.07615641
"27557",2020-05-21,21,5,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.07615641
"27558",2020-05-20,20,5,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.0820146
"27559",2020-05-19,19,5,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.0820146
"27560",2020-05-18,18,5,2020,7,0,"Syria","SY","SYR",17070132,"Asia",0.0820146
"27561",2020-05-17,17,5,2020,1,0,"Syria","SY","SYR",17070132,"Asia",0.0410073
"27562",2020-05-16,16,5,2020,2,0,"Syria","SY","SYR",17070132,"Asia",0.03514911
"27563",2020-05-15,15,5,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.02929093
"27564",2020-05-14,14,5,2020,1,0,"Syria","SY","SYR",17070132,"Asia",0.02929093
"27565",2020-05-13,13,5,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.02343274
"27566",2020-05-12,12,5,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.02343274
"27567",2020-05-11,11,5,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.02343274
"27568",2020-05-10,10,5,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.02929093
"27569",2020-05-09,9,5,2020,2,0,"Syria","SY","SYR",17070132,"Asia",0.02929093
"27570",2020-05-08,8,5,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.01757456
"27571",2020-05-07,7,5,2020,1,0,"Syria","SY","SYR",17070132,"Asia",0.01757456
"27572",2020-05-06,6,5,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.01171637
"27573",2020-05-05,5,5,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.02929093
"27574",2020-05-04,4,5,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.02929093
"27575",2020-05-03,3,5,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.03514911
"27576",2020-05-02,2,5,2020,1,0,"Syria","SY","SYR",17070132,"Asia",0.03514911
"27577",2020-05-01,1,5,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.05858186
"27578",2020-04-30,30,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.05858186
"27579",2020-04-29,29,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.0820146
"27580",2020-04-28,28,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.10544734
"27581",2020-04-27,27,4,2020,1,0,"Syria","SY","SYR",17070132,"Asia",0.10544734
"27582",2020-04-26,26,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.09958915
"27583",2020-04-25,25,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.13473827
"27584",2020-04-24,24,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.13473827
"27585",2020-04-23,23,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.13473827
"27586",2020-04-22,22,4,2020,3,0,"Syria","SY","SYR",17070132,"Asia",0.13473827
"27587",2020-04-21,21,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.11716371
"27588",2020-04-20,20,4,2020,1,1,"Syria","SY","SYR",17070132,"Asia",0.11716371
"27589",2020-04-19,19,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.12888008
"27590",2020-04-18,18,4,2020,5,0,"Syria","SY","SYR",17070132,"Asia",0.12888008
"27591",2020-04-17,17,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.09958915
"27592",2020-04-16,16,4,2020,4,0,"Syria","SY","SYR",17070132,"Asia",0.13473827
"27593",2020-04-15,15,4,2020,4,0,"Syria","SY","SYR",17070132,"Asia",0.11130552
"27594",2020-04-14,14,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.08787278
"27595",2020-04-13,13,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.09373097
"27596",2020-04-12,12,4,2020,6,0,"Syria","SY","SYR",17070132,"Asia",0.11716371
"27597",2020-04-11,11,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.0820146
"27598",2020-04-10,10,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.0820146
"27599",2020-04-09,9,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.10544734
"27600",2020-04-08,8,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.10544734
"27601",2020-04-07,7,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.10544734
"27602",2020-04-06,6,4,2020,3,0,"Syria","SY","SYR",17070132,"Asia",0.10544734
"27603",2020-04-05,5,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",0.09373097
"27604",2020-04-04,4,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",NA
"27605",2020-04-03,3,4,2020,6,0,"Syria","SY","SYR",17070132,"Asia",NA
"27606",2020-04-02,2,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",NA
"27607",2020-04-01,1,4,2020,0,0,"Syria","SY","SYR",17070132,"Asia",NA
"27608",2020-03-31,31,3,2020,1,1,"Syria","SY","SYR",17070132,"Asia",NA
"27609",2020-03-30,30,3,2020,4,1,"Syria","SY","SYR",17070132,"Asia",NA
"27610",2020-03-29,29,3,2020,0,0,"Syria","SY","SYR",17070132,"Asia",NA
"27611",2020-03-28,28,3,2020,0,0,"Syria","SY","SYR",17070132,"Asia",NA
"27612",2020-03-27,27,3,2020,4,0,"Syria","SY","SYR",17070132,"Asia",NA
"27613",2020-03-26,26,3,2020,0,0,"Syria","SY","SYR",17070132,"Asia",NA
"27614",2020-03-25,25,3,2020,0,0,"Syria","SY","SYR",17070132,"Asia",NA
"27615",2020-03-24,24,3,2020,0,0,"Syria","SY","SYR",17070132,"Asia",NA
