"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"27432",2020-07-19,19,7,2020,1,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.02523778
"27433",2020-07-18,18,7,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.02103148
"27434",2020-07-17,17,7,2020,2,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.02103148
"27435",2020-07-16,16,7,2020,1,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01682519
"27436",2020-07-15,15,7,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01682519
"27437",2020-07-14,14,7,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01682519
"27438",2020-07-13,13,7,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01682519
"27439",2020-07-12,12,7,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01682519
"27440",2020-07-11,11,7,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01682519
"27441",2020-07-10,10,7,2020,2,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01682519
"27442",2020-07-09,9,7,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01261889
"27443",2020-07-08,8,7,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01261889
"27444",2020-07-07,7,7,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01261889
"27445",2020-07-06,6,7,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01261889
"27446",2020-07-05,5,7,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01261889
"27447",2020-07-04,4,7,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01261889
"27448",2020-07-03,3,7,2020,1,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01261889
"27449",2020-07-02,2,7,2020,1,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01261889
"27450",2020-07-01,1,7,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.00841259
"27451",2020-06-30,30,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.00841259
"27452",2020-06-29,29,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01682519
"27453",2020-06-28,28,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01682519
"27454",2020-06-27,27,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01682519
"27455",2020-06-26,26,6,2020,1,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01682519
"27456",2020-06-25,25,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01261889
"27457",2020-06-24,24,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01261889
"27458",2020-06-23,23,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01261889
"27459",2020-06-22,22,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01261889
"27460",2020-06-21,21,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01261889
"27461",2020-06-20,20,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01261889
"27462",2020-06-19,19,6,2020,1,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01261889
"27463",2020-06-18,18,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.00841259
"27464",2020-06-17,17,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.00841259
"27465",2020-06-16,16,6,2020,2,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.00841259
"27466",2020-06-15,15,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.0042063
"27467",2020-06-14,14,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.0042063
"27468",2020-06-13,13,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.0042063
"27469",2020-06-12,12,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.00841259
"27470",2020-06-11,11,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.00841259
"27471",2020-06-10,10,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.00841259
"27472",2020-06-09,9,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.00841259
"27473",2020-06-08,8,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.00841259
"27474",2020-06-07,7,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.00841259
"27475",2020-06-06,6,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.00841259
"27476",2020-06-05,5,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.00841259
"27477",2020-06-04,4,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.00841259
"27478",2020-06-03,3,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01261889
"27479",2020-06-02,2,6,2020,1,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01261889
"27480",2020-06-01,1,6,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.00841259
"27481",2020-05-31,31,5,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.00841259
"27482",2020-05-30,30,5,2020,1,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.00841259
"27483",2020-05-29,29,5,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.0042063
"27484",2020-05-28,28,5,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.0042063
"27485",2020-05-27,27,5,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.0042063
"27486",2020-05-26,26,5,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.0042063
"27487",2020-05-25,25,5,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.0042063
"27488",2020-05-24,24,5,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.0042063
"27489",2020-05-23,23,5,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.0042063
"27490",2020-05-22,22,5,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.0042063
"27491",2020-05-21,21,5,2020,1,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.00841259
"27492",2020-05-20,20,5,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.00841259
"27493",2020-05-19,19,5,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.00841259
"27494",2020-05-18,18,5,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.01682519
"27495",2020-05-17,17,5,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.03365037
"27496",2020-05-16,16,5,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.04626926
"27497",2020-05-15,15,5,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.04626926
"27498",2020-05-14,14,5,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.04626926
"27499",2020-05-13,13,5,2020,0,0,"Taiwan","TW","CNG1925",23773881,"Asia",0.04626926
