"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"30610",2020-08-04,4,8,2020,43,0,"Tajikistan","TJ","TJK",9321023,"Asia",6.6194451
"30611",2020-08-03,3,8,2020,44,1,"Tajikistan","TJ","TJK",9321023,"Asia",6.6194451
"30612",2020-08-02,2,8,2020,42,0,"Tajikistan","TJ","TJK",9321023,"Asia",6.6194451
"30613",2020-08-01,1,8,2020,43,0,"Tajikistan","TJ","TJK",9321023,"Asia",6.68381571
"30614",2020-07-31,31,7,2020,46,0,"Tajikistan","TJ","TJK",9321023,"Asia",6.70527259
"30615",2020-07-30,30,7,2020,44,0,"Tajikistan","TJ","TJK",9321023,"Asia",6.70527259
"30616",2020-07-29,29,7,2020,41,0,"Tajikistan","TJ","TJK",9321023,"Asia",6.79110008
"30617",2020-07-28,28,7,2020,43,1,"Tajikistan","TJ","TJK",9321023,"Asia",6.86619913
"30618",2020-07-27,27,7,2020,42,0,"Tajikistan","TJ","TJK",9321023,"Asia",6.86619913
"30619",2020-07-26,26,7,2020,46,1,"Tajikistan","TJ","TJK",9321023,"Asia",6.90911287
"30620",2020-07-25,25,7,2020,44,0,"Tajikistan","TJ","TJK",9321023,"Asia",6.94129818
"30621",2020-07-24,24,7,2020,45,0,"Tajikistan","TJ","TJK",9321023,"Asia",6.97348349
"30622",2020-07-23,23,7,2020,48,1,"Tajikistan","TJ","TJK",9321023,"Asia",6.98421193
"30623",2020-07-22,22,7,2020,46,0,"Tajikistan","TJ","TJK",9321023,"Asia",6.99494036
"30624",2020-07-21,21,7,2020,43,0,"Tajikistan","TJ","TJK",9321023,"Asia",7.07003942
"30625",2020-07-20,20,7,2020,44,0,"Tajikistan","TJ","TJK",9321023,"Asia",7.13441003
"30626",2020-07-19,19,7,2020,48,1,"Tajikistan","TJ","TJK",9321023,"Asia",7.24169439
"30627",2020-07-18,18,7,2020,45,0,"Tajikistan","TJ","TJK",9321023,"Asia",7.2738797
"30628",2020-07-17,17,7,2020,46,0,"Tajikistan","TJ","TJK",9321023,"Asia",7.32752188
"30629",2020-07-16,16,7,2020,52,0,"Tajikistan","TJ","TJK",9321023,"Asia",7.40262094
"30630",2020-07-15,15,7,2020,48,1,"Tajikistan","TJ","TJK",9321023,"Asia",7.3918925
"30631",2020-07-14,14,7,2020,43,0,"Tajikistan","TJ","TJK",9321023,"Asia",7.45626312
"30632",2020-07-13,13,7,2020,46,0,"Tajikistan","TJ","TJK",9321023,"Asia",7.54209061
"30633",2020-07-12,12,7,2020,49,0,"Tajikistan","TJ","TJK",9321023,"Asia",7.58500435
"30634",2020-07-11,11,7,2020,47,1,"Tajikistan","TJ","TJK",9321023,"Asia",7.61718966
"30635",2020-07-10,10,7,2020,46,0,"Tajikistan","TJ","TJK",9321023,"Asia",7.71374558
"30636",2020-07-09,9,7,2020,49,1,"Tajikistan","TJ","TJK",9321023,"Asia",7.87467213
"30637",2020-07-08,8,7,2020,53,0,"Tajikistan","TJ","TJK",9321023,"Asia",8.02487023
"30638",2020-07-07,7,7,2020,49,0,"Tajikistan","TJ","TJK",9321023,"Asia",8.03559867
"30639",2020-07-06,6,7,2020,54,1,"Tajikistan","TJ","TJK",9321023,"Asia",8.11069772
"30640",2020-07-05,5,7,2020,51,0,"Tajikistan","TJ","TJK",9321023,"Asia",8.15361147
"30641",2020-07-04,4,7,2020,50,0,"Tajikistan","TJ","TJK",9321023,"Asia",8.26089583
"30642",2020-07-03,3,7,2020,53,0,"Tajikistan","TJ","TJK",9321023,"Asia",8.35745175
"30643",2020-07-02,2,7,2020,51,0,"Tajikistan","TJ","TJK",9321023,"Asia",8.41109393
"30644",2020-07-01,1,7,2020,54,0,"Tajikistan","TJ","TJK",9321023,"Asia",8.51837829
"30645",2020-06-30,30,6,2020,51,0,"Tajikistan","TJ","TJK",9321023,"Asia",8.61493422
"30646",2020-06-29,29,6,2020,50,0,"Tajikistan","TJ","TJK",9321023,"Asia",8.73294702
"30647",2020-06-28,28,6,2020,52,0,"Tajikistan","TJ","TJK",9321023,"Asia",8.88314512
"30648",2020-06-27,27,6,2020,56,0,"Tajikistan","TJ","TJK",9321023,"Asia",9.06552854
"30649",2020-06-26,26,6,2020,61,0,"Tajikistan","TJ","TJK",9321023,"Asia",9.19426977
"30650",2020-06-25,25,6,2020,63,0,"Tajikistan","TJ","TJK",9321023,"Asia",9.30155413
"30651",2020-06-24,24,6,2020,54,0,"Tajikistan","TJ","TJK",9321023,"Asia",9.40883849
"30652",2020-06-23,23,6,2020,56,0,"Tajikistan","TJ","TJK",9321023,"Asia",9.69850627
"30653",2020-06-22,22,6,2020,58,0,"Tajikistan","TJ","TJK",9321023,"Asia",9.95598874
"30654",2020-06-21,21,6,2020,61,1,"Tajikistan","TJ","TJK",9321023,"Asia",10.14910059
"30655",2020-06-20,20,6,2020,59,0,"Tajikistan","TJ","TJK",9321023,"Asia",10.38512618
"30656",2020-06-19,19,6,2020,58,0,"Tajikistan","TJ","TJK",9321023,"Asia",10.62115178
"30657",2020-06-18,18,6,2020,61,1,"Tajikistan","TJ","TJK",9321023,"Asia",12.02657691
"30658",2020-06-17,17,6,2020,63,0,"Tajikistan","TJ","TJK",9321023,"Asia",12.30551625
"30659",2020-06-16,16,6,2020,62,0,"Tajikistan","TJ","TJK",9321023,"Asia",12.52008497
"30660",2020-06-15,15,6,2020,64,0,"Tajikistan","TJ","TJK",9321023,"Asia",13.17451958
"30661",2020-06-14,14,6,2020,69,1,"Tajikistan","TJ","TJK",9321023,"Asia",12.48789967
"30662",2020-06-13,13,6,2020,68,0,"Tajikistan","TJ","TJK",9321023,"Asia",14.36537599
"30663",2020-06-12,12,6,2020,71,1,"Tajikistan","TJ","TJK",9321023,"Asia",13.63584233
"30664",2020-06-11,11,6,2020,73,0,"Tajikistan","TJ","TJK",9321023,"Asia",17.8413893
"30665",2020-06-10,10,6,2020,81,0,"Tajikistan","TJ","TJK",9321023,"Asia",17.05821346
"30666",2020-06-09,9,6,2020,80,0,"Tajikistan","TJ","TJK",9321023,"Asia",16.18921013
