"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"27712",2020-07-19,19,7,2020,3,0,"Thailand","TH","THA",69625581,"Asia",0.08473897
"27713",2020-07-18,18,7,2020,7,0,"Thailand","TH","THA",69625581,"Asia",0.08761148
"27714",2020-07-17,17,7,2020,3,0,"Thailand","TH","THA",69625581,"Asia",0.08473897
"27715",2020-07-16,16,7,2020,4,0,"Thailand","TH","THA",69625581,"Asia",0.08186646
"27716",2020-07-15,15,7,2020,5,0,"Thailand","TH","THA",69625581,"Asia",0.08473897
"27717",2020-07-14,14,7,2020,7,0,"Thailand","TH","THA",69625581,"Asia",0.08043021
"27718",2020-07-13,13,7,2020,3,0,"Thailand","TH","THA",69625581,"Asia",0.08330272
"27719",2020-07-12,12,7,2020,1,0,"Thailand","TH","THA",69625581,"Asia",0.07899395
"27720",2020-07-11,11,7,2020,14,0,"Thailand","TH","THA",69625581,"Asia",0.0775577
"27721",2020-07-10,10,7,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.06319516
"27722",2020-07-09,9,7,2020,5,0,"Thailand","TH","THA",69625581,"Asia",0.06319516
"27723",2020-07-08,8,7,2020,2,0,"Thailand","TH","THA",69625581,"Asia",0.0588864
"27724",2020-07-07,7,7,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.06319516
"27725",2020-07-06,6,7,2020,5,0,"Thailand","TH","THA",69625581,"Asia",0.06750393
"27726",2020-07-05,5,7,2020,5,0,"Thailand","TH","THA",69625581,"Asia",0.06175891
"27727",2020-07-04,4,7,2020,5,0,"Thailand","TH","THA",69625581,"Asia",0.0560139
"27728",2020-07-03,3,7,2020,1,0,"Thailand","TH","THA",69625581,"Asia",0.0560139
"27729",2020-07-02,2,7,2020,6,0,"Thailand","TH","THA",69625581,"Asia",0.05457764
"27730",2020-07-01,1,7,2020,2,0,"Thailand","TH","THA",69625581,"Asia",0.05457764
"27731",2020-06-30,30,6,2020,9,0,"Thailand","TH","THA",69625581,"Asia",0.05170513
"27732",2020-06-29,29,6,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.03877885
"27733",2020-06-28,28,6,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.0402151
"27734",2020-06-27,27,6,2020,4,0,"Thailand","TH","THA",69625581,"Asia",0.04739637
"27735",2020-06-26,26,6,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.04739637
"27736",2020-06-25,25,6,2020,2,0,"Thailand","TH","THA",69625581,"Asia",0.04739637
"27737",2020-06-24,24,6,2020,5,0,"Thailand","TH","THA",69625581,"Asia",0.04452387
"27738",2020-06-23,23,6,2020,3,0,"Thailand","TH","THA",69625581,"Asia",0.04596012
"27739",2020-06-22,22,6,2020,1,0,"Thailand","TH","THA",69625581,"Asia",0.04165136
"27740",2020-06-21,21,6,2020,1,0,"Thailand","TH","THA",69625581,"Asia",0.05026888
"27741",2020-06-20,20,6,2020,5,0,"Thailand","TH","THA",69625581,"Asia",0.06032266
"27742",2020-06-19,19,6,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.0560139
"27743",2020-06-18,18,6,2020,6,0,"Thailand","TH","THA",69625581,"Asia",0.05745015
"27744",2020-06-17,17,6,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.07468519
"27745",2020-06-16,16,6,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.07612145
"27746",2020-06-15,15,6,2020,1,0,"Thailand","TH","THA",69625581,"Asia",0.0775577
"27747",2020-06-14,14,6,2020,5,0,"Thailand","TH","THA",69625581,"Asia",0.07612145
"27748",2020-06-13,13,6,2020,4,0,"Thailand","TH","THA",69625581,"Asia",0.07612145
"27749",2020-06-12,12,6,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.08617522
"27750",2020-06-11,11,6,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.10197401
"27751",2020-06-10,10,6,2020,6,0,"Thailand","TH","THA",69625581,"Asia",0.1149003
"27752",2020-06-09,9,6,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.11059154
"27753",2020-06-08,8,6,2020,7,0,"Thailand","TH","THA",69625581,"Asia",0.11059154
"27754",2020-06-07,7,6,2020,8,0,"Thailand","TH","THA",69625581,"Asia",0.10341027
"27755",2020-06-06,6,6,2020,2,0,"Thailand","TH","THA",69625581,"Asia",0.09192024
"27756",2020-06-05,5,6,2020,1,0,"Thailand","TH","THA",69625581,"Asia",0.09335649
"27757",2020-06-04,4,6,2020,18,0,"Thailand","TH","THA",69625581,"Asia",0.096229
"27758",2020-06-03,3,6,2020,1,1,"Thailand","TH","THA",69625581,"Asia",0.07037643
"27759",2020-06-02,2,6,2020,1,0,"Thailand","TH","THA",69625581,"Asia",0.07324894
"27760",2020-06-01,1,6,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.07612145
"27761",2020-05-31,31,5,2020,5,0,"Thailand","TH","THA",69625581,"Asia",0.07612145
"27762",2020-05-30,30,5,2020,11,0,"Thailand","TH","THA",69625581,"Asia",0.07324894
"27763",2020-05-29,29,5,2020,11,0,"Thailand","TH","THA",69625581,"Asia",0.06750393
"27764",2020-05-28,28,5,2020,9,0,"Thailand","TH","THA",69625581,"Asia",0.05314139
"27765",2020-05-27,27,5,2020,3,0,"Thailand","TH","THA",69625581,"Asia",0.0402151
"27766",2020-05-26,26,5,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.03877885
"27767",2020-05-25,25,5,2020,2,1,"Thailand","TH","THA",69625581,"Asia",0.03877885
"27768",2020-05-24,24,5,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.05170513
"27769",2020-05-23,23,5,2020,3,0,"Thailand","TH","THA",69625581,"Asia",0.05745015
"27770",2020-05-22,22,5,2020,3,0,"Thailand","TH","THA",69625581,"Asia",0.06463142
"27771",2020-05-21,21,5,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.06463142
"27772",2020-05-20,20,5,2020,3,0,"Thailand","TH","THA",69625581,"Asia",0.06606767
"27773",2020-05-19,19,5,2020,3,0,"Thailand","TH","THA",69625581,"Asia",0.06319516
"27774",2020-05-18,18,5,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.08473897
"27775",2020-05-17,17,5,2020,3,0,"Thailand","TH","THA",69625581,"Asia",0.08904773
"27776",2020-05-16,16,5,2020,7,0,"Thailand","TH","THA",69625581,"Asia",0.09335649
"27777",2020-05-15,15,5,2020,1,0,"Thailand","TH","THA",69625581,"Asia",0.08330272
"27778",2020-05-14,14,5,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.09048398
"27779",2020-05-13,13,5,2020,2,0,"Thailand","TH","THA",69625581,"Asia",0.11346404
"27780",2020-05-12,12,5,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.11059154
"27781",2020-05-11,11,5,2020,11,0,"Thailand","TH","THA",69625581,"Asia",0.1335716
"27782",2020-05-10,10,5,2020,4,1,"Thailand","TH","THA",69625581,"Asia",0.11777281
"27783",2020-05-09,9,5,2020,8,0,"Thailand","TH","THA",69625581,"Asia",0.20969304
"27784",2020-05-08,8,5,2020,3,0,"Thailand","TH","THA",69625581,"Asia",0.21974682
"27785",2020-05-07,7,5,2020,1,1,"Thailand","TH","THA",69625581,"Asia",0.21543806
"27786",2020-05-06,6,5,2020,1,0,"Thailand","TH","THA",69625581,"Asia",0.25421691
"27787",2020-05-05,5,5,2020,18,0,"Thailand","TH","THA",69625581,"Asia",0.28006948
"27788",2020-05-04,4,5,2020,3,0,"Thailand","TH","THA",69625581,"Asia",0.29299576
"27789",2020-05-03,3,5,2020,6,0,"Thailand","TH","THA",69625581,"Asia",0.33464712
"27790",2020-05-02,2,5,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.37342597
"27791",2020-05-01,1,5,2020,6,0,"Thailand","TH","THA",69625581,"Asia",0.37342597
"27792",2020-04-30,30,4,2020,16,0,"Thailand","TH","THA",69625581,"Asia",0.40502355
"27793",2020-04-29,29,4,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.42369485
"27794",2020-04-28,28,4,2020,16,3,"Thailand","TH","THA",69625581,"Asia",0.46678246
"27795",2020-04-27,27,4,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.49263503
"27796",2020-04-26,26,4,2020,68,1,"Thailand","TH","THA",69625581,"Asia",0.53285013
"27797",2020-04-25,25,4,2020,15,0,"Thailand","TH","THA",69625581,"Asia",0.48258125
"27798",2020-04-24,24,4,2020,0,0,"Thailand","TH","THA",69625581,"Asia",0.52566886
"27799",2020-04-23,23,4,2020,28,2,"Thailand","TH","THA",69625581,"Asia",0.59748155
"27800",2020-04-22,22,4,2020,19,1,"Thailand","TH","THA",69625581,"Asia",0.63482415
"27801",2020-04-21,21,4,2020,27,0,"Thailand","TH","THA",69625581,"Asia",0.76695949
"27802",2020-04-20,20,4,2020,32,0,"Thailand","TH","THA",69625581,"Asia",0.78275828
"27803",2020-04-19,19,4,2020,33,0,"Thailand","TH","THA",69625581,"Asia",0.8100471
"27804",2020-04-18,18,4,2020,0,0,"Thailand","TH","THA",69625581,"Asia",1.03697519
"27805",2020-04-17,17,4,2020,28,1,"Thailand","TH","THA",69625581,"Asia",1.18490932
"27806",2020-04-16,16,4,2020,29,3,"Thailand","TH","THA",69625581,"Asia",1.29406461
