"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"27907",2020-07-19,19,7,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27908",2020-07-18,18,7,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27909",2020-07-17,17,7,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27910",2020-07-16,16,7,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27911",2020-07-15,15,7,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27912",2020-07-14,14,7,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27913",2020-07-13,13,7,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27914",2020-07-12,12,7,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27915",2020-07-11,11,7,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27916",2020-07-10,10,7,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27917",2020-07-09,9,7,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27918",2020-07-08,8,7,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27919",2020-07-07,7,7,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27920",2020-07-06,6,7,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27921",2020-07-05,5,7,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27922",2020-07-04,4,7,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27923",2020-07-03,3,7,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27924",2020-07-02,2,7,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27925",2020-07-01,1,7,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27926",2020-06-30,30,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27927",2020-06-29,29,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27928",2020-06-28,28,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27929",2020-06-27,27,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27930",2020-06-26,26,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27931",2020-06-25,25,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27932",2020-06-24,24,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27933",2020-06-23,23,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27934",2020-06-22,22,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27935",2020-06-21,21,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27936",2020-06-20,20,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27937",2020-06-19,19,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27938",2020-06-18,18,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27939",2020-06-17,17,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27940",2020-06-16,16,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27941",2020-06-15,15,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27942",2020-06-14,14,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27943",2020-06-13,13,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27944",2020-06-12,12,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27945",2020-06-11,11,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27946",2020-06-10,10,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27947",2020-06-09,9,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27948",2020-06-08,8,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27949",2020-06-07,7,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27950",2020-06-06,6,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27951",2020-06-05,5,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27952",2020-06-04,4,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27953",2020-06-03,3,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27954",2020-06-02,2,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27955",2020-06-01,1,6,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27956",2020-05-31,31,5,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27957",2020-05-30,30,5,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27958",2020-05-29,29,5,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27959",2020-05-28,28,5,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27960",2020-05-27,27,5,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27961",2020-05-26,26,5,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27962",2020-05-25,25,5,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27963",2020-05-24,24,5,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27964",2020-05-23,23,5,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27965",2020-05-22,22,5,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27966",2020-05-21,21,5,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27967",2020-05-20,20,5,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27968",2020-05-19,19,5,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27969",2020-05-18,18,5,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27970",2020-05-17,17,5,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
"27971",2020-05-16,16,5,2020,0,0,"Timor_Leste","TL","TLS",1293120,"Asia",0
