"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"31053",2020-08-04,4,8,2020,15,0,"Togo","TG","TGO",8082359,"Africa",2.3879167
"31054",2020-08-03,3,8,2020,3,0,"Togo","TG","TGO",8082359,"Africa",2.31368094
"31055",2020-08-02,2,8,2020,17,0,"Togo","TG","TGO",8082359,"Africa",2.37554407
"31056",2020-08-01,1,8,2020,14,1,"Togo","TG","TGO",8082359,"Africa",2.37554407
"31057",2020-07-31,31,7,2020,31,0,"Togo","TG","TGO",8082359,"Africa",2.20232732
"31058",2020-07-30,30,7,2020,0,0,"Togo","TG","TGO",8082359,"Africa",1.93012956
"31059",2020-07-29,29,7,2020,22,0,"Togo","TG","TGO",8082359,"Africa",2.04148319
"31060",2020-07-28,28,7,2020,6,0,"Togo","TG","TGO",8082359,"Africa",1.89301168
"31061",2020-07-27,27,7,2020,15,1,"Togo","TG","TGO",8082359,"Africa",1.83114855
"31062",2020-07-26,26,7,2020,14,0,"Togo","TG","TGO",8082359,"Africa",1.67030442
"31063",2020-07-25,25,7,2020,11,1,"Togo","TG","TGO",8082359,"Africa",1.59606867
"31064",2020-07-24,24,7,2020,22,0,"Togo","TG","TGO",8082359,"Africa",1.53420555
"31065",2020-07-23,23,7,2020,16,1,"Togo","TG","TGO",8082359,"Africa",1.37336142
"31066",2020-07-22,22,7,2020,7,0,"Togo","TG","TGO",8082359,"Africa",1.24963516
"31067",2020-07-21,21,7,2020,9,0,"Togo","TG","TGO",8082359,"Africa",1.27438041
"31068",2020-07-20,20,7,2020,8,0,"Togo","TG","TGO",8082359,"Africa",1.16302678
"31069",2020-07-19,19,7,2020,17,0,"Togo","TG","TGO",8082359,"Africa",1.11353628
"31070",2020-07-18,18,7,2020,0,0,"Togo","TG","TGO",8082359,"Africa",0.96506478
"31071",2020-07-17,17,7,2020,9,0,"Togo","TG","TGO",8082359,"Africa",1.01455528
"31072",2020-07-16,16,7,2020,9,0,"Togo","TG","TGO",8082359,"Africa",0.9774374
"31073",2020-07-15,15,7,2020,10,0,"Togo","TG","TGO",8082359,"Africa",1.00218265
"31074",2020-07-14,14,7,2020,1,0,"Togo","TG","TGO",8082359,"Africa",0.96506478
"31075",2020-07-13,13,7,2020,2,0,"Togo","TG","TGO",8082359,"Africa",0.96506478
"31076",2020-07-12,12,7,2020,8,0,"Togo","TG","TGO",8082359,"Africa",1.27438041
"31077",2020-07-11,11,7,2020,6,0,"Togo","TG","TGO",8082359,"Africa",1.47234242
"31078",2020-07-10,10,7,2020,9,0,"Togo","TG","TGO",8082359,"Africa",1.43522454
"31079",2020-07-09,9,7,2020,6,0,"Togo","TG","TGO",8082359,"Africa",1.38573404
"31080",2020-07-08,8,7,2020,9,0,"Togo","TG","TGO",8082359,"Africa",1.39810667
"31081",2020-07-07,7,7,2020,0,0,"Togo","TG","TGO",8082359,"Africa",1.37336142
"31082",2020-07-06,6,7,2020,4,0,"Togo","TG","TGO",8082359,"Africa",1.37336142
"31083",2020-07-05,5,7,2020,5,1,"Togo","TG","TGO",8082359,"Africa",1.42285192
"31084",2020-07-04,4,7,2020,4,0,"Togo","TG","TGO",8082359,"Africa",1.43522454
"31085",2020-07-03,3,7,2020,6,0,"Togo","TG","TGO",8082359,"Africa",1.48471504
"31086",2020-07-02,2,7,2020,11,0,"Togo","TG","TGO",8082359,"Africa",1.44759717
"31087",2020-07-01,1,7,2020,7,0,"Togo","TG","TGO",8082359,"Africa",1.39810667
"31088",2020-06-30,30,6,2020,1,0,"Togo","TG","TGO",8082359,"Africa",1.37336142
"31089",2020-06-29,29,6,2020,27,0,"Togo","TG","TGO",8082359,"Africa",1.37336142
"31090",2020-06-28,28,6,2020,24,0,"Togo","TG","TGO",8082359,"Africa",1.05167316
"31091",2020-06-27,27,6,2020,3,0,"Togo","TG","TGO",8082359,"Africa",0.81659327
"31092",2020-06-26,26,6,2020,5,0,"Togo","TG","TGO",8082359,"Africa",0.79184802
"31093",2020-06-25,25,6,2020,7,1,"Togo","TG","TGO",8082359,"Africa",0.75473015
"31094",2020-06-24,24,6,2020,7,0,"Togo","TG","TGO",8082359,"Africa",0.9279469
"31095",2020-06-23,23,6,2020,0,0,"Togo","TG","TGO",8082359,"Africa",0.89082903
"31096",2020-06-22,22,6,2020,8,0,"Togo","TG","TGO",8082359,"Africa",0.91557428
"31097",2020-06-21,21,6,2020,6,0,"Togo","TG","TGO",8082359,"Africa",0.91557428
"31098",2020-06-20,20,6,2020,8,0,"Togo","TG","TGO",8082359,"Africa",0.86608378
"31099",2020-06-19,19,6,2020,3,0,"Togo","TG","TGO",8082359,"Africa",1.01455528
"31100",2020-06-18,18,6,2020,7,0,"Togo","TG","TGO",8082359,"Africa",1.13828153
"31101",2020-06-17,17,6,2020,5,0,"Togo","TG","TGO",8082359,"Africa",1.13828153
"31102",2020-06-16,16,6,2020,1,0,"Togo","TG","TGO",8082359,"Africa",1.10116366
"31103",2020-06-15,15,6,2020,1,0,"Togo","TG","TGO",8082359,"Africa",1.10116366
"31104",2020-06-14,14,6,2020,5,0,"Togo","TG","TGO",8082359,"Africa",1.20014466
"31105",2020-06-13,13,6,2020,1,0,"Togo","TG","TGO",8082359,"Africa",1.20014466
"31106",2020-06-12,12,6,2020,2,0,"Togo","TG","TGO",8082359,"Africa",1.26200779
"31107",2020-06-11,11,6,2020,21,0,"Togo","TG","TGO",8082359,"Africa",1.57132342
"31108",2020-06-10,10,6,2020,4,0,"Togo","TG","TGO",8082359,"Africa",1.36098879
"31109",2020-06-09,9,6,2020,2,0,"Togo","TG","TGO",8082359,"Africa",1.37336142
"31110",2020-06-08,8,6,2020,8,0,"Togo","TG","TGO",8082359,"Africa",1.41047929
"31111",2020-06-07,7,6,2020,2,0,"Togo","TG","TGO",8082359,"Africa",1.41047929
"31112",2020-06-06,6,6,2020,20,0,"Togo","TG","TGO",8082359,"Africa",1.50946029
"31113",2020-06-05,5,6,2020,13,0,"Togo","TG","TGO",8082359,"Africa",1.37336142
"31114",2020-06-04,4,6,2020,7,0,"Togo","TG","TGO",8082359,"Africa",1.38573404
"31115",2020-06-03,3,6,2020,2,0,"Togo","TG","TGO",8082359,"Africa",1.32387091
"31116",2020-06-02,2,6,2020,1,0,"Togo","TG","TGO",8082359,"Africa",1.39810667
"31117",2020-06-01,1,6,2020,9,0,"Togo","TG","TGO",8082359,"Africa",1.74454018
"31118",2020-05-31,31,5,2020,5,0,"Togo","TG","TGO",8082359,"Africa",1.67030442
"31119",2020-05-30,30,5,2020,6,0,"Togo","TG","TGO",8082359,"Africa",2.04148319
"31120",2020-05-29,29,5,2020,27,0,"Togo","TG","TGO",8082359,"Africa",2.27656307
"31121",2020-05-28,28,5,2020,4,0,"Togo","TG","TGO",8082359,"Africa",2.17758206
"31122",2020-05-27,27,5,2020,5,0,"Togo","TG","TGO",8082359,"Africa",2.37554407
"31123",2020-05-26,26,5,2020,5,1,"Togo","TG","TGO",8082359,"Africa",2.5363882
"31124",2020-05-25,25,5,2020,8,0,"Togo","TG","TGO",8082359,"Africa",2.56113345
"31125",2020-05-24,24,5,2020,10,0,"Togo","TG","TGO",8082359,"Africa",2.72197758
"31126",2020-05-23,23,5,2020,9,0,"Togo","TG","TGO",8082359,"Africa",2.69723233
"31127",2020-05-22,22,5,2020,14,0,"Togo","TG","TGO",8082359,"Africa",2.70960496
"31128",2020-05-21,21,5,2020,2,0,"Togo","TG","TGO",8082359,"Africa",2.62299658
"31129",2020-05-20,20,5,2020,8,0,"Togo","TG","TGO",8082359,"Africa",2.59825133
"31130",2020-05-19,19,5,2020,29,1,"Togo","TG","TGO",8082359,"Africa",2.52401558
"31131",2020-05-18,18,5,2020,3,0,"Togo","TG","TGO",8082359,"Africa",2.18995469
"31132",2020-05-17,17,5,2020,35,0,"Togo","TG","TGO",8082359,"Africa",2.16520944
"31133",2020-05-16,16,5,2020,25,0,"Togo","TG","TGO",8082359,"Africa",1.73216755
"31134",2020-05-15,15,5,2020,19,0,"Togo","TG","TGO",8082359,"Africa",1.50946029
"31135",2020-05-14,14,5,2020,20,0,"Togo","TG","TGO",8082359,"Africa",1.36098879
"31136",2020-05-13,13,5,2020,18,0,"Togo","TG","TGO",8082359,"Africa",1.23726254
"31137",2020-05-12,12,5,2020,7,0,"Togo","TG","TGO",8082359,"Africa",1.01455528
"31138",2020-05-11,11,5,2020,21,1,"Togo","TG","TGO",8082359,"Africa",0.94031953
"31139",2020-05-10,10,5,2020,8,0,"Togo","TG","TGO",8082359,"Africa",0.70523965
"31140",2020-05-09,9,5,2020,10,1,"Togo","TG","TGO",8082359,"Africa",0.6804944
"31141",2020-05-08,8,5,2020,7,0,"Togo","TG","TGO",8082359,"Africa",0.58151339
"31142",2020-05-07,7,5,2020,0,0,"Togo","TG","TGO",8082359,"Africa",0.49490501
"31143",2020-05-06,6,5,2020,2,0,"Togo","TG","TGO",8082359,"Africa",0.51965027
"31144",2020-05-05,5,5,2020,2,0,"Togo","TG","TGO",8082359,"Africa",0.51965027
"31145",2020-05-04,4,5,2020,1,0,"Togo","TG","TGO",8082359,"Africa",0.49490501
"31146",2020-05-03,3,5,2020,0,0,"Togo","TG","TGO",8082359,"Africa",0.48253239
"31147",2020-05-02,2,5,2020,7,0,"Togo","TG","TGO",8082359,"Africa",0.49490501
