"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"31197",2020-08-04,4,8,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",3.22587814
"31198",2020-08-03,3,8,2020,9,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",3.22587814
"31199",2020-08-02,2,8,2020,4,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",2.58070251
"31200",2020-08-01,1,8,2020,5,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",2.36564397
"31201",2020-07-31,31,7,2020,8,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",2.22227161
"31202",2020-07-30,30,7,2020,2,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",1.64878216
"31203",2020-07-29,29,7,2020,6,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",1.5054098
"31204",2020-07-28,28,7,2020,1,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",1.07529271
"31205",2020-07-27,27,7,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",1.00360653
"31206",2020-07-26,26,7,2020,5,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",1.00360653
"31207",2020-07-25,25,7,2020,1,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.64517563
"31208",2020-07-24,24,7,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.57348945
"31209",2020-07-23,23,7,2020,2,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.57348945
"31210",2020-07-22,22,7,2020,2,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.43011709
"31211",2020-07-21,21,7,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.28674472
"31212",2020-07-20,20,7,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.28674472
"31213",2020-07-19,19,7,2020,1,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.50180327
"31214",2020-07-18,18,7,2020,3,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.43011709
"31215",2020-07-17,17,7,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.21505854
"31216",2020-07-16,16,7,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.21505854
"31217",2020-07-15,15,7,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.21505854
"31218",2020-07-14,14,7,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.50180327
"31219",2020-07-13,13,7,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.50180327
"31220",2020-07-12,12,7,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.64517563
"31221",2020-07-11,11,7,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.64517563
"31222",2020-07-10,10,7,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.71686181
"31223",2020-07-09,9,7,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.71686181
"31224",2020-07-08,8,7,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.71686181
"31225",2020-07-07,7,7,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.71686181
"31226",2020-07-06,6,7,2020,3,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.71686181
"31227",2020-07-05,5,7,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.50180327
"31228",2020-07-04,4,7,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.50180327
"31229",2020-07-03,3,7,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.50180327
"31230",2020-07-02,2,7,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.50180327
"31231",2020-07-01,1,7,2020,4,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.50180327
"31232",2020-06-30,30,6,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.21505854
"31233",2020-06-29,29,6,2020,2,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.21505854
"31234",2020-06-28,28,6,2020,0,0,"Trinidad_and_Tobago","TT","TTO",1394969,"America",0.50180327
