"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"29241",2020-07-24,24,7,2020,12,0,"Tunisia","TN","TUN",11694721,"Africa",1.49640167
"29242",2020-07-23,23,7,2020,5,0,"Tunisia","TN","TUN",11694721,"Africa",1.47929993
"29243",2020-07-22,22,7,2020,8,0,"Tunisia","TN","TUN",11694721,"Africa",1.57335947
"29244",2020-07-21,21,7,2020,7,0,"Tunisia","TN","TUN",11694721,"Africa",1.55625773
"29245",2020-07-20,20,7,2020,26,0,"Tunisia","TN","TUN",11694721,"Africa",1.5904612
"29246",2020-07-19,19,7,2020,12,0,"Tunisia","TN","TUN",11694721,"Africa",1.3852404
"29247",2020-07-18,18,7,2020,9,0,"Tunisia","TN","TUN",11694721,"Africa",1.32538433
"29248",2020-07-17,17,7,2020,8,0,"Tunisia","TN","TUN",11694721,"Africa",1.27407913
"29249",2020-07-16,16,7,2020,13,0,"Tunisia","TN","TUN",11694721,"Africa",1.2313248
"29250",2020-07-15,15,7,2020,4,0,"Tunisia","TN","TUN",11694721,"Africa",1.1287144
"29251",2020-07-14,14,7,2020,39,0,"Tunisia","TN","TUN",11694721,"Africa",1.11161267
"29252",2020-07-13,13,7,2020,18,0,"Tunisia","TN","TUN",11694721,"Africa",0.80378147
"29253",2020-07-12,12,7,2020,5,0,"Tunisia","TN","TUN",11694721,"Africa",0.65841673
"29254",2020-07-11,11,7,2020,9,0,"Tunisia","TN","TUN",11694721,"Africa",0.64986587
"29255",2020-07-10,10,7,2020,10,0,"Tunisia","TN","TUN",11694721,"Africa",0.5900098
"29256",2020-07-09,9,7,2020,16,0,"Tunisia","TN","TUN",11694721,"Africa",0.52160287
"29257",2020-07-08,8,7,2020,6,0,"Tunisia","TN","TUN",11694721,"Africa",0.39333987
"29258",2020-07-07,7,7,2020,11,0,"Tunisia","TN","TUN",11694721,"Africa",0.34203467
"29259",2020-07-06,6,7,2020,2,0,"Tunisia","TN","TUN",11694721,"Africa",0.26507687
"29260",2020-07-05,5,7,2020,5,0,"Tunisia","TN","TUN",11694721,"Africa",0.256526
"29261",2020-07-04,4,7,2020,3,0,"Tunisia","TN","TUN",11694721,"Africa",0.29928033
