"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"27649",2020-07-15,15,7,2020,992,20,"Turkey","TR","TUR",82003882,"Asia",18.3979095
"27650",2020-07-14,14,7,2020,1008,19,"Turkey","TR","TUR",82003882,"Asia",18.7649653
"27651",2020-07-13,13,7,2020,1012,19,"Turkey","TR","TUR",82003882,"Asia",19.21128563
"27652",2020-07-12,12,7,2020,1016,21,"Turkey","TR","TUR",82003882,"Asia",19.63077797
"27653",2020-07-11,11,7,2020,1003,23,"Turkey","TR","TUR",82003882,"Asia",20.06490376
"27654",2020-07-10,10,7,2020,1024,18,"Turkey","TR","TUR",82003882,"Asia",20.54414936
"27655",2020-07-09,9,7,2020,1041,22,"Turkey","TR","TUR",82003882,"Asia",21.0733926
"27656",2020-07-08,8,7,2020,1053,19,"Turkey","TR","TUR",82003882,"Asia",21.62336656
"27657",2020-07-07,7,7,2020,1086,16,"Turkey","TR","TUR",82003882,"Asia",21.88554927
"27658",2020-07-06,6,7,2020,1148,19,"Turkey","TR","TUR",82003882,"Asia",22.03920053
"27659",2020-07-05,5,7,2020,1154,20,"Turkey","TR","TUR",82003882,"Asia",22.09285653
"27660",2020-07-04,4,7,2020,1172,19,"Turkey","TR","TUR",82003882,"Asia",22.20748525
"27661",2020-07-03,3,7,2020,1186,17,"Turkey","TR","TUR",82003882,"Asia",22.25870234
"27662",2020-07-02,2,7,2020,1192,19,"Turkey","TR","TUR",82003882,"Asia",22.40259796
"27663",2020-07-01,1,7,2020,1293,16,"Turkey","TR","TUR",82003882,"Asia",22.69160867
"27664",2020-06-30,30,6,2020,1374,18,"Turkey","TR","TUR",82003882,"Asia",22.90379375
"27665",2020-06-29,29,6,2020,1356,15,"Turkey","TR","TUR",82003882,"Asia",23.16963482
"27666",2020-06-28,28,6,2020,1372,17,"Turkey","TR","TUR",82003882,"Asia",23.42084244
"27667",2020-06-27,27,6,2020,1396,19,"Turkey","TR","TUR",82003882,"Asia",23.52693498
"27668",2020-06-26,26,6,2020,1458,21,"Turkey","TR","TUR",82003882,"Asia",23.28182463
"27669",2020-06-25,25,6,2020,1492,24,"Turkey","TR","TUR",82003882,"Asia",22.70746158
"27670",2020-06-24,24,6,2020,1268,27,"Turkey","TR","TUR",82003882,"Asia",22.01237254
"27671",2020-06-23,23,6,2020,1212,24,"Turkey","TR","TUR",82003882,"Asia",21.67702256
"27672",2020-06-22,22,6,2020,1192,23,"Turkey","TR","TUR",82003882,"Asia",21.40508421
"27673",2020-06-21,21,6,2020,1248,22,"Turkey","TR","TUR",82003882,"Asia",21.06607587
"27674",2020-06-20,20,6,2020,1214,23,"Turkey","TR","TUR",82003882,"Asia",20.61487772
"27675",2020-06-19,19,6,2020,1304,21,"Turkey","TR","TUR",82003882,"Asia",20.26855265
"27676",2020-06-18,18,6,2020,1429,19,"Turkey","TR","TUR",82003882,"Asia",19.88320504
"27677",2020-06-17,17,6,2020,1467,17,"Turkey","TR","TUR",82003882,"Asia",19.19787163
"27678",2020-06-16,16,6,2020,1592,18,"Turkey","TR","TUR",82003882,"Asia",18.36742314
"27679",2020-06-15,15,6,2020,1562,15,"Turkey","TR","TUR",82003882,"Asia",17.43454048
"27680",2020-06-14,14,6,2020,1459,14,"Turkey","TR","TUR",82003882,"Asia",16.5528749
"27681",2020-06-13,13,6,2020,1195,15,"Turkey","TR","TUR",82003882,"Asia",15.97241457
"27682",2020-06-12,12,6,2020,987,17,"Turkey","TR","TUR",82003882,"Asia",15.90656403
