"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"28159",2020-07-17,17,7,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",73.30994397
"28160",2020-07-16,16,7,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",78.54636854
"28161",2020-07-15,15,7,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",81.16458082
"28162",2020-07-14,14,7,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",81.16458082
"28163",2020-07-13,13,7,2020,6,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",115.20134052
"28164",2020-07-12,12,7,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",130.91061423
"28165",2020-07-11,11,7,2020,11,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",133.52882652
"28166",2020-07-10,10,7,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",104.72849139
"28167",2020-07-09,9,7,2020,6,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",104.72849139
"28168",2020-07-08,8,7,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",91.63742996
"28169",2020-07-07,7,7,2020,2,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",91.63742996
"28170",2020-07-06,6,7,2020,2,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",86.40100539
"28171",2020-07-05,5,7,2020,1,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",86.40100539
"28172",2020-07-04,4,7,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",83.78279311
"28173",2020-07-03,3,7,2020,2,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",83.78279311
"28174",2020-07-02,2,7,2020,1,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",78.54636854
"28175",2020-07-01,1,7,2020,0,1,"Turks_and_Caicos_islands","TC","TCA",38194,"America",75.92815625
"28176",2020-06-30,30,6,2020,13,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",75.92815625
"28177",2020-06-29,29,6,2020,12,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",41.89139655
"28178",2020-06-28,28,6,2020,1,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",10.47284914
"28179",2020-06-27,27,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",7.85463685
"28180",2020-06-26,26,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",7.85463685
"28181",2020-06-25,25,6,2020,1,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",7.85463685
"28182",2020-06-24,24,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",5.23642457
"28183",2020-06-23,23,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",5.23642457
"28184",2020-06-22,22,6,2020,2,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",5.23642457
"28185",2020-06-21,21,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28186",2020-06-20,20,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28187",2020-06-19,19,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28188",2020-06-18,18,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28189",2020-06-17,17,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28190",2020-06-16,16,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28191",2020-06-15,15,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28192",2020-06-14,14,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28193",2020-06-13,13,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28194",2020-06-12,12,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28195",2020-06-11,11,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28196",2020-06-10,10,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28197",2020-06-09,9,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28198",2020-06-08,8,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28199",2020-06-07,7,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28200",2020-06-06,6,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28201",2020-06-05,5,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28202",2020-06-04,4,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28203",2020-06-03,3,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28204",2020-06-02,2,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28205",2020-06-01,1,6,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28206",2020-05-31,31,5,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28207",2020-05-30,30,5,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
"28208",2020-05-29,29,5,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",38194,"America",0
