"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"27304",2020-07-12,12,7,2020,7,0,"Uganda","UG","UGA",44269587,"Africa",0.37271638
"27305",2020-07-11,11,7,2020,6,0,"Uganda","UG","UGA",44269587,"Africa",0.39078747
"27306",2020-07-10,10,7,2020,23,0,"Uganda","UG","UGA",44269587,"Africa",0.40434079
"27307",2020-07-09,9,7,2020,6,0,"Uganda","UG","UGA",44269587,"Africa",0.38852859
"27308",2020-07-08,8,7,2020,18,0,"Uganda","UG","UGA",44269587,"Africa",0.39304636
"27309",2020-07-07,7,7,2020,14,0,"Uganda","UG","UGA",44269587,"Africa",0.40434079
"27310",2020-07-06,6,7,2020,12,0,"Uganda","UG","UGA",44269587,"Africa",0.38175192
"27311",2020-07-05,5,7,2020,16,0,"Uganda","UG","UGA",44269587,"Africa",0.38852859
"27312",2020-07-04,4,7,2020,9,0,"Uganda","UG","UGA",44269587,"Africa",0.35238639
"27313",2020-07-03,3,7,2020,9,0,"Uganda","UG","UGA",44269587,"Africa",0.36368083
"27314",2020-07-02,2,7,2020,4,0,"Uganda","UG","UGA",44269587,"Africa",0.36368083
"27315",2020-07-01,1,7,2020,19,0,"Uganda","UG","UGA",44269587,"Africa",0.37271638
"27316",2020-06-30,30,6,2020,11,0,"Uganda","UG","UGA",44269587,"Africa",0.37271638
"27317",2020-06-29,29,6,2020,11,0,"Uganda","UG","UGA",44269587,"Africa",0.3681986
"27318",2020-06-28,28,6,2020,15,0,"Uganda","UG","UGA",44269587,"Africa",0.3681986
"27319",2020-06-27,27,6,2020,12,0,"Uganda","UG","UGA",44269587,"Africa",0.33431529
"27320",2020-06-26,26,6,2020,16,0,"Uganda","UG","UGA",44269587,"Africa",0.32076197
"27321",2020-06-25,25,6,2020,8,0,"Uganda","UG","UGA",44269587,"Africa",0.3162442
"27322",2020-06-24,24,6,2020,23,0,"Uganda","UG","UGA",44269587,"Africa",0.3162442
"27323",2020-06-23,23,6,2020,4,0,"Uganda","UG","UGA",44269587,"Africa",0.28913755
"27324",2020-06-22,22,6,2020,15,0,"Uganda","UG","UGA",44269587,"Africa",0.34786862
"27325",2020-06-21,21,6,2020,0,0,"Uganda","UG","UGA",44269587,"Africa",0.36593971
"27326",2020-06-20,20,6,2020,14,0,"Uganda","UG","UGA",44269587,"Africa",0.44725965
"27327",2020-06-19,19,6,2020,9,0,"Uganda","UG","UGA",44269587,"Africa",0.49469628
"27328",2020-06-18,18,6,2020,8,0,"Uganda","UG","UGA",44269587,"Africa",0.5082496
"27329",2020-06-17,17,6,2020,19,0,"Uganda","UG","UGA",44269587,"Africa",0.53083847
"27330",2020-06-16,16,6,2020,9,0,"Uganda","UG","UGA",44269587,"Africa",0.56020401
"27331",2020-06-15,15,6,2020,11,0,"Uganda","UG","UGA",44269587,"Africa",0.53761514
"27332",2020-06-14,14,6,2020,0,0,"Uganda","UG","UGA",44269587,"Africa",0.6144173
"27333",2020-06-13,13,6,2020,6,0,"Uganda","UG","UGA",44269587,"Africa",0.80416382
"27334",2020-06-12,12,6,2020,14,0,"Uganda","UG","UGA",44269587,"Africa",0.81771714
"27335",2020-06-11,11,6,2020,8,0,"Uganda","UG","UGA",44269587,"Africa",0.86741266
"27336",2020-06-10,10,6,2020,11,0,"Uganda","UG","UGA",44269587,"Africa",0.9125904
"27337",2020-06-09,9,6,2020,30,0,"Uganda","UG","UGA",44269587,"Africa",0.95776814
"27338",2020-06-08,8,6,2020,23,0,"Uganda","UG","UGA",44269587,"Africa",0.9125904
"27339",2020-06-07,7,6,2020,36,0,"Uganda","UG","UGA",44269587,"Africa",0.89226041
"27340",2020-06-06,6,6,2020,35,0,"Uganda","UG","UGA",44269587,"Africa",0.86289488
"27341",2020-06-05,5,6,2020,15,0,"Uganda","UG","UGA",44269587,"Africa",0.81771714
"27342",2020-06-04,4,6,2020,18,0,"Uganda","UG","UGA",44269587,"Africa",0.81771714
"27343",2020-06-03,3,6,2020,32,0,"Uganda","UG","UGA",44269587,"Africa",0.51728515
"27344",2020-06-02,2,6,2020,-1,0,"Uganda","UG","UGA",44269587,"Africa",0.44500076
