"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"32478",2020-08-04,4,8,2020,0,0,"United_Republic_of_Tanzania","TZ","TZA",58005461,"Africa",0
"32479",2020-08-03,3,8,2020,0,0,"United_Republic_of_Tanzania","TZ","TZA",58005461,"Africa",0
"32480",2020-08-02,2,8,2020,0,0,"United_Republic_of_Tanzania","TZ","TZA",58005461,"Africa",0
"32481",2020-08-01,1,8,2020,0,0,"United_Republic_of_Tanzania","TZ","TZA",58005461,"Africa",0
"32482",2020-07-31,31,7,2020,0,0,"United_Republic_of_Tanzania","TZ","TZA",58005461,"Africa",0
"32483",2020-07-30,30,7,2020,0,0,"United_Republic_of_Tanzania","TZ","TZA",58005461,"Africa",0
"32484",2020-07-29,29,7,2020,0,0,"United_Republic_of_Tanzania","TZ","TZA",58005461,"Africa",0
"32485",2020-07-28,28,7,2020,0,0,"United_Republic_of_Tanzania","TZ","TZA",58005461,"Africa",0
"32486",2020-07-27,27,7,2020,0,0,"United_Republic_of_Tanzania","TZ","TZA",58005461,"Africa",0
"32487",2020-07-26,26,7,2020,0,0,"United_Republic_of_Tanzania","TZ","TZA",58005461,"Africa",0
"32488",2020-07-25,25,7,2020,0,0,"United_Republic_of_Tanzania","TZ","TZA",58005461,"Africa",0
"32489",2020-07-24,24,7,2020,0,0,"United_Republic_of_Tanzania","TZ","TZA",58005461,"Africa",0
"32490",2020-07-23,23,7,2020,0,0,"United_Republic_of_Tanzania","TZ","TZA",58005461,"Africa",0
"32491",2020-07-22,22,7,2020,0,0,"United_Republic_of_Tanzania","TZ","TZA",58005461,"Africa",0
"32492",2020-07-21,21,7,2020,0,0,"United_Republic_of_Tanzania","TZ","TZA",58005461,"Africa",0
"32493",2020-07-20,20,7,2020,0,0,"United_Republic_of_Tanzania","TZ","TZA",58005461,"Africa",0
"32494",2020-07-19,19,7,2020,0,0,"United_Republic_of_Tanzania","TZ","TZA",58005461,"Africa",0
"32495",2020-07-18,18,7,2020,0,0,"United_Republic_of_Tanzania","TZ","TZA",58005461,"Africa",0
"32496",2020-07-17,17,7,2020,0,0,"United_Republic_of_Tanzania","TZ","TZA",58005461,"Africa",0
"32497",2020-07-16,16,7,2020,0,0,"United_Republic_of_Tanzania","TZ","TZA",58005461,"Africa",0
