"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"31037",2020-07-26,26,7,2020,0,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",163.51275113
"31038",2020-07-25,25,7,2020,16,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",176.89975999
"31039",2020-07-24,24,7,2020,0,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",174.98733015
"31040",2020-07-23,23,7,2020,16,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",183.59326442
"31041",2020-07-22,22,7,2020,12,1,"United_States_Virgin_Islands","VI","VIR",104579,"America",189.33055394
"31042",2020-07-21,21,7,2020,11,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",183.59326442
"31043",2020-07-20,20,7,2020,0,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",176.89975999
"31044",2020-07-19,19,7,2020,14,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",177.85597491
"31045",2020-07-18,18,7,2020,20,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",164.46896604
"31046",2020-07-17,17,7,2020,14,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",157.77546161
"31047",2020-07-16,16,7,2020,32,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",150.12574226
"31048",2020-07-15,15,7,2020,0,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",127.17658421
"31049",2020-07-14,14,7,2020,36,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",127.17658421
"31050",2020-07-13,13,7,2020,0,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",95.62149189
"31051",2020-07-12,12,7,2020,14,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",95.62149189
"31052",2020-07-11,11,7,2020,14,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",82.23448302
"31053",2020-07-10,10,7,2020,9,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",68.84747416
"31054",2020-07-09,9,7,2020,22,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",61.19775481
"31055",2020-07-08,8,7,2020,6,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",43.98588627
"31056",2020-07-07,7,7,2020,4,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",38.24859675
"31057",2020-07-06,6,7,2020,1,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",34.42373708
"31058",2020-07-05,5,7,2020,0,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",35.379952
"31059",2020-07-04,4,7,2020,13,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",35.379952
"31060",2020-07-03,3,7,2020,6,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",23.90537297
"31061",2020-07-02,2,7,2020,8,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",18.16808346
"31062",2020-07-01,1,7,2020,0,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",10.51836411
"31063",2020-06-30,30,6,2020,3,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",10.51836411
"31064",2020-06-29,29,6,2020,0,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",7.64971935
"31065",2020-06-28,28,6,2020,0,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",8.60593427
"31066",2020-06-27,27,6,2020,0,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",8.60593427
"31067",2020-06-26,26,6,2020,1,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",8.60593427
"31068",2020-06-25,25,6,2020,4,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",7.64971935
"31069",2020-06-24,24,6,2020,0,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",4.78107459
"31070",2020-06-23,23,6,2020,0,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",4.78107459
"31071",2020-06-22,22,6,2020,2,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",4.78107459
"31072",2020-06-21,21,6,2020,0,0,"United_States_Virgin_Islands","VI","VIR",104579,"America",2.86864476
