"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"30828",2020-07-26,26,7,2020,65498,914,"United_States_of_America","US","USA",329064917,"America",282.72324151
"30829",2020-07-25,25,7,2020,78427,1304,"United_States_of_America","US","USA",329064917,"America",281.97961924
"30830",2020-07-24,24,7,2020,63196,1052,"United_States_of_America","US","USA",329064917,"America",278.39309287
"30831",2020-07-23,23,7,2020,68848,1124,"United_States_of_America","US","USA",329064917,"America",278.33474572
"30832",2020-07-22,22,7,2020,72048,1160,"United_States_of_America","US","USA",329064917,"America",275.31345737
"30833",2020-07-21,21,7,2020,56750,372,"United_States_of_America","US","USA",329064917,"America",270.88424015
"30834",2020-07-20,20,7,2020,61796,415,"United_States_of_America","US","USA",329064917,"America",268.82993425
"30835",2020-07-19,19,7,2020,63749,853,"United_States_of_America","US","USA",329064917,"America",264.96960173
"30836",2020-07-18,18,7,2020,71494,908,"United_States_of_America","US","USA",329064917,"America",259.33910177
"30837",2020-07-17,17,7,2020,76930,939,"United_States_of_America","US","USA",329064917,"America",254.15714553
"30838",2020-07-16,16,7,2020,67717,953,"United_States_of_America","US","USA",329064917,"America",247.00627688
"30839",2020-07-15,15,7,2020,68518,861,"United_States_of_America","US","USA",329064917,"America",242.24460245
"30840",2020-07-14,14,7,2020,58114,400,"United_States_of_America","US","USA",329064917,"America",234.75732601
"30841",2020-07-13,13,7,2020,57258,391,"United_States_of_America","US","USA",329064917,"America",229.72549213
"30842",2020-07-12,12,7,2020,63051,717,"United_States_of_America","US","USA",329064917,"America",224.07767036
"30843",2020-07-11,11,7,2020,66625,806,"United_States_of_America","US","USA",329064917,"America",217.82814362
"30844",2020-07-10,10,7,2020,63004,982,"United_States_of_America","US","USA",329064917,"America",211.41664275
"30845",2020-07-09,9,7,2020,58906,829,"United_States_of_America","US","USA",329064917,"America",204.71431781
"30846",2020-07-08,8,7,2020,57473,1174,"United_States_of_America","US","USA",329064917,"America",197.24861766
"30847",2020-07-07,7,7,2020,49990,359,"United_States_of_America","US","USA",329064917,"America",190.33417652
"30848",2020-07-06,6,7,2020,49093,271,"United_States_of_America","US","USA",329064917,"America",184.68179639
"30849",2020-07-05,5,7,2020,45221,242,"United_States_of_America","US","USA",329064917,"America",177.60112665
"30850",2020-07-04,4,7,2020,54442,694,"United_States_of_America","US","USA",329064917,"America",174.23917603
"30851",2020-07-03,3,7,2020,53399,678,"United_States_of_America","US","USA",329064917,"America",166.78380819
"30852",2020-07-02,2,7,2020,52048,652,"United_States_of_America","US","USA",329064917,"America",158.99294424
"30853",2020-07-01,1,7,2020,43880,1270,"United_States_of_America","US","USA",329064917,"America",150.94316481
"30854",2020-06-30,30,6,2020,41556,336,"United_States_of_America","US","USA",329064917,"America",144.81215571
"30855",2020-06-29,29,6,2020,38673,265,"United_States_of_America","US","USA",329064917,"America",138.24840525
"30856",2020-06-28,28,6,2020,42486,500,"United_States_of_America","US","USA",329064917,"America",132.43496267
"30857",2020-06-27,27,6,2020,45527,623,"United_States_of_America","US","USA",329064917,"America",127.28521892
"30858",2020-06-26,26,6,2020,40949,2437,"United_States_of_America","US","USA",329064917,"America",121.24142666
"30859",2020-06-25,25,6,2020,34339,751,"United_States_of_America","US","USA",329064917,"America",115.75132453
"30860",2020-06-24,24,6,2020,34720,826,"United_States_of_America","US","USA",329064917,"America",111.580415
"30861",2020-06-23,23,6,2020,31390,427,"United_States_of_America","US","USA",329064917,"America",106.70143849
"30862",2020-06-22,22,6,2020,25793,256,"United_States_of_America","US","USA",329064917,"America",102.88213131
"30863",2020-06-21,21,6,2020,34158,607,"United_States_of_America","US","USA",329064917,"America",101.82124641
"30864",2020-06-20,20,6,2020,29909,678,"United_States_of_America","US","USA",329064917,"America",98.19430249
"30865",2020-06-19,19,6,2020,27762,717,"United_States_of_America","US","USA",329064917,"America",96.75659226
"30866",2020-06-18,18,6,2020,25559,754,"United_States_of_America","US","USA",329064917,"America",94.74422337
"30867",2020-06-17,17,6,2020,23705,836,"United_States_of_America","US","USA",329064917,"America",92.96341974
"30868",2020-06-16,16,6,2020,19957,395,"United_States_of_America","US","USA",329064917,"America",92.00281901
"30869",2020-06-15,15,6,2020,19543,296,"United_States_of_America","US","USA",329064917,"America",92.3459124
"30870",2020-06-14,14,6,2020,25540,767,"United_States_of_America","US","USA",329064917,"America",92.42613973
"30871",2020-06-13,13,6,2020,25639,849,"United_States_of_America","US","USA",329064917,"America",91.74451131
"30872",2020-06-12,12,6,2020,22883,896,"United_States_of_America","US","USA",329064917,"America",91.65273611
"30873",2020-06-11,11,6,2020,20614,918,"United_States_of_America","US","USA",329064917,"America",91.32878787
"30874",2020-06-10,10,6,2020,18665,999,"United_States_of_America","US","USA",329064917,"America",90.75352144
"30875",2020-06-09,9,6,2020,18822,493,"United_States_of_America","US","USA",329064917,"America",90.82797483
"30876",2020-06-08,8,6,2020,22302,712,"United_States_of_America","US","USA",329064917,"America",90.90151655
"30877",2020-06-07,7,6,2020,22223,659,"United_States_of_America","US","USA",329064917,"America",90.37456886
"30878",2020-06-06,6,6,2020,25178,932,"United_States_of_America","US","USA",329064917,"America",90.07462804
"30879",2020-06-05,5,6,2020,21140,1036,"United_States_of_America","US","USA",329064917,"America",89.761316
"30880",2020-06-04,4,6,2020,19699,994,"United_States_of_America","US","USA",329064917,"America",91.0662257
"30881",2020-06-03,3,6,2020,20544,1034,"United_States_of_America","US","USA",329064917,"America",92.15598027
"30882",2020-06-02,2,6,2020,21086,764,"United_States_of_America","US","USA",329064917,"America",91.98154661
"30883",2020-06-01,1,6,2020,19807,602,"United_States_of_America","US","USA",329064917,"America",92.21098462
"30884",2020-05-31,31,5,2020,23297,945,"United_States_of_America","US","USA",329064917,"America",91.92715005
"30885",2020-05-30,30,5,2020,25337,1219,"United_States_of_America","US","USA",329064917,"America",92.28878082
"30886",2020-05-29,29,5,2020,21817,1175,"United_States_of_America","US","USA",329064917,"America",92.34074625
"30887",2020-05-28,28,5,2020,18721,1526,"United_States_of_America","US","USA",329064917,"America",93.95927187
"30888",2020-05-27,27,5,2020,18910,696,"United_States_of_America","US","USA",329064917,"America",94.58559206
"30889",2020-05-26,26,5,2020,19064,500,"United_States_of_America","US","USA",329064917,"America",95.53920329
"30890",2020-05-25,25,5,2020,20568,633,"United_States_of_America","US","USA",329064917,"America",95.25141813
"30891",2020-05-24,24,5,2020,21236,1080,"United_States_of_America","US","USA",329064917,"America",95.15721179
"30892",2020-05-23,23,5,2020,24147,1305,"United_States_of_America","US","USA",329064917,"America",96.48704058
"30893",2020-05-22,22,5,2020,25434,1263,"United_States_of_America","US","USA",329064917,"America",97.34097543
