"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"32970",2020-08-04,4,8,2020,5,0,"Uruguay","UY","URY",3461731,"America",6.55741304
"32971",2020-08-03,3,8,2020,8,1,"Uruguay","UY","URY",3461731,"America",6.70184945
"32972",2020-08-02,2,8,2020,14,0,"Uruguay","UY","URY",3461731,"America",6.75962401
"32973",2020-08-01,1,8,2020,21,0,"Uruguay","UY","URY",3461731,"America",6.55741304
"32974",2020-07-31,31,7,2020,6,0,"Uruguay","UY","URY",3461731,"America",6.75962401
"32975",2020-07-30,30,7,2020,19,0,"Uruguay","UY","URY",3461731,"America",6.58630032
"32976",2020-07-29,29,7,2020,16,0,"Uruguay","UY","URY",3461731,"America",6.38408935
"32977",2020-07-28,28,7,2020,10,1,"Uruguay","UY","URY",3461731,"America",6.15299109
"32978",2020-07-27,27,7,2020,18,0,"Uruguay","UY","URY",3461731,"America",5.92189283
"32979",2020-07-26,26,7,2020,8,0,"Uruguay","UY","URY",3461731,"America",5.43080904
"32980",2020-07-25,25,7,2020,25,0,"Uruguay","UY","URY",3461731,"America",5.22859806
"32981",2020-07-24,24,7,2020,24,0,"Uruguay","UY","URY",3461731,"America",4.73751427
"32982",2020-07-23,23,7,2020,21,1,"Uruguay","UY","URY",3461731,"America",4.13088134
"32983",2020-07-22,22,7,2020,32,0,"Uruguay","UY","URY",3461731,"America",3.78423396
"32984",2020-07-21,21,7,2020,10,0,"Uruguay","UY","URY",3461731,"America",3.00427734
"32985",2020-07-20,20,7,2020,10,0,"Uruguay","UY","URY",3461731,"America",2.83095365
"32986",2020-07-19,19,7,2020,7,1,"Uruguay","UY","URY",3461731,"America",2.57096811
"32987",2020-07-18,18,7,2020,28,1,"Uruguay","UY","URY",3461731,"America",2.45541898
"32988",2020-07-17,17,7,2020,0,0,"Uruguay","UY","URY",3461731,"America",1.79101149
"32989",2020-07-16,16,7,2020,12,0,"Uruguay","UY","URY",3461731,"America",1.90656062
"32990",2020-07-15,15,7,2020,8,0,"Uruguay","UY","URY",3461731,"America",1.76212421
"32991",2020-07-14,14,7,2020,2,0,"Uruguay","UY","URY",3461731,"America",1.64657508
"32992",2020-07-13,13,7,2020,1,1,"Uruguay","UY","URY",3461731,"America",1.67546236
"32993",2020-07-12,12,7,2020,1,1,"Uruguay","UY","URY",3461731,"America",1.79101149
"32994",2020-07-11,11,7,2020,8,0,"Uruguay","UY","URY",3461731,"America",1.90656062
"32995",2020-07-10,10,7,2020,3,0,"Uruguay","UY","URY",3461731,"America",2.02210975
"32996",2020-07-09,9,7,2020,9,0,"Uruguay","UY","URY",3461731,"America",2.07988431
"32997",2020-07-08,8,7,2020,5,0,"Uruguay","UY","URY",3461731,"America",2.31098257
"32998",2020-07-07,7,7,2020,4,1,"Uruguay","UY","URY",3461731,"America",2.253208
"32999",2020-07-06,6,7,2020,1,0,"Uruguay","UY","URY",3461731,"America",2.31098257
