"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"30891",2020-07-24,24,7,2020,455,4,"Uzbekistan","UZ","UZB",32981715,"Asia",22.02129271
"30892",2020-07-23,23,7,2020,360,3,"Uzbekistan","UZ","UZB",32981715,"Asia",22.04858055
"30893",2020-07-22,22,7,2020,581,4,"Uzbekistan","UZ","UZB",32981715,"Asia",22.23353152
"30894",2020-07-21,21,7,2020,624,4,"Uzbekistan","UZ","UZB",32981715,"Asia",21.62107095
"30895",2020-07-20,20,7,2020,537,4,"Uzbekistan","UZ","UZB",32981715,"Asia",20.68722018
"30896",2020-07-19,19,7,2020,533,4,"Uzbekistan","UZ","UZB",32981715,"Asia",20.01108796
"30897",2020-07-18,18,7,2020,547,4,"Uzbekistan","UZ","UZB",32981715,"Asia",19.39256342
"30898",2020-07-17,17,7,2020,562,4,"Uzbekistan","UZ","UZB",32981715,"Asia",18.6466956
"30899",2020-07-16,16,7,2020,494,4,"Uzbekistan","UZ","UZB",32981715,"Asia",17.83715613
"30900",2020-07-15,15,7,2020,421,4,"Uzbekistan","UZ","UZB",32981715,"Asia",17.17921582
"30901",2020-07-14,14,7,2020,679,3,"Uzbekistan","UZ","UZB",32981715,"Asia",16.90027338
"30902",2020-07-13,13,7,2020,680,4,"Uzbekistan","UZ","UZB",32981715,"Asia",15.65109637
"30903",2020-07-12,12,7,2020,307,2,"Uzbekistan","UZ","UZB",32981715,"Asia",14.51713472
"30904",2020-07-11,11,7,2020,483,3,"Uzbekistan","UZ","UZB",32981715,"Asia",14.29883194
"30905",2020-07-10,10,7,2020,464,5,"Uzbekistan","UZ","UZB",32981715,"Asia",13.6287637
"30906",2020-07-09,9,7,2020,421,6,"Uzbekistan","UZ","UZB",32981715,"Asia",12.94353553
"30907",2020-07-08,8,7,2020,379,3,"Uzbekistan","UZ","UZB",32981715,"Asia",12.37958669
"30908",2020-07-07,7,7,2020,316,3,"Uzbekistan","UZ","UZB",32981715,"Asia",12.00362079
"30909",2020-07-06,6,7,2020,314,4,"Uzbekistan","UZ","UZB",32981715,"Asia",11.47605575
"30910",2020-07-05,5,7,2020,329,2,"Uzbekistan","UZ","UZB",32981715,"Asia",10.95455467
"30911",2020-07-04,4,7,2020,301,2,"Uzbekistan","UZ","UZB",32981715,"Asia",10.53614101
"30912",2020-07-03,3,7,2020,295,1,"Uzbekistan","UZ","UZB",32981715,"Asia",10.13895123
"30913",2020-07-02,2,7,2020,277,0,"Uzbekistan","UZ","UZB",32981715,"Asia",9.72356956
"30914",2020-07-01,1,7,2020,329,2,"Uzbekistan","UZ","UZB",32981715,"Asia",9.29605995
"30915",2020-06-30,30,6,2020,267,2,"Uzbekistan","UZ","UZB",32981715,"Asia",9.11110899
"30916",2020-06-29,29,6,2020,306,2,"Uzbekistan","UZ","UZB",32981715,"Asia",8.8776463
"30917",2020-06-28,28,6,2020,235,0,"Uzbekistan","UZ","UZB",32981715,"Asia",8.28034564
"30918",2020-06-27,27,6,2020,262,0,"Uzbekistan","UZ","UZB",32981715,"Asia",7.84980405
"30919",2020-06-26,26,6,2020,238,1,"Uzbekistan","UZ","UZB",32981715,"Asia",7.30404711
"30920",2020-06-25,25,6,2020,235,0,"Uzbekistan","UZ","UZB",32981715,"Asia",6.95840104
"30921",2020-06-24,24,6,2020,255,0,"Uzbekistan","UZ","UZB",32981715,"Asia",6.69461852
"30922",2020-06-23,23,6,2020,142,0,"Uzbekistan","UZ","UZB",32981715,"Asia",6.22162917
"30923",2020-06-22,22,6,2020,142,0,"Uzbekistan","UZ","UZB",32981715,"Asia",6.08215795
"30924",2020-06-21,21,6,2020,191,0,"Uzbekistan","UZ","UZB",32981715,"Asia",6.17008545
"30925",2020-06-20,20,6,2020,170,0,"Uzbekistan","UZ","UZB",32981715,"Asia",6.073062
"30926",2020-06-19,19,6,2020,158,0,"Uzbekistan","UZ","UZB",32981715,"Asia",5.73044792
"30927",2020-06-18,18,6,2020,136,0,"Uzbekistan","UZ","UZB",32981715,"Asia",5.52730505
"30928",2020-06-17,17,6,2020,268,0,"Uzbekistan","UZ","UZB",32981715,"Asia",5.43331358
"30929",2020-06-16,16,6,2020,190,0,"Uzbekistan","UZ","UZB",32981715,"Asia",4.77537326
"30930",2020-06-15,15,6,2020,109,0,"Uzbekistan","UZ","UZB",32981715,"Asia",4.36908754
"30931",2020-06-14,14,6,2020,93,0,"Uzbekistan","UZ","UZB",32981715,"Asia",4.36605556
"30932",2020-06-13,13,6,2020,82,0,"Uzbekistan","UZ","UZB",32981715,"Asia",4.20839244
"30933",2020-06-12,12,6,2020,124,0,"Uzbekistan","UZ","UZB",32981715,"Asia",4.16897666
"30934",2020-06-11,11,6,2020,148,1,"Uzbekistan","UZ","UZB",32981715,"Asia",4.12956088
"30935",2020-06-10,10,6,2020,99,0,"Uzbekistan","UZ","UZB",32981715,"Asia",3.68082739
"30936",2020-06-09,9,6,2020,96,1,"Uzbekistan","UZ","UZB",32981715,"Asia",3.59896385
"30937",2020-06-08,8,6,2020,171,0,"Uzbekistan","UZ","UZB",32981715,"Asia",3.60199583
"30938",2020-06-07,7,6,2020,159,1,"Uzbekistan","UZ","UZB",32981715,"Asia",3.18055019
"30939",2020-06-06,6,6,2020,57,0,"Uzbekistan","UZ","UZB",32981715,"Asia",2.86219198
"30940",2020-06-05,5,6,2020,91,0,"Uzbekistan","UZ","UZB",32981715,"Asia",2.90767172
"30941",2020-06-04,4,6,2020,105,1,"Uzbekistan","UZ","UZB",32981715,"Asia",2.80155231
"30942",2020-06-03,3,6,2020,51,0,"Uzbekistan","UZ","UZB",32981715,"Asia",2.69543291
"30943",2020-06-02,2,6,2020,56,0,"Uzbekistan","UZ","UZB",32981715,"Asia",2.77729645
"30944",2020-06-01,1,6,2020,108,1,"Uzbekistan","UZ","UZB",32981715,"Asia",2.75607257
"30945",2020-05-31,31,5,2020,41,0,"Uzbekistan","UZ","UZB",32981715,"Asia",2.4650022
"30946",2020-05-30,30,5,2020,69,0,"Uzbekistan","UZ","UZB",32981715,"Asia",2.49229005
"30947",2020-05-29,29,5,2020,111,0,"Uzbekistan","UZ","UZB",32981715,"Asia",2.42255444
"30948",2020-05-28,28,5,2020,0,0,"Uzbekistan","UZ","UZB",32981715,"Asia",2.18605976
"30949",2020-05-27,27,5,2020,72,1,"Uzbekistan","UZ","UZB",32981715,"Asia",2.38313866
"30950",2020-05-26,26,5,2020,97,0,"Uzbekistan","UZ","UZB",32981715,"Asia",2.28005123
"30951",2020-05-25,25,5,2020,32,0,"Uzbekistan","UZ","UZB",32981715,"Asia",2.26185934
"30952",2020-05-24,24,5,2020,54,0,"Uzbekistan","UZ","UZB",32981715,"Asia",2.25882735
"30953",2020-05-23,23,5,2020,72,0,"Uzbekistan","UZ","UZB",32981715,"Asia",2.2497314
"30954",2020-05-22,22,5,2020,56,0,"Uzbekistan","UZ","UZB",32981715,"Asia",2.14664398
"30955",2020-05-21,21,5,2020,70,0,"Uzbekistan","UZ","UZB",32981715,"Asia",2.17393183
"30956",2020-05-20,20,5,2020,78,0,"Uzbekistan","UZ","UZB",32981715,"Asia",2.04052458
"30957",2020-05-19,19,5,2020,49,1,"Uzbekistan","UZ","UZB",32981715,"Asia",1.85860559
"30958",2020-05-18,18,5,2020,12,1,"Uzbekistan","UZ","UZB",32981715,"Asia",1.83131775
"30959",2020-05-17,17,5,2020,50,0,"Uzbekistan","UZ","UZB",32981715,"Asia",1.86163758
"30960",2020-05-16,16,5,2020,46,0,"Uzbekistan","UZ","UZB",32981715,"Asia",1.81009387
"30961",2020-05-15,15,5,2020,33,0,"Uzbekistan","UZ","UZB",32981715,"Asia",1.81615783
"30962",2020-05-14,14,5,2020,65,1,"Uzbekistan","UZ","UZB",32981715,"Asia",1.84950964
"30963",2020-05-13,13,5,2020,38,0,"Uzbekistan","UZ","UZB",32981715,"Asia",1.84344568
"30964",2020-05-12,12,5,2020,91,0,"Uzbekistan","UZ","UZB",32981715,"Asia",1.83434973
"30965",2020-05-11,11,5,2020,31,0,"Uzbekistan","UZ","UZB",32981715,"Asia",1.60998299
"30966",2020-05-10,10,5,2020,51,0,"Uzbekistan","UZ","UZB",32981715,"Asia",1.58269514
"30967",2020-05-09,9,5,2020,38,0,"Uzbekistan","UZ","UZB",32981715,"Asia",1.51599151
"30968",2020-05-08,8,5,2020,65,0,"Uzbekistan","UZ","UZB",32981715,"Asia",1.57663117
"30969",2020-05-07,7,5,2020,26,0,"Uzbekistan","UZ","UZB",32981715,"Asia",1.56753522
"30970",2020-05-06,6,5,2020,18,0,"Uzbekistan","UZ","UZB",32981715,"Asia",1.56147126
"30971",2020-05-05,5,5,2020,40,0,"Uzbekistan","UZ","UZB",32981715,"Asia",1.61301497
"30972",2020-05-04,4,5,2020,22,1,"Uzbekistan","UZ","UZB",32981715,"Asia",1.77067809
"30973",2020-05-03,3,5,2020,33,0,"Uzbekistan","UZ","UZB",32981715,"Asia",1.91621327
"30974",2020-05-02,2,5,2020,48,0,"Uzbekistan","UZ","UZB",32981715,"Asia",1.95259707
