"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"30534",2020-07-20,20,7,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",42.40649111
"30535",2020-07-19,19,7,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",42.40649111
"30536",2020-07-18,18,7,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",42.40649111
"30537",2020-07-17,17,7,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",52.36429064
"30538",2020-07-16,16,7,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",52.36429064
"30539",2020-07-15,15,7,2020,5,0,"Western_Sahara","EH","ESH",582458,"Africa",66.27087275
"30540",2020-07-14,14,7,2020,242,0,"Western_Sahara","EH","ESH",582458,"Africa",94.94246795
"30541",2020-07-13,13,7,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",53.39440784
"30542",2020-07-12,12,7,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",53.39440784
"30543",2020-07-11,11,7,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",84.81298222
"30544",2020-07-10,10,7,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",84.81298222
"30545",2020-07-09,9,7,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",84.81298222
"30546",2020-07-08,8,7,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",84.81298222
"30547",2020-07-07,7,7,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",84.81298222
"30548",2020-07-06,6,7,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",84.81298222
"30549",2020-07-05,5,7,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",84.81298222
"30550",2020-07-04,4,7,2020,58,0,"Western_Sahara","EH","ESH",582458,"Africa",84.81298222
"30551",2020-07-03,3,7,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",75.19855509
"30552",2020-07-02,2,7,2020,81,0,"Western_Sahara","EH","ESH",582458,"Africa",75.19855509
"30553",2020-07-01,1,7,2020,172,0,"Western_Sahara","EH","ESH",582458,"Africa",61.29197298
"30554",2020-06-30,30,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",31.76194678
"30555",2020-06-29,29,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",31.76194678
"30556",2020-06-28,28,6,2020,183,0,"Western_Sahara","EH","ESH",582458,"Africa",31.76194678
"30557",2020-06-27,27,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0.3433724
"30558",2020-06-26,26,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0.3433724
"30559",2020-06-25,25,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0.3433724
"30560",2020-06-24,24,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0.3433724
"30561",2020-06-23,23,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0.3433724
"30562",2020-06-22,22,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0.3433724
"30563",2020-06-21,21,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0.3433724
"30564",2020-06-20,20,6,2020,2,0,"Western_Sahara","EH","ESH",582458,"Africa",0.3433724
"30565",2020-06-19,19,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30566",2020-06-18,18,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30567",2020-06-17,17,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30568",2020-06-16,16,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30569",2020-06-15,15,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30570",2020-06-14,14,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30571",2020-06-13,13,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30572",2020-06-12,12,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",2.91866538
"30573",2020-06-11,11,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",2.91866538
"30574",2020-06-10,10,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",2.91866538
"30575",2020-06-09,9,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",2.91866538
"30576",2020-06-08,8,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",2.91866538
"30577",2020-06-07,7,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",2.91866538
"30578",2020-06-06,6,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",2.91866538
"30579",2020-06-05,5,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",2.91866538
"30580",2020-06-04,4,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",2.91866538
"30581",2020-06-03,3,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",2.91866538
"30582",2020-06-02,2,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",2.91866538
"30583",2020-06-01,1,6,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",2.91866538
"30584",2020-05-31,31,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",2.91866538
"30585",2020-05-30,30,5,2020,17,1,"Western_Sahara","EH","ESH",582458,"Africa",2.91866538
"30586",2020-05-29,29,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30587",2020-05-28,28,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30588",2020-05-27,27,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30589",2020-05-26,26,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30590",2020-05-25,25,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30591",2020-05-24,24,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30592",2020-05-23,23,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30593",2020-05-22,22,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30594",2020-05-21,21,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30595",2020-05-20,20,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30596",2020-05-19,19,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30597",2020-05-18,18,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30598",2020-05-17,17,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30599",2020-05-16,16,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30600",2020-05-15,15,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30601",2020-05-14,14,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30602",2020-05-13,13,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30603",2020-05-12,12,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30604",2020-05-11,11,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30605",2020-05-10,10,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",0
"30606",2020-05-09,9,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",1.03011719
"30607",2020-05-08,8,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",NA
"30608",2020-05-07,7,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",NA
"30609",2020-05-06,6,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",NA
"30610",2020-05-05,5,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",NA
"30611",2020-05-04,4,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",NA
"30612",2020-05-03,3,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",NA
"30613",2020-05-02,2,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",NA
"30614",2020-05-01,1,5,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",NA
"30615",2020-04-30,30,4,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",NA
"30616",2020-04-29,29,4,2020,0,0,"Western_Sahara","EH","ESH",582458,"Africa",NA
