"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"31966",2020-07-26,26,7,2020,472,0,"Zambia","ZM","ZMB",17861034,"Africa",13.62183175
"31967",2020-07-25,25,7,2020,273,2,"Zambia","ZM","ZMB",17861034,"Africa",10.97920759
"31968",2020-07-24,24,7,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",9.45074065
"31969",2020-07-23,23,7,2020,257,8,"Zambia","ZM","ZMB",17861034,"Africa",9.45074065
"31970",2020-07-22,22,7,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",8.01185418
"31971",2020-07-21,21,7,2020,346,11,"Zambia","ZM","ZMB",17861034,"Africa",9.48433333
"31972",2020-07-20,20,7,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",7.54715544
"31973",2020-07-19,19,7,2020,170,0,"Zambia","ZM","ZMB",17861034,"Africa",7.54715544
"31974",2020-07-18,18,7,2020,527,27,"Zambia","ZM","ZMB",17861034,"Africa",6.59536284
"31975",2020-07-17,17,7,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",3.64480578
"31976",2020-07-16,16,7,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",3.64480578
"31977",2020-07-15,15,7,2020,388,40,"Zambia","ZM","ZMB",17861034,"Africa",3.85755942
"31978",2020-07-14,14,7,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",1.83080106
"31979",2020-07-13,13,7,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",1.89238764
"31980",2020-07-12,12,7,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",2.03795592
"31981",2020-07-11,11,7,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",2.03795592
"31982",2020-07-10,10,7,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",2.22831444
"31983",2020-07-09,9,7,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",2.27310468
"31984",2020-07-08,8,7,2020,263,12,"Zambia","ZM","ZMB",17861034,"Africa",2.34029004
"31985",2020-07-07,7,7,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",1.13095356
"31986",2020-07-06,6,7,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",1.13095356
"31987",2020-07-05,5,7,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",1.13095356
"31988",2020-07-04,4,7,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",1.13095356
"31989",2020-07-03,3,7,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",1.20933648
"31990",2020-07-02,2,7,2020,38,6,"Zambia","ZM","ZMB",17861034,"Africa",1.2317316
"31991",2020-07-01,1,7,2020,26,2,"Zambia","ZM","ZMB",17861034,"Africa",1.05816942
"31992",2020-06-30,30,6,2020,11,0,"Zambia","ZM","ZMB",17861034,"Africa",1.04137308
"31993",2020-06-29,29,6,2020,26,1,"Zambia","ZM","ZMB",17861034,"Africa",1.11415722
"31994",2020-06-28,28,6,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",0.97418772
"31995",2020-06-27,27,6,2020,34,3,"Zambia","ZM","ZMB",17861034,"Africa",1.1757438
"31996",2020-06-26,26,6,2020,8,0,"Zambia","ZM","ZMB",17861034,"Africa",1.3717011
"31997",2020-06-25,25,6,2020,12,0,"Zambia","ZM","ZMB",17861034,"Africa",1.32691086
"31998",2020-06-24,24,6,2020,47,7,"Zambia","ZM","ZMB",17861034,"Africa",1.55086206
"31999",2020-06-23,23,6,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",1.2877194
"32000",2020-06-22,22,6,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",1.54526328
"32001",2020-06-21,21,6,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",1.54526328
"32002",2020-06-20,20,6,2020,14,0,"Zambia","ZM","ZMB",17861034,"Africa",1.78601082
"32003",2020-06-19,19,6,2020,4,0,"Zambia","ZM","ZMB",17861034,"Africa",1.7076279
"32004",2020-06-18,18,6,2020,7,0,"Zambia","ZM","ZMB",17861034,"Africa",1.80840594
"32005",2020-06-17,17,6,2020,23,0,"Zambia","ZM","ZMB",17861034,"Africa",1.76921448
"32006",2020-06-16,16,6,2020,24,0,"Zambia","ZM","ZMB",17861034,"Africa",1.64044254
"32007",2020-06-15,15,6,2020,1,1,"Zambia","ZM","ZMB",17861034,"Africa",1.68523278
"32008",2020-06-14,14,6,2020,36,0,"Zambia","ZM","ZMB",17861034,"Africa",1.679634
"32009",2020-06-13,13,6,2020,69,0,"Zambia","ZM","ZMB",17861034,"Africa",1.47807792
"32010",2020-06-12,12,6,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",1.0917621
"32011",2020-06-11,11,6,2020,52,0,"Zambia","ZM","ZMB",17861034,"Africa",1.0917621
"32012",2020-06-10,10,6,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",1.5676584
"32013",2020-06-09,9,6,2020,46,3,"Zambia","ZM","ZMB",17861034,"Africa",1.5676584
"32014",2020-06-08,8,6,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",1.31011452
"32015",2020-06-07,7,6,2020,43,0,"Zambia","ZM","ZMB",17861034,"Africa",1.31011452
"32016",2020-06-06,6,6,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",1.06936698
"32017",2020-06-05,5,6,2020,22,0,"Zambia","ZM","ZMB",17861034,"Africa",1.3717011
"32018",2020-06-04,4,6,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",1.43888646
"32019",2020-06-03,3,6,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",1.77481326
"32020",2020-06-02,2,6,2020,32,0,"Zambia","ZM","ZMB",17861034,"Africa",1.83639984
"32021",2020-06-01,1,6,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",1.70202912
"32022",2020-05-31,31,5,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",2.11633884
"32023",2020-05-30,30,5,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",2.17792542
"32024",2020-05-29,29,5,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",2.25630834
"32025",2020-05-28,28,5,2020,137,0,"Zambia","ZM","ZMB",17861034,"Africa",3.42085458
"32026",2020-05-27,27,5,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",2.68181562
"32027",2020-05-26,26,5,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",3.65600334
"32028",2020-05-25,25,5,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",3.65600334
"32029",2020-05-24,24,5,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",3.73998504
"32030",2020-05-23,23,5,2020,54,0,"Zambia","ZM","ZMB",17861034,"Africa",4.21588134
"32031",2020-05-22,22,5,2020,34,0,"Zambia","ZM","ZMB",17861034,"Africa",3.99193014
"32032",2020-05-21,21,5,2020,60,0,"Zambia","ZM","ZMB",17861034,"Africa",3.84076308
"32033",2020-05-20,20,5,2020,11,0,"Zambia","ZM","ZMB",17861034,"Africa",3.54402774
"32034",2020-05-19,19,5,2020,8,0,"Zambia","ZM","ZMB",17861034,"Africa",3.49363872
"32035",2020-05-18,18,5,2020,74,0,"Zambia","ZM","ZMB",17861034,"Africa",3.52163262
"32036",2020-05-17,17,5,2020,11,0,"Zambia","ZM","ZMB",17861034,"Africa",3.1353168
"32037",2020-05-16,16,5,2020,14,0,"Zambia","ZM","ZMB",17861034,"Africa",3.12971802
"32038",2020-05-15,15,5,2020,208,0,"Zambia","ZM","ZMB",17861034,"Africa",3.06813144
"32039",2020-05-14,14,5,2020,5,0,"Zambia","ZM","ZMB",17861034,"Africa",1.95397422
"32040",2020-05-13,13,5,2020,174,0,"Zambia","ZM","ZMB",17861034,"Africa",1.93717788
"32041",2020-05-12,12,5,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",0.99658284
"32042",2020-05-11,11,5,2020,15,0,"Zambia","ZM","ZMB",17861034,"Africa",1.00218162
"32043",2020-05-10,10,5,2020,85,3,"Zambia","ZM","ZMB",17861034,"Africa",0.94059504
"32044",2020-05-09,9,5,2020,14,0,"Zambia","ZM","ZMB",17861034,"Africa",0.46469874
"32045",2020-05-08,8,5,2020,7,0,"Zambia","ZM","ZMB",17861034,"Africa",0.43110606
"32046",2020-05-07,7,5,2020,7,0,"Zambia","ZM","ZMB",17861034,"Africa",0.40311216
"32047",2020-05-06,6,5,2020,2,1,"Zambia","ZM","ZMB",17861034,"Africa",0.41430972
"32048",2020-05-05,5,5,2020,13,0,"Zambia","ZM","ZMB",17861034,"Africa",0.40311216
"32049",2020-05-04,4,5,2020,5,0,"Zambia","ZM","ZMB",17861034,"Africa",0.35272314
"32050",2020-05-03,3,5,2020,10,0,"Zambia","ZM","ZMB",17861034,"Africa",0.34712436
"32051",2020-05-02,2,5,2020,3,0,"Zambia","ZM","ZMB",17861034,"Africa",0.31913046
"32052",2020-05-01,1,5,2020,9,0,"Zambia","ZM","ZMB",17861034,"Africa",0.32472924
"32053",2020-04-30,30,4,2020,2,0,"Zambia","ZM","ZMB",17861034,"Africa",0.27434022
"32054",2020-04-29,29,4,2020,6,0,"Zambia","ZM","ZMB",17861034,"Africa",0.279939
"32055",2020-04-28,28,4,2020,1,0,"Zambia","ZM","ZMB",17861034,"Africa",0.24634632
"32056",2020-04-27,27,4,2020,4,0,"Zambia","ZM","ZMB",17861034,"Africa",0.2519451
"32057",2020-04-26,26,4,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",0.24634632
"32058",2020-04-25,25,4,2020,8,0,"Zambia","ZM","ZMB",17861034,"Africa",0.24634632
"32059",2020-04-24,24,4,2020,2,0,"Zambia","ZM","ZMB",17861034,"Africa",0.20715486
"32060",2020-04-23,23,4,2020,9,0,"Zambia","ZM","ZMB",17861034,"Africa",0.1959573
"32061",2020-04-22,22,4,2020,0,0,"Zambia","ZM","ZMB",17861034,"Africa",0.14556828
"32062",2020-04-21,21,4,2020,4,0,"Zambia","ZM","ZMB",17861034,"Africa",0.14556828
"32063",2020-04-20,20,4,2020,4,1,"Zambia","ZM","ZMB",17861034,"Africa",0.12317316
"32064",2020-04-19,19,4,2020,5,0,"Zambia","ZM","ZMB",17861034,"Africa",0.10077804
"32065",2020-04-18,18,4,2020,4,0,"Zambia","ZM","ZMB",17861034,"Africa",0.07278414
