"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"29182",2020-07-12,12,7,2020,40,5,"Zimbabwe","ZW","ZWE",14645473,"Africa",2.83364013
"29183",2020-07-11,11,7,2020,16,1,"Zimbabwe","ZW","ZWE",14645473,"Africa",2.60148648
"29184",2020-07-10,10,7,2020,41,3,"Zimbabwe","ZW","ZWE",14645473,"Africa",2.56051819
"29185",2020-07-09,9,7,2020,98,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",2.42395722
"29186",2020-07-08,8,7,2020,53,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.78894871
"29187",2020-07-07,7,7,2020,18,1,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.51582677
"29188",2020-07-06,6,7,2020,18,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.54996701
"29189",2020-07-05,5,7,2020,73,1,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.44754628
"29190",2020-07-04,4,7,2020,8,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.99689508
"29191",2020-07-03,3,7,2020,12,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.05151947
"29192",2020-07-02,2,7,2020,14,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.39292189
"29193",2020-07-01,1,7,2020,17,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.34512556
"29194",2020-06-30,30,6,2020,7,1,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.27684507
"29195",2020-06-29,29,6,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.25636092
"29196",2020-06-28,28,6,2020,6,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.44071823
"29197",2020-06-27,27,6,2020,10,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.48851457
"29198",2020-06-26,26,6,2020,21,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.49534262
"29199",2020-06-25,25,6,2020,5,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.43389019
"29200",2020-06-24,24,6,2020,13,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.44071823
"29201",2020-06-23,23,6,2020,23,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.53631091
"29202",2020-06-22,22,6,2020,3,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.41340604
"29203",2020-06-21,21,6,2020,7,2,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.41340604
"29204",2020-06-20,20,6,2020,16,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.46120238
"29205",2020-06-19,19,6,2020,62,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.54313896
"29206",2020-06-18,18,6,2020,7,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.22222068
"29207",2020-06-17,17,6,2020,7,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.28367312
"29208",2020-06-16,16,6,2020,4,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.25636092
"29209",2020-06-15,15,6,2020,27,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.39974994
"29210",2020-06-14,14,6,2020,13,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.24270483
"29211",2020-06-13,13,6,2020,11,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.24953288
"29212",2020-06-12,12,6,2020,12,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.24953288
"29213",2020-06-11,11,6,2020,6,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.28367312
"29214",2020-06-10,10,6,2020,27,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.76163651
"29215",2020-06-09,9,6,2020,5,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.5772792
"29216",2020-06-08,8,6,2020,3,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.54313896
"29217",2020-06-07,7,6,2020,14,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.52265482
"29218",2020-06-06,6,6,2020,28,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.42706214
"29219",2020-06-05,5,6,2020,15,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.27001702
"29220",2020-06-04,4,6,2020,16,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.18808044
"29221",2020-06-03,3,6,2020,3,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.09248776
"29222",2020-06-02,2,6,2020,25,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",1.07200362
"29223",2020-06-01,1,6,2020,4,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.9013024
"29224",2020-05-31,31,5,2020,14,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.88764631
"29225",2020-05-30,30,5,2020,11,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.80570972
"29226",2020-05-29,29,5,2020,17,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.76474143
"29227",2020-05-28,28,5,2020,76,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.64866461
"29228",2020-05-27,27,5,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.12973292
"29229",2020-05-26,26,5,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.12973292
"29230",2020-05-25,25,5,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.13656097
"29231",2020-05-24,24,5,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.13656097
"29232",2020-05-23,23,5,2020,5,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.14338902
"29233",2020-05-22,22,5,2020,3,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.11607682
"29234",2020-05-21,21,5,2020,2,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.09559268
"29235",2020-05-20,20,5,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.08193658
"29236",2020-05-19,19,5,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.08193658
"29237",2020-05-18,18,5,2020,2,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.08193658
"29238",2020-05-17,17,5,2020,2,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.06828049
"29239",2020-05-16,16,5,2020,5,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.05462439
"29240",2020-05-15,15,5,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.02048415
"29241",2020-05-14,14,5,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.02048415
"29242",2020-05-13,13,5,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.03414024
"29243",2020-05-12,12,5,2020,1,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.03414024
"29244",2020-05-11,11,5,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.03414024
"29245",2020-05-10,10,5,2020,1,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.03414024
"29246",2020-05-09,9,5,2020,1,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.04096829
"29247",2020-05-08,8,5,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.03414024
"29248",2020-05-07,7,5,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.04096829
"29249",2020-05-06,6,5,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.04096829
"29250",2020-05-05,5,5,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.06145244
"29251",2020-05-04,4,5,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.06145244
"29252",2020-05-03,3,5,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.06145244
"29253",2020-05-02,2,5,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.06828049
"29254",2020-05-01,1,5,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.06828049
"29255",2020-04-30,30,4,2020,2,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.07510853
"29256",2020-04-29,29,4,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.10242073
"29257",2020-04-28,28,4,2020,1,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.10242073
"29258",2020-04-27,27,4,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.11607682
"29259",2020-04-26,26,4,2020,2,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.11607682
"29260",2020-04-25,25,4,2020,0,1,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.12290487
"29261",2020-04-24,24,4,2020,1,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.12290487
"29262",2020-04-23,23,4,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.11607682
"29263",2020-04-22,22,4,2020,3,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.12290487
"29264",2020-04-21,21,4,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.10924878
"29265",2020-04-20,20,4,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.10924878
"29266",2020-04-19,19,4,2020,1,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.10924878
"29267",2020-04-18,18,4,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.10242073
"29268",2020-04-17,17,4,2020,1,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.10924878
"29269",2020-04-16,16,4,2020,6,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.10242073
"29270",2020-04-15,15,4,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.06145244
"29271",2020-04-14,14,4,2020,3,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.06828049
"29272",2020-04-13,13,4,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.04779634
"29273",2020-04-12,12,4,2020,3,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.04779634
"29274",2020-04-11,11,4,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.04096829
"29275",2020-04-10,10,4,2020,0,1,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.05462439
"29276",2020-04-09,9,4,2020,1,1,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.05462439
"29277",2020-04-08,8,4,2020,1,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.05462439
"29278",2020-04-07,7,4,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.04779634
"29279",2020-04-06,6,4,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.04779634
"29280",2020-04-05,5,4,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.04779634
"29281",2020-04-04,4,4,2020,1,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.05462439
"29282",2020-04-03,3,4,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",0.05462439
"29283",2020-04-02,2,4,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",NA
"29284",2020-04-01,1,4,2020,1,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",NA
"29285",2020-03-31,31,3,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",NA
"29286",2020-03-30,30,3,2020,0,0,"Zimbabwe","ZW","ZWE",14645473,"Africa",NA
