"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"1",2020-07-17,17,7,2020,76,21,"Afghanistan","AF","AFG",38041757,"Asia",8.01224823
"2",2020-07-16,16,7,2020,254,49,"Afghanistan","AF","AFG",38041757,"Asia",8.30140416
"3",2020-07-15,15,7,2020,285,33,"Afghanistan","AF","AFG",38041757,"Asia",8.47226904
"4",2020-07-14,14,7,2020,4,2,"Afghanistan","AF","AFG",38041757,"Asia",8.4564969
"5",2020-07-13,13,7,2020,0,0,"Afghanistan","AF","AFG",38041757,"Asia",9.15835722
"6",2020-07-12,12,7,2020,85,16,"Afghanistan","AF","AFG",38041757,"Asia",10.08102754
"7",2020-07-11,11,7,2020,458,37,"Afghanistan","AF","AFG",38041757,"Asia",10.29132277
"8",2020-07-10,10,7,2020,255,20,"Afghanistan","AF","AFG",38041757,"Asia",9.81290112
"9",2020-07-09,9,7,2020,59,1,"Afghanistan","AF","AFG",38041757,"Asia",10.35178265
"10",2020-07-08,8,7,2020,210,16,"Afghanistan","AF","AFG",38041757,"Asia",10.81180346
"11",2020-07-07,7,7,2020,433,56,"Afghanistan","AF","AFG",38041757,"Asia",11.14827583
"12",2020-07-06,6,7,2020,279,38,"Afghanistan","AF","AFG",38041757,"Asia",10.82494691
"13",2020-07-05,5,7,2020,348,7,"Afghanistan","AF","AFG",38041757,"Asia",11.16667666
"14",2020-07-04,4,7,2020,302,12,"Afghanistan","AF","AFG",38041757,"Asia",11.68715735
"15",2020-07-03,3,7,2020,186,33,"Afghanistan","AF","AFG",38041757,"Asia",11.80281973
"16",2020-07-02,2,7,2020,319,28,"Afghanistan","AF","AFG",38041757,"Asia",13.04356158
"17",2020-07-01,1,7,2020,279,13,"Afghanistan","AF","AFG",38041757,"Asia",13.68759072
"18",2020-06-30,30,6,2020,271,12,"Afghanistan","AF","AFG",38041757,"Asia",15.01245066
"19",2020-06-29,29,6,2020,351,18,"Afghanistan","AF","AFG",38041757,"Asia",16.30050894
"20",2020-06-28,28,6,2020,165,20,"Afghanistan","AF","AFG",38041757,"Asia",17.12328902
"21",2020-06-27,27,6,2020,276,8,"Afghanistan","AF","AFG",38041757,"Asia",18.15110695
"22",2020-06-26,26,6,2020,460,36,"Afghanistan","AF","AFG",38041757,"Asia",19.15000929
"23",2020-06-25,25,6,2020,234,21,"Afghanistan","AF","AFG",38041757,"Asia",19.90444343
"24",2020-06-24,24,6,2020,338,20,"Afghanistan","AF","AFG",38041757,"Asia",21.08735409
"25",2020-06-23,23,6,2020,310,17,"Afghanistan","AF","AFG",38041757,"Asia",21.62360692
"26",2020-06-22,22,6,2020,409,12,"Afghanistan","AF","AFG",38041757,"Asia",22.32020987
"27",2020-06-21,21,6,2020,546,21,"Afghanistan","AF","AFG",38041757,"Asia",23.32436959
"28",2020-06-20,20,6,2020,346,2,"Afghanistan","AF","AFG",38041757,"Asia",23.41900244
"29",2020-06-19,19,6,2020,658,42,"Afghanistan","AF","AFG",38041757,"Asia",24.91472726
"30",2020-06-18,18,6,2020,564,13,"Afghanistan","AF","AFG",38041757,"Asia",25.25382831
"31",2020-06-17,17,6,2020,783,13,"Afghanistan","AF","AFG",38041757,"Asia",25.76379424
"32",2020-06-16,16,6,2020,761,7,"Afghanistan","AF","AFG",38041757,"Asia",25.70070567
"33",2020-06-15,15,6,2020,664,20,"Afghanistan","AF","AFG",38041757,"Asia",25.13290856
"34",2020-06-14,14,6,2020,556,5,"Afghanistan","AF","AFG",38041757,"Asia",25.1749676
"35",2020-06-13,13,6,2020,656,20,"Afghanistan","AF","AFG",38041757,"Asia",25.98986161
"36",2020-06-12,12,6,2020,747,21,"Afghanistan","AF","AFG",38041757,"Asia",25.90311483
"37",2020-06-11,11,6,2020,684,21,"Afghanistan","AF","AFG",38041757,"Asia",25.46412354
"38",2020-06-10,10,6,2020,542,15,"Afghanistan","AF","AFG",38041757,"Asia",25.30903081
"39",2020-06-09,9,6,2020,575,12,"Afghanistan","AF","AFG",38041757,"Asia",25.61395889
"40",2020-06-08,8,6,2020,791,30,"Afghanistan","AF","AFG",38041757,"Asia",25.65601794
"41",2020-06-07,7,6,2020,582,18,"Afghanistan","AF","AFG",38041757,"Asia",25.11187903
"42",2020-06-06,6,6,2020,915,9,"Afghanistan","AF","AFG",38041757,"Asia",25.63761711
"43",2020-06-05,5,6,2020,787,6,"Afghanistan","AF","AFG",38041757,"Asia",24.65185822
"44",2020-06-04,4,6,2020,758,24,"Afghanistan","AF","AFG",38041757,"Asia",23.97891349
"45",2020-06-03,3,6,2020,759,5,"Afghanistan","AF","AFG",38041757,"Asia",23.27968185
"46",2020-06-02,2,6,2020,545,8,"Afghanistan","AF","AFG",38041757,"Asia",22.81177497
"47",2020-06-01,1,6,2020,680,8,"Afghanistan","AF","AFG",38041757,"Asia",22.45164439
"48",2020-05-31,31,5,2020,866,3,"Afghanistan","AF","AFG",38041757,"Asia",21.35285181
"49",2020-05-30,30,5,2020,623,11,"Afghanistan","AF","AFG",38041757,"Asia",19.07640596
"50",2020-05-29,29,5,2020,580,8,"Afghanistan","AF","AFG",38041757,"Asia",20.23302972
"51",2020-05-28,28,5,2020,625,7,"Afghanistan","AF","AFG",38041757,"Asia",19.00543132
"52",2020-05-27,27,5,2020,658,1,"Afghanistan","AF","AFG",38041757,"Asia",18.04333065
"53",2020-05-26,26,5,2020,591,1,"Afghanistan","AF","AFG",38041757,"Asia",17.04968569
"54",2020-05-25,25,5,2020,584,2,"Afghanistan","AF","AFG",38041757,"Asia",16.24530644
"55",2020-05-24,24,5,2020,782,11,"Afghanistan","AF","AFG",38041757,"Asia",15.68013801
"56",2020-05-23,23,5,2020,540,12,"Afghanistan","AF","AFG",38041757,"Asia",14.29481819
"57",2020-05-22,22,5,2020,531,6,"Afghanistan","AF","AFG",38041757,"Asia",13.44049382
"58",2020-05-21,21,5,2020,492,9,"Afghanistan","AF","AFG",38041757,"Asia",12.49416529
"59",2020-05-20,20,5,2020,581,5,"Afghanistan","AF","AFG",38041757,"Asia",11.64246962
"60",2020-05-19,19,5,2020,408,4,"Afghanistan","AF","AFG",38041757,"Asia",10.98266833
"61",2020-05-18,18,5,2020,262,1,"Afghanistan","AF","AFG",38041757,"Asia",10.40961384
"62",2020-05-17,17,5,2020,0,0,"Afghanistan","AF","AFG",38041757,"Asia",10.3386392
"63",2020-05-16,16,5,2020,1063,32,"Afghanistan","AF","AFG",38041757,"Asia",10.6908837
"64",2020-05-15,15,5,2020,113,6,"Afghanistan","AF","AFG",38041757,"Asia",8.32769107
"65",2020-05-14,14,5,2020,259,3,"Afghanistan","AF","AFG",38041757,"Asia",8.61421832
"66",2020-05-13,13,5,2020,280,5,"Afghanistan","AF","AFG",38041757,"Asia",8.25408774
"67",2020-05-12,12,5,2020,285,2,"Afghanistan","AF","AFG",38041757,"Asia",7.84401204
"68",2020-05-11,11,5,2020,369,5,"Afghanistan","AF","AFG",38041757,"Asia",7.54697003
"69",2020-05-10,10,5,2020,255,6,"Afghanistan","AF","AFG",38041757,"Asia",6.75573423
"70",2020-05-09,9,5,2020,215,3,"Afghanistan","AF","AFG",38041757,"Asia",6.37983151
"71",2020-05-08,8,5,2020,171,2,"Afghanistan","AF","AFG",38041757,"Asia",5.99867141
"72",2020-05-07,7,5,2020,168,9,"Afghanistan","AF","AFG",38041757,"Asia",5.82517784
"73",2020-05-06,6,5,2020,330,5,"Afghanistan","AF","AFG",38041757,"Asia",5.60436785
"74",2020-05-05,5,5,2020,190,5,"Afghanistan","AF","AFG",38041757,"Asia",4.89725015
"75",2020-05-04,4,5,2020,235,13,"Afghanistan","AF","AFG",38041757,"Asia",4.48980314
"76",2020-05-03,3,5,2020,134,4,"Afghanistan","AF","AFG",38041757,"Asia",4.10338566
"77",2020-05-02,2,5,2020,164,4,"Afghanistan","AF","AFG",38041757,"Asia",3.91674864
"78",2020-05-01,1,5,2020,222,4,"Afghanistan","AF","AFG",38041757,"Asia",3.61970663
"79",2020-04-30,30,4,2020,122,0,"Afghanistan","AF","AFG",38041757,"Asia",3.06242427
"80",2020-04-29,29,4,2020,124,3,"Afghanistan","AF","AFG",38041757,"Asia",2.92573237
"81",2020-04-28,28,4,2020,172,0,"Afghanistan","AF","AFG",38041757,"Asia",2.7285806
"82",2020-04-27,27,4,2020,68,10,"Afghanistan","AF","AFG",38041757,"Asia",2.42890989
"83",2020-04-26,26,4,2020,112,4,"Afghanistan","AF","AFG",38041757,"Asia",2.38685085
"84",2020-04-25,25,4,2020,70,1,"Afghanistan","AF","AFG",38041757,"Asia",2.181813
"85",2020-04-24,24,4,2020,105,2,"Afghanistan","AF","AFG",38041757,"Asia",2.09506622
"86",2020-04-23,23,4,2020,84,4,"Afghanistan","AF","AFG",38041757,"Asia",1.97940384
"87",2020-04-22,22,4,2020,61,1,"Afghanistan","AF","AFG",38041757,"Asia",1.90580051
"88",2020-04-21,21,4,2020,35,2,"Afghanistan","AF","AFG",38041757,"Asia",1.82431111
"89",2020-04-20,20,4,2020,88,3,"Afghanistan","AF","AFG",38041757,"Asia",1.83219718
"90",2020-04-19,19,4,2020,63,0,"Afghanistan","AF","AFG",38041757,"Asia",1.67710445
"91",2020-04-18,18,4,2020,51,1,"Afghanistan","AF","AFG",38041757,"Asia",1.60350112
"92",2020-04-17,17,4,2020,10,4,"Afghanistan","AF","AFG",38041757,"Asia",1.46943791
"93",2020-04-16,16,4,2020,70,2,"Afghanistan","AF","AFG",38041757,"Asia",1.55618469
