"","Date","EpisodeDateCases","ReportedDateCases","Deaths"
"1",2020-01-15,0,0,0
"2",2020-01-16,0,0,0
"3",2020-01-17,0,0,0
"4",2020-01-18,0,0,0
"5",2020-01-19,0,0,0
"6",2020-01-20,0,0,0
"7",2020-01-21,0,0,0
"8",2020-01-22,0,0,0
"9",2020-01-23,0,0,0
"10",2020-01-24,0,0,0
"11",2020-01-25,0,0,0
"12",2020-01-26,0,0,0
"13",2020-01-27,0,0,0
"14",2020-01-28,0,0,0
"15",2020-01-29,0,0,0
"16",2020-01-30,0,0,0
"17",2020-01-31,0,0,0
"18",2020-02-01,0,0,0
"19",2020-02-02,0,0,0
"20",2020-02-03,0,0,0
"21",2020-02-04,0,0,0
"22",2020-02-05,0,0,0
"23",2020-02-06,0,0,0
"24",2020-02-07,0,0,0
"25",2020-02-08,0,0,0
"26",2020-02-09,0,0,0
"27",2020-02-10,0,0,0
"28",2020-02-11,0,0,0
"29",2020-02-12,0,0,0
"30",2020-02-13,0,0,0
"31",2020-02-14,0,0,0
"32",2020-02-15,0,0,0
"33",2020-02-16,0,0,0
"34",2020-02-17,0,0,0
"35",2020-02-18,0,0,0
"36",2020-02-19,0,0,0
"37",2020-02-20,0,0,0
"38",2020-02-21,0,0,0
"39",2020-02-22,0,0,0
"40",2020-02-23,0,0,0
"41",2020-02-24,1,0,0
"42",2020-02-25,0,0,0
"43",2020-02-26,1,0,0
"44",2020-02-27,0,0,0
"45",2020-02-28,0,2,0
"46",2020-02-29,0,0,0
"47",2020-03-01,0,0,0
"48",2020-03-02,0,0,0
"49",2020-03-03,0,0,0
"50",2020-03-04,0,0,0
"51",2020-03-05,0,0,0
"52",2020-03-06,2,0,0
"53",2020-03-07,2,0,0
"54",2020-03-08,1,0,0
"55",2020-03-09,2,0,0
"56",2020-03-10,7,0,0
"57",2020-03-11,7,0,0
"58",2020-03-12,6,0,0
"59",2020-03-13,1,2,0
"60",2020-03-14,6,6,0
"61",2020-03-15,14,0,0
"62",2020-03-16,14,1,0
"63",2020-03-17,10,1,0
"64",2020-03-18,14,5,0
"65",2020-03-19,11,6,0
"66",2020-03-20,16,5,0
"67",2020-03-21,13,7,0
"68",2020-03-22,22,3,0
"69",2020-03-23,11,11,1
"70",2020-03-24,16,7,1
"71",2020-03-25,13,9,1
"72",2020-03-26,12,22,0
"73",2020-03-27,17,14,0
"74",2020-03-28,9,6,1
"75",2020-03-29,15,11,0
"76",2020-03-30,13,28,2
"77",2020-03-31,11,17,0
"78",2020-04-01,28,27,2
"79",2020-04-02,13,21,5
"80",2020-04-03,18,29,1
"81",2020-04-04,11,9,1
"82",2020-04-05,21,11,2
"83",2020-04-06,13,23,1
"84",2020-04-07,22,10,1
"85",2020-04-08,24,18,1
"86",2020-04-09,29,23,4
"87",2020-04-10,52,14,2
"88",2020-04-11,24,21,4
"89",2020-04-12,35,53,1
"90",2020-04-13,39,30,2
"91",2020-04-14,28,19,1
"92",2020-04-15,34,47,6
"93",2020-04-16,49,26,7
"94",2020-04-17,45,53,6
"95",2020-04-18,38,54,3
"96",2020-04-19,21,42,8
"97",2020-04-20,29,44,9
"98",2020-04-21,35,32,7
"99",2020-04-22,22,27,4
"100",2020-04-23,27,30,5
"101",2020-04-24,24,19,6
"102",2020-04-25,22,33,5
"103",2020-04-26,15,19,6
"104",2020-04-27,35,18,4
"105",2020-04-28,19,13,3
"106",2020-04-29,30,38,7
"107",2020-04-30,25,27,5
"108",2020-05-01,22,29,2
"109",2020-05-02,13,21,3
"110",2020-05-03,20,28,4
"111",2020-05-04,17,9,4
"112",2020-05-05,23,27,1
"113",2020-05-06,10,22,3
"114",2020-05-07,6,6,3
"115",2020-05-08,14,14,3
"116",2020-05-09,12,12,2
