"","Date","EpisodeDateCases","ReportedDateCases","Deaths"
"1",2020-01-15,0,0,0
"2",2020-01-16,0,0,0
"3",2020-01-17,0,0,0
"4",2020-01-18,0,0,0
"5",2020-01-19,0,0,0
"6",2020-01-20,0,0,0
"7",2020-01-21,0,0,0
"8",2020-01-22,0,0,0
"9",2020-01-23,0,0,0
"10",2020-01-24,0,0,0
"11",2020-01-25,0,0,0
"12",2020-01-26,0,0,0
"13",2020-01-27,0,0,0
"14",2020-01-28,0,0,0
"15",2020-01-29,0,0,0
"16",2020-01-30,0,0,0
"17",2020-01-31,0,0,0
"18",2020-02-01,0,0,0
"19",2020-02-02,0,0,0
"20",2020-02-03,0,0,0
"21",2020-02-04,0,0,0
"22",2020-02-05,0,0,0
"23",2020-02-06,0,0,0
"24",2020-02-07,0,0,0
"25",2020-02-08,0,0,0
"26",2020-02-09,0,0,0
"27",2020-02-10,0,0,0
"28",2020-02-11,0,0,0
"29",2020-02-12,0,0,0
"30",2020-02-13,0,0,0
"31",2020-02-14,0,0,0
"32",2020-02-15,0,0,0
"33",2020-02-16,0,0,0
"34",2020-02-17,0,0,0
"35",2020-02-18,0,0,0
"36",2020-02-19,0,0,0
"37",2020-02-20,0,0,0
"38",2020-02-21,0,0,0
"39",2020-02-22,0,0,0
"40",2020-02-23,1,0,0
"41",2020-02-24,0,0,0
"42",2020-02-25,0,0,0
"43",2020-02-26,0,0,0
"44",2020-02-27,0,0,0
"45",2020-02-28,0,0,0
"46",2020-02-29,1,0,0
"47",2020-03-01,3,0,0
"48",2020-03-02,1,0,0
"49",2020-03-03,0,1,0
"50",2020-03-04,1,0,0
"51",2020-03-05,0,0,0
"52",2020-03-06,1,0,0
"53",2020-03-07,1,0,0
"54",2020-03-08,3,0,0
"55",2020-03-09,3,0,0
"56",2020-03-10,2,2,0
"57",2020-03-11,7,4,0
"58",2020-03-12,4,2,0
"59",2020-03-13,7,1,0
"60",2020-03-14,7,1,0
"61",2020-03-15,7,0,0
"62",2020-03-16,9,2,0
"63",2020-03-17,8,2,0
"64",2020-03-18,11,0,0
"65",2020-03-19,9,0,0
"66",2020-03-20,12,2,0
"67",2020-03-21,8,7,0
"68",2020-03-22,8,12,0
"69",2020-03-23,6,9,0
"70",2020-03-24,5,14,0
"71",2020-03-25,12,4,0
"72",2020-03-26,10,6,0
"73",2020-03-27,10,13,0
"74",2020-03-28,9,7,0
"75",2020-03-29,7,8,0
"76",2020-03-30,18,9,0
"77",2020-03-31,9,12,1
"78",2020-04-01,13,14,1
"79",2020-04-02,11,11,0
"80",2020-04-03,18,12,1
"81",2020-04-04,17,17,1
"82",2020-04-05,14,12,1
"83",2020-04-06,15,18,3
"84",2020-04-07,14,12,2
"85",2020-04-08,20,19,1
"86",2020-04-09,19,11,0
"87",2020-04-10,20,14,1
"88",2020-04-11,41,12,0
"89",2020-04-12,27,48,0
"90",2020-04-13,40,41,3
"91",2020-04-14,27,16,2
"92",2020-04-15,29,5,1
"93",2020-04-16,43,20,5
"94",2020-04-17,33,68,0
"95",2020-04-18,21,11,2
"96",2020-04-19,10,15,2
"97",2020-04-20,23,26,4
"98",2020-04-21,23,31,2
"99",2020-04-22,41,27,7
"100",2020-04-23,29,25,9
"101",2020-04-24,31,24,4
"102",2020-04-25,20,40,3
"103",2020-04-26,13,6,7
"104",2020-04-27,23,23,5
"105",2020-04-28,24,27,1
"106",2020-04-29,13,13,4
"107",2020-04-30,29,24,1
"108",2020-05-01,19,10,6
"109",2020-05-02,10,17,6
"110",2020-05-03,10,19,3
"111",2020-05-04,10,46,2
"112",2020-05-05,16,13,4
"113",2020-05-06,11,15,3
"114",2020-05-07,14,15,4
"115",2020-05-08,10,20,1
"116",2020-05-09,8,20,1
