"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",1,17.8,0,0,1,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",1,14.5,3,47.9,4,30.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",0,0,1,16.2,1,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",1,17.7,3,49.8,4,34.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",2,24.7,3,35.9,5,30.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","60-69",5,55.3,1,10.5,6,32.3,1,11.1,0,0,1,5.4,0,0,0,0,0,0,0,0,0,0,0,0
"8","70-79",1,16.6,2,30,3,23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","80-89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","90+",0,0,1,99.4,1,64.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Total",11,19.6,14,24,25,21.8,1,1.8,0,0,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0
