"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",1,11.3,1,11.9,2,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",2,21.4,7,79.2,9,49.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",6,58.7,19,190,25,123.7,0,0,1,10,1,4.9,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",10,102.2,7,70.6,17,86.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",12,127.7,15,157.9,27,142.9,1,10.6,0,0,1,5.3,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",13,122.5,12,112.1,25,117.3,3,28.3,3,28,6,28.1,1,9.4,0,0,1,4.7,0,0,0,0,0,0
"7","60-69",8,84.4,7,67.7,15,75.7,1,10.6,1,9.7,2,10.1,0,0,1,9.7,1,5,0,0,0,0,0,0
"8","70-79",5,83.4,5,74.4,10,78.6,1,16.7,1,14.9,2,15.7,0,0,0,0,0,0,0,0,0,0,0,0
"9","80-89",4,170.7,2,60.2,6,105.9,3,128,1,30.1,4,70.6,2,85.4,1,30.1,3,53,0,0,0,0,0,0
"10","90+",2,470.6,1,104.9,3,217.7,2,470.6,1,104.9,3,217.7,0,0,0,0,0,0,0,0,0,0,0,0
"11","Total",63,82.4,76,96.5,139,89.6,11,14.4,8,10.2,19,12.2,3,3.9,2,2.5,5,3.2,0,0,0,0,0,0
