"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",3,53.8,8,153.1,11,101.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",10,163.3,17,286.1,27,223.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",38,597.9,22,360.7,60,481.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",60,1037.7,12,206.5,72,621,2,34.6,0,0,2,17.3,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",45,807.8,9,155.7,54,475.8,0,0,1,17.3,1,8.8,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",13,169.2,12,154.5,25,161.8,1,13,1,12.9,2,12.9,0,0,0,0,0,0,0,0,0,0,0,0
"7","60-69",9,116.2,13,162,22,139.5,0,0,2,24.9,2,12.7,0,0,0,0,0,0,0,0,0,0,0,0
"8","70-79",4,80.1,1,18,5,47.4,1,20,0,0,1,9.5,0,0,0,0,0,0,0,0,0,0,0,0
"9","80-89",1,49.6,1,35.2,2,41.2,0,0,1,35.2,1,20.6,0,0,1,35.2,1,20.6,0,0,0,0,0,0
"10","90+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Total",183,350.4,95,175.6,278,261.5,4,7.7,5,9.2,9,8.5,0,0,1,1.8,1,0.9,0,0,0,0,0,0
