"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",11,35.4,16,54.7,27,44.7,1,3.2,0,0,1,1.7,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",26,80,16,52.3,42,66.6,1,3.1,0,0,1,1.6,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",69,153.8,97,233.3,166,192.1,2,4.5,3,7.2,5,5.8,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",34,81.5,69,163,103,122.5,1,2.4,1,2.4,2,2.4,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",44,124.5,62,170.7,106,147.9,4,11.3,2,5.5,6,8.4,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",56,139.9,69,169.6,125,154.9,12,30,2,4.9,14,17.3,0,0,0,0,0,0,0,0,0,0,0,0
"7","60-69",52,148.4,48,129,100,138.4,11,31.4,10,26.9,21,29.1,6,17.1,1,2.7,7,9.7,0,0,0,0,0,0
"8","70-79",46,218.9,28,115.3,74,163.4,20,95.2,11,45.3,31,68.4,3,14.3,1,4.1,4,8.8,0,0,0,0,0,0
"9","80-89",26,289,50,386.1,76,346.3,20,222.3,24,185.3,44,200.5,14,155.6,11,84.9,25,113.9,0,0,0,0,0,0
"10","90+",13,670.1,26,586.5,39,612,7,360.8,10,225.6,17,266.8,3,154.6,5,112.8,8,125.5,0,0,0,0,0,0
"11","Total",377,128.9,481,160.5,858,144.9,79,27,63,21,142,24,26,8.9,18,6,44,7.4,0,0,0,0,0,0
