"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",15,37.6,20,52.1,35,44.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",26,59.6,25,59.9,51,59.7,0,0,1,2.4,1,1.2,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",74,150,114,241.9,188,194.9,3,6.1,1,2.1,4,4.1,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",92,199.9,122,256.2,214,228.6,8,17.4,4,8.4,12,12.8,2,4.3,0,0,2,2.1,0,0,0,0,0,0
"5","40-49",82,180.2,136,282.1,218,232.6,6,13.2,7,14.5,13,13.9,1,2.2,0,0,1,1.1,0,0,0,0,0,0
"6","50-59",124,242.5,202,379.3,326,312.3,18,35.2,14,26.3,32,30.7,2,3.9,0,0,2,1.9,0,0,0,0,0,0
"7","60-69",90,218.5,119,278.1,209,248.9,21,51,14,32.7,35,41.7,3,7.3,11,25.7,14,16.7,0,0,0,0,0,0
"8","70-79",71,303.8,70,262.1,141,281.5,27,115.5,15,56.2,42,83.9,16,68.5,9,33.7,25,49.9,0,0,0,0,0,0
"9","80-89",89,1017.5,131,1045.1,220,1033.7,27,308.7,20,159.6,47,220.8,27,308.7,36,287.2,63,296,0,0,0,0,0,0
"10","90+",47,3484.1,132,3483.8,179,3483.8,8,593,17,448.7,25,486.6,22,1630.8,52,1372.4,74,1440.2,0,0,0,0,0,0
"11","Total",710,202.7,1071,295.7,1781,250,118,33.7,93,25.7,211,29.6,73,20.8,108,29.8,181,25.4,0,0,0,0,0,0
