"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",2,18.5,0,0,2,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",2,17.4,4,36.6,6,26.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",9,75.3,7,61.4,16,68.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",8,74.6,13,116,21,95.8,0,0,1,8.9,1,4.6,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",9,78.3,11,91.2,20,84.9,1,8.7,0,0,1,4.2,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",17,103.5,17,103.3,34,103.4,3,18.3,1,6.1,4,12.2,0,0,0,0,0,0,0,0,0,0,0,0
"7","60-69",21,135.5,16,100.9,37,118,4,25.8,1,6.3,5,15.9,0,0,1,6.3,1,3.2,0,0,0,0,0,0
"8","70-79",9,90.9,7,64.4,16,77,1,10.1,1,9.2,2,9.6,1,10.1,2,18.4,3,14.4,0,0,0,0,0,0
"9","80-89",5,125.9,9,178.7,14,155.4,0,0,0,0,0,0,2,50.4,1,19.9,3,33.3,0,0,0,0,0,0
"10","90+",2,296.3,7,455.4,9,406.9,0,0,0,0,0,0,0,0,5,325.3,5,226,0,0,0,0,0,0
"11","Total",84,81.6,91,86,175,83.8,9,8.7,4,3.8,13,6.2,3,2.9,9,8.5,12,5.7,0,0,0,0,0,0
