"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",2,22.7,3,35.1,5,28.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",2,22.8,4,48.1,6,35.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",6,62.8,6,66.1,12,64.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",5,55.3,8,90.1,13,72.5,0,0,1,11.3,1,5.6,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",3,35.9,6,73.1,9,54.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",4,33.1,16,131.1,20,82.4,0,0,1,8.2,1,4.1,0,0,0,0,0,0,0,0,0,0,0,0
"7","60-69",12,89.9,12,85.2,24,87.5,1,7.5,0,0,1,3.6,0,0,0,0,0,0,0,0,0,0,0,0
"8","70-79",4,42.8,3,29.8,7,36.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","80-89",3,73.9,7,142.5,10,111.5,0,0,1,20.4,1,11.1,0,0,0,0,0,0,0,0,0,0,0,0
"10","90+",0,0,5,345.5,5,229.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Total",41,48.7,70,81.6,111,65.3,1,1.2,3,3.5,4,2.4,0,0,0,0,0,0,0,0,0,0,0,0
