"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",3,50.5,2,36,5,43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",3,48.6,4,68.6,8,66.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3","20-29",38,554.8,16,246.3,54,404.7,1,14.6,0,0,1,7.5,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",78,1288.8,12,206.9,90,759.4,2,33,0,0,2,16.9,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",61,1033.5,31,533.2,92,785.3,2,33.9,0,0,2,17.1,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",41,468.6,19,220.6,60,345.6,5,57.1,0,0,5,28.8,1,11.4,0,0,1,5.8,0,0,0,0,0,0
"7","60-69",26,290.6,10,109.1,36,198.7,6,67.1,1,10.9,7,38.6,1,11.2,1,10.9,2,11,0,0,0,0,0,0
"8","70-79",6,104.5,10,164.8,16,135.5,2,34.8,1,16.5,3,25.4,1,17.4,4,65.9,5,42.3,0,0,0,0,0,0
"9","80-89",13,575.2,28,981.1,41,801.7,2,88.5,2,70.1,4,78.2,6,265.5,9,315.3,15,293.3,0,0,0,0,0,0
"10","90+",10,2202.6,20,2454,30,2364.1,0,0,3,368.1,3,236.4,6,1321.6,8,981.6,14,1103.2,0,0,0,0,0,0
"11","Total",279,488.8,152,266.6,432,378.7,20,35,7,12.3,27,23.7,15,26.3,22,38.6,37,32.4,0,0,1,0,0,0
