"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",0,0,3,40.8,3,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",0,0,5,60.4,5,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",8,82.4,7,75.8,15,79.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",11,125.1,10,115.8,21,120.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",5,55.9,16,178.3,21,117.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",14,91.7,22,141.3,36,116.7,1,6.5,0,0,1,3.2,0,0,1,6.4,1,3.2,0,0,0,0,0,0
"7","60-69",15,93.3,26,155.2,41,124.9,1,6.2,1,6,2,6.1,0,0,0,0,0,0,0,0,0,0,0,0
"8","70-79",16,135.1,10,77.5,26,105.1,2,16.9,3,23.3,5,20.2,3,25.3,1,7.8,4,16.2,0,0,0,0,0,0
"9","80-89",12,230.9,17,271.4,29,253,2,38.5,3,47.9,5,43.6,5,96.2,5,79.8,10,87.3,0,0,0,0,0,0
"10","90+",3,331.9,14,801.4,17,641.3,1,110.6,0,0,1,37.7,1,110.6,4,229,5,188.6,0,0,0,0,0,0
"11","Total",84,90.1,130,135.8,214,113.3,7,7.5,7,7.3,14,7.4,9,9.7,11,11.5,20,10.6,0,0,0,0,0,0
