"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",12,33.6,6,17.6,18,25.8,1,2.8,0,0,1,1.4,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",21,50.2,18,45.1,39,47.7,2,4.8,0,0,2,2.4,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",45,112.6,56,143.8,101,128,2,5,2,5.1,4,5.1,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",47,120.9,76,182,123,152.5,3,7.7,0,0,3,3.7,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",66,155,63,138,129,146.2,7,16.4,3,6.6,10,11.3,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",81,189.5,81,188.6,162,189.1,15,35.1,8,18.6,23,26.8,4,9.4,1,2.3,5,5.8,0,0,0,0,0,0
"7","60-69",54,170.8,57,172.7,111,171.8,9,28.5,5,15.1,14,21.7,2,6.3,0,0,2,3.1,0,0,0,0,0,0
"8","70-79",20,99.8,28,117.6,48,109.5,2,10,10,42,12,27.4,1,5,1,4.2,2,4.6,0,0,0,0,0,0
"9","80-89",21,242.1,38,319.5,59,286.9,7,80.7,14,117.7,21,102.1,6,69.2,4,33.6,10,48.6,0,0,0,0,0,0
"10","90+",11,698.9,27,794.1,38,764,3,190.6,5,147.1,8,160.8,2,127.1,4,117.6,6,120.6,0,0,0,0,0,0
"11","Total",378,124.5,450,142.7,828,133.7,51,16.8,47,14.9,98,15.8,15,4.9,10,3.2,25,4,0,0,0,0,0,0
