"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",0,0,1,12.2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",5,51.3,2,21.9,7,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",0,0,3,34.1,3,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",1,11.3,5,55.3,6,33.5,0,0,1,11.1,1,5.6,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",2,15.6,6,45.3,8,30.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","60-69",2,16,2,14.6,4,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","70-79",3,33.8,4,41.1,7,37.6,1,11.3,2,20.5,3,16.1,1,11.3,1,10.3,2,10.7,0,0,0,0,0,0
"9","80-89",1,26.9,3,61,4,46.4,0,0,1,20.3,1,11.6,0,0,2,40.7,2,23.2,0,0,0,0,0,0
"10","90+",2,301.2,3,227.1,5,251.9,1,150.6,0,0,1,50.4,0,0,1,75.7,1,50.4,0,0,0,0,0,0
"11","Total",16,19.3,29,33.9,45,26.7,2,2.4,4,4.7,6,3.6,1,1.2,4,4.7,5,3,0,0,0,0,0,0
