"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",0,0,1,12.5,1,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",3,34.2,7,84.3,10,58.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",4,55.1,8,107.2,12,81.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",1,13.5,5,68.6,6,40.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",3,31,10,102.6,13,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","60-69",13,132.3,7,69.9,20,100.8,4,40.7,0,0,4,20.2,1,10.2,0,0,1,5,0,0,0,0,0,0
"8","70-79",2,30.9,2,27.7,4,29.2,0,0,1,13.9,1,7.3,1,15.4,1,13.9,2,14.6,0,0,0,0,0,0
"9","80-89",3,107.9,2,53.2,5,76.5,0,0,0,0,0,0,2,71.9,0,0,2,30.6,0,0,0,0,0,0
"10","90+",0,0,3,253.6,3,172.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Total",29,41.9,45,63.7,74,52.9,4,5.8,1,1.4,5,3.6,4,5.8,1,1.4,5,3.6,0,0,0,0,0,0
