"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",0,0,3,32.6,3,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",2,19.3,2,20.4,4,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",8,52.1,19,133,27,91.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",5,32.8,8,54.5,13,43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",9,72.6,11,91.6,20,81.9,1,8.1,1,8.3,2,8.2,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",8,53.6,13,87.3,21,70.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","60-69",8,59.4,5,33.8,13,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","70-79",4,42.8,4,37.6,8,40,2,21.4,2,18.8,4,20,0,0,0,0,0,0,0,0,0,0,0,0
"9","80-89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","90+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Total",44,41.6,65,60.8,109,51.2,3,2.8,3,2.8,6,2.8,0,0,0,0,0,0,0,0,0,0,0,0
