"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",2,31.2,1,16,3,23.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",6,84.5,6,86.6,12,85.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",11,137.1,29,381.4,40,255.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",13,183.3,14,189.2,27,186.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",10,148.2,15,215.4,25,182.3,3,44.5,0,0,3,21.9,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",19,215.5,27,289.7,46,253.6,2,22.7,4,42.9,6,33.1,0,0,0,0,0,0,0,0,0,0,0,0
"7","60-69",16,160.6,14,132.8,30,146.3,6,60.2,5,47.4,11,53.7,2,20.1,2,19,4,19.5,0,0,0,0,0,0
"8","70-79",21,320.4,12,166.6,33,239.9,11,167.8,4,55.5,15,109,3,45.8,2,27.8,5,36.3,0,0,0,0,0,0
"9","80-89",22,823.7,23,615.3,45,702.1,13,486.7,6,160.5,19,296.5,3,112.3,5,133.8,8,124.8,0,0,0,0,0,0
"10","90+",8,1652.9,18,1531.9,26,1567.2,2,413.2,1,85.1,3,180.8,4,826.4,4,340.4,8,482.2,0,0,0,0,0,0
"11","Total",128,200.4,159,236.9,287,219.1,37,57.9,20,29.8,57,43.5,12,18.8,13,19.4,25,19.1,0,0,0,0,0,0
