"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",2,25.2,1,13.2,3,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",4,45.1,5,58.5,9,51.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",5,53.2,17,195.9,22,121.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",6,73.3,20,242.1,26,158.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",7,78.6,21,222.2,28,152.5,2,22.4,0,0,2,10.9,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",8,57.6,21,146.3,29,102.7,2,14.4,3,20.9,5,17.7,0,0,1,7,1,3.5,0,0,0,0,0,0
"7","60-69",19,137.8,22,150.3,41,144.2,1,7.3,3,20.5,4,14.1,1,7.3,2,13.7,3,10.6,0,0,0,0,0,0
"8","70-79",27,284.2,27,256,54,269.4,7,73.7,4,37.9,11,54.9,9,94.7,4,37.9,13,64.8,0,0,0,0,0,0
"9","80-89",22,588.6,64,1339.2,86,1009.7,6,160.5,8,167.4,14,164.4,4,107,14,292.9,18,211.3,0,0,0,0,0,0
"10","90+",10,1531.4,47,3135.4,57,2648.7,5,765.7,3,200.1,8,371.7,5,765.7,12,800.5,17,790,0,0,0,0,0,0
"11","Total",110,129.6,245,277.4,355,205,23,27.1,21,23.8,44,25.4,19,22.4,33,37.4,52,30,0,0,0,0,0,0
