"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",8,35.5,3,14.3,11,25.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",28,113.3,13,55.5,41,85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",60,195.4,86,292.9,146,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",58,216.9,51,185.9,109,201.2,3,11.2,3,10.9,6,11.1,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",56,219.6,53,199.3,109,209.2,3,11.8,1,3.8,4,7.7,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",58,168,49,137,107,152.2,8,23.2,4,11.2,12,17.1,1,2.9,1,2.8,2,2.8,0,0,0,0,0,0
"7","60-69",42,130.9,49,140.8,91,136.1,10,31.2,6,17.2,16,23.9,1,3.1,0,0,1,1.5,0,0,0,0,0,0
"8","70-79",36,159.6,30,117.1,66,137,15,66.5,10,39,25,51.9,6,26.6,4,15.6,10,20.8,0,0,0,0,0,0
"9","80-89",38,396.7,68,515.6,106,465.6,18,187.9,25,189.6,43,188.9,13,135.7,14,106.2,27,118.6,0,0,0,0,0,0
"10","90+",15,733.5,64,1485.6,79,1243.5,9,440.1,16,371.4,25,393.5,7,342.3,17,394.6,24,377.8,0,0,0,0,0,0
"11","Total",399,172.8,466,192.9,865,183.1,66,28.6,65,26.9,131,27.7,28,12.1,36,14.9,64,13.5,0,0,0,0,0,0
