"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",0,0,2,33.2,2,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",3,39.9,0,0,3,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",2,27.7,2,27.3,4,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",1,14.5,3,43.3,4,28.9,0,0,1,14.4,1,7.2,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",3,29.8,6,60.1,9,44.9,0,0,1,10,1,5,0,0,1,10,1,5,0,0,0,0,0,0
"7","60-69",6,59.7,3,28.7,9,43.9,2,19.9,2,19.1,4,19.5,0,0,0,0,0,0,0,0,0,0,0,0
"8","70-79",2,29.2,0,0,2,14.1,1,14.6,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
"9","80-89",1,35.7,1,27.7,2,31.2,1,35.7,1,27.7,2,31.2,0,0,0,0,0,0,0,0,0,0,0,0
"10","90+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Total",18,28.1,17,25.9,35,27,4,6.2,5,7.6,9,6.9,0,0,1,1.5,1,0.8,0,0,0,0,0,0
