"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",13,23.3,24,44.4,37,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",33,57.5,42,75.2,75,66.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",113,137.8,182,229,295,182.7,3,3.7,2,2.5,5,3.1,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",126,162.2,163,202.3,289,182.6,5,6.4,10,12.4,15,9.5,1,1.3,0,0,1,0.6,0,0,0,0,0,0
"5","40-49",122,185.2,167,242.3,289,214.4,8,12.1,9,13.1,17,12.6,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",122,176.3,185,262.1,307,219.6,24,34.7,17,24.1,41,29.3,5,7.2,2,2.8,7,5,0,0,0,0,0,0
"7","60-69",117,203,127,207.2,244,205.2,35,60.7,17,27.7,52,43.7,11,19.1,8,13.1,19,16,0,0,0,0,0,0
"8","70-79",92,262.7,92,225.7,184,242.8,32,91.4,22,54,54,71.3,21,60,17,41.7,38,50.1,0,0,0,0,0,0
"9","80-89",105,740,167,863,272,811,28,197.3,24,124,52,155,48,338.3,58,299.7,106,316,0,0,0,0,0,0
"10","90+",51,1861.3,146,2390.3,197,2226.5,11,401.5,15,245.6,26,293.9,32,1167.9,60,982.3,92,1039.8,0,0,0,0,0,0
"11","Total",894,172.7,1295,241.2,2189,207.6,146,28.2,116,21.6,262,24.8,118,22.8,145,27,263,24.9,0,0,0,0,0,0
