"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",76,84.2,80,93.9,156,88.9,2,2.2,2,2.3,4,2.3,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",184,178.8,142,147.7,329,165.3,2,1.9,2,2.1,4,2,0,0,0,0,0,0,0,0,3,0,0,0
"3","20-29",793,656.2,593,512.9,1397,590.8,7,5.8,15,13,22,9.3,0,0,1,0.9,1,0.4,0,0,11,0,0,0
"4","30-39",491,431.1,476,391.4,971,412.3,17,14.9,9,7.4,26,11,0,0,0,0,0,0,0,0,4,0,0,0
"5","40-49",449,423,534,465.1,985,445.8,34,32,29,25.3,63,28.5,3,2.8,4,3.5,7,3.2,0,0,2,0,0,0
"6","50-59",494,458.4,590,536.9,1088,499.9,66,61.2,40,36.4,106,48.7,7,6.5,5,4.6,12,5.5,0,0,4,0,0,0
"7","60-69",372,454.7,345,400.6,721,429.3,79,96.6,47,54.6,126,75,27,33,12,13.9,39,23.2,0,0,4,0,0,0
"8","70-79",182,379.3,189,347.5,376,367.3,64,133.4,58,106.6,122,119.2,37,77.1,23,42.3,62,60.6,2,0,5,0,0,0
"9","80-89",143,778.2,232,993.7,380,910.8,57,310.2,63,269.9,120,287.6,57,310.2,54,231.3,113,270.8,2,0,5,0,0,0
"10","90+",52,1690,161,2806.3,216,2450.6,15,487.5,31,540.4,46,521.9,23,747.5,57,993.6,81,919,1,0,3,0,0,0
"11","Total",3236,408,3342,411.1,6619,412.2,343,43.2,296,36.4,639,39.8,154,19.4,156,19.2,315,19.6,5,0,41,0,0,0
