"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",0,0,1,14.4,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",3,43.3,1,15,4,29.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",10,105.9,8,84.8,18,95.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",6,66.6,5,53.6,11,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",5,68.1,8,105.5,13,87.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",8,78.9,8,74.9,16,76.8,2,19.7,0,0,2,9.6,0,0,0,0,0,0,0,0,0,0,0,0
"7","60-69",5,47.6,8,69.3,13,59,1,9.5,1,8.7,2,9.1,1,9.5,0,0,1,4.5,0,0,0,0,0,0
"8","70-79",3,40.6,5,60.2,8,51,1,13.5,1,12,2,12.7,0,0,0,0,0,0,0,0,0,0,0,0
"9","80-89",4,124.2,3,71.4,7,94.3,2,62.1,0,0,2,26.9,0,0,0,0,0,0,0,0,0,0,0,0
"10","90+",0,0,4,283.7,4,194.8,0,0,0,0,0,0,0,0,1,70.9,1,48.7,0,0,0,0,0,0
"11","Total",44,61.2,51,67.1,95,64.2,6,8.3,2,2.6,8,5.4,1,1.4,1,1.3,2,1.4,0,0,0,0,0,0
