"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",2,42.1,0,0,2,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",1,20.3,1,21.1,2,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",2,37.3,2,40.8,4,38.9,1,18.6,0,0,1,9.7,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",5,101.3,6,124.6,11,112.8,0,0,1,20.8,1,10.3,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",2,40.9,5,101.1,7,71.2,0,0,1,20.2,1,10.2,0,0,1,20.2,1,10.2,0,0,0,0,0,0
"6","50-59",4,66.3,6,100.8,10,83.4,0,0,2,33.6,2,16.7,0,0,0,0,0,0,0,0,0,0,0,0
"7","60-69",9,145.9,8,135.4,17,140.8,3,48.6,3,50.8,6,49.7,0,0,2,33.9,2,16.6,0,0,0,0,0,0
"8","70-79",3,91.3,6,173,9,133.3,2,60.9,4,115.3,6,88.8,2,60.9,1,28.8,3,44.4,0,0,0,0,0,0
"9","80-89",3,239.8,1,57.5,4,133.8,2,159.9,1,57.5,3,100.4,1,79.9,0,0,1,33.5,0,0,0,0,0,0
"10","90+",0,0,3,677.2,3,467.3,0,0,1,225.7,1,155.8,0,0,1,225.7,1,155.8,0,0,0,0,0,0
"11","Total",31,74.1,38,91.3,69,82.7,8,19.1,13,31.2,21,25.2,3,7.2,5,12,8,9.6,0,0,0,0,0,0
