"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",2,19.9,2,21.8,4,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",5,48.2,10,100.9,15,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",8,60.8,7,58.3,15,59.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",3,24.9,4,32.5,7,28.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",3,24.9,5,42.3,8,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",8,55.2,11,75.9,19,65.6,2,13.8,1,6.9,3,10.4,0,0,0,0,0,0,0,0,0,0,0,0
"7","60-69",2,14.4,6,41,8,28.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","70-79",4,45.2,7,72.2,11,59.3,0,0,2,20.6,2,10.8,1,11.3,0,0,1,5.4,0,0,0,0,0,0
"9","80-89",0,0,2,40.7,2,24.5,0,0,0,0,0,0,0,0,1,20.3,1,12.2,0,0,0,0,0,0
"10","90+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Total",35,35.5,54,53.8,89,44.7,2,2,3,3,5,2.5,1,1,1,1,2,1,0,0,0,0,0,0
