"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",12,36.1,6,19.1,18,27.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",17,49.1,19,57.4,38,56.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"3","20-29",74,167.3,141,346,215,253,2,4.5,7,17.2,9,10.6,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",81,192.3,112,261.3,193,227.1,4,9.5,4,9.3,8,9.4,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",81,212,111,289.2,192,250.7,16,41.9,4,10.4,20,26.1,1,2.6,0,0,1,1.3,0,0,0,0,0,0
"6","50-59",80,205,128,328.2,208,266.6,26,66.6,13,33.3,39,50,1,2.6,1,2.6,2,2.6,0,0,0,0,0,0
"7","60-69",80,253.7,68,206,148,229.3,26,82.5,13,39.4,39,60.4,8,25.4,1,3,9,13.9,0,0,0,0,0,0
"8","70-79",47,252.1,56,257.6,103,255.1,21,112.6,19,87.4,40,99.1,13,69.7,14,64.4,27,66.9,0,0,0,0,0,0
"9","80-89",61,775.4,71,693.3,135,745.5,17,216.1,20,195.3,38,209.9,24,305.1,20,195.3,46,254,2,1,3,0,0,0
"10","90+",25,1753.2,65,2200.4,91,2077.6,9,631.1,14,473.9,23,525.1,14,981.8,20,677,34,776.3,0,0,1,0,0,0
"11","Total",558,191.8,777,264.8,1341,229.5,121,41.6,94,32,216,37,61,21,56,19.1,119,20.4,2,1,6,0,0,0
