"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",0,0,1,19.2,1,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",2,30,2,33.6,4,31.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",3,41.5,6,95.8,9,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",1,16.9,2,33.8,3,25.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",0,0,5,65.8,5,32.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","60-69",0,0,2,25.1,2,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","70-79",1,19.2,3,53.5,4,37,0,0,1,17.8,1,9.2,0,0,0,0,0,0,0,0,0,0,0,0
"9","80-89",1,46.1,2,66.8,3,58.1,0,0,1,33.4,1,19.4,0,0,0,0,0,0,0,0,0,0,0,0
"10","90+",0,0,1,109.2,1,77.3,0,0,1,109.2,1,77.3,0,0,1,109.2,1,77.3,0,0,0,0,0,0
"11","Total",8,14.7,24,44.4,32,29.5,0,0,3,5.6,3,2.8,0,0,1,1.9,1,0.9,0,0,0,0,0,0
